Division,Bracket,Match,Time,Court,Date
14 Club,Championship Division,Match 11,03:15 PM,South 74,2025-07-07
14 Club,Championship Division (Semifinal),Match 9,12:00 PM,North 15,2025-07-07
14 Club,Championship Division (Semifinal),Match 10,12:00 PM,North 16,2025-07-07
14 Club,Consolation Division,Match 5,01:00 PM,North 15,2025-07-07
14 Club,Flight 1 Division,Match 5,01:00 PM,North 16,2025-07-07
14 Club,Flight 2 Division,Match 5,12:00 PM,North 19,2025-07-07
14 Club,Flight 3 Division,Match 5,12:00 PM,North 20,2025-07-07
14 Club,Flight 4 Division,Match 5,12:00 PM,North 21,2025-07-07
14 Club,Flight 5 Division,Match 5,12:00 PM,North 22,2025-07-07
14 Club,Flight 6 Division,Match 3,10:00 AM,North 23,2025-07-07
14 Club,Flight 7 Division,Match 3,01:00 PM,North 23,2025-07-07
14 Club,Flight 8 Division,Match 4,11:00 AM,North 24,2025-07-07
14 Open,Championship Division,Match 9,02:15 PM,South 73,2025-07-07
14 Open,Championship Division (Semifinal),Match 7,12:00 PM,North 1,2025-07-07
14 Open,Championship Division (Semifinal),Match 8,12:00 PM,North 2,2025-07-07
14 Open,Consolation Division,Match 7,01:00 PM,North 1,2025-07-07
14 Open,Flight 1A Division,Match 4,11:00 AM,North 5,2025-07-07
14 Open,Flight 1B Division,Match 4,11:00 AM,North 6,2025-07-07
14 Open,Flight 2A Division,Match 4,01:00 PM,North 8,2025-07-07
14 Open,Flight 2B Division,Match 4,01:00 PM,North 5,2025-07-07
14 Open,Flight 3 Division,Match 6,11:00 AM,North 7,2025-07-07
14 Premier,Championship Division,Match 9,02:00 PM,South 74,2025-07-07
14 Premier,Championship Division (Semifinal),Match 7,12:00 PM,North 9,2025-07-07
14 Premier,Championship Division (Semifinal),Match 8,12:00 PM,North 10,2025-07-07
14 Premier,Consolation Division,Match 4,02:00 PM,North 14,2025-07-07
14 Premier,Flight 1 Division,Match 6,01:00 PM,North 9,2025-07-07
14 Premier,Flight 2 Division,Match 3,02:00 PM,North 11,2025-07-07
14 Premier,Flight 3 Division,Match 6,01:00 PM,North 11,2025-07-07
14 Premier,Flight 4 Division,Match 8,12:00 PM,North 13,2025-07-07
15 Club,Championship Division,Match 11,03:15 PM,North 72,2025-07-07
15 Club,Championship Division (Semifinal),Match 9,12:00 PM,South 125,2025-07-07
15 Club,Championship Division (Semifinal),Match 10,12:00 PM,South 126,2025-07-07
15 Club,Consolation Division,Match 5,01:00 PM,South 125,2025-07-07
15 Club,Flight 1 Division,Match 3,11:00 AM,South 127,2025-07-07
15 Club,Flight 2 Division,Match 4,11:00 AM,South 129,2025-07-07
15 Club,Flight 3 Division,Match 4,11:00 AM,South 130,2025-07-07
15 Club,Flight 4 Division,Match 4,11:00 AM,South 131,2025-07-07
15 Club,Flight 5 Division,Match 4,11:00 AM,South 132,2025-07-07
15 Club,Flight 6 Division,Match 3,12:00 PM,South 134,2025-07-07
15 Club,Flight 7 Division,Match 6,11:00 AM,South 133,2025-07-07
15 Elite,Championship Division,Match 9,02:00 PM,North 72,2025-07-07
15 Elite,Championship Division (Semifinal),Match 7,11:30 AM,North 36,2025-07-07
15 Elite,Championship Division (Semifinal),Match 8,11:30 AM,North 37,2025-07-07
15 Elite,Consolation Division,Match 7,12:30 PM,North 36,2025-07-07
15 Elite,Flight 1 Division,Match 7,12:30 PM,North 26,2025-07-07
15 Elite,Flight 2 Division,Match 8,11:30 AM,North 40,2025-07-07
15 Elite,Flight 3 Division,Match 8,11:30 AM,North 42,2025-07-07
15 Open,Championship Division,Match 7,01:00 PM,South 73,2025-07-07
15 Open,Championship Division (Semifinal),Match 5,11:00 AM,South 73,2025-07-07
15 Open,Championship Division (Semifinal),Match 6,11:00 AM,South 74,2025-07-07
15 Open,Consolation Division,Match 7,11:00 AM,North 70,2025-07-07
15 Open,Flight 1 Division,Match 7,11:30 AM,South 78,2025-07-07
15 Open,Flight 2 Division,Match 3,12:00 PM,North 70,2025-07-07
15 Open,Flight 3 Division,Match 3,09:30 AM,South 81,2025-07-07
15 Open,Flight 4 Division,Match 3,11:30 AM,South 79,2025-07-07
15 Open,Flight 5 Division,Match 3,12:30 PM,South 81,2025-07-07
15 Open,Flight 6 Division,Match 3,09:30 AM,South 80,2025-07-07
15 Open,Flight 7 Division,Match 3,12:30 PM,South 80,2025-07-07
15 Premier,Championship Division,Match 11,02:00 PM,North 71,2025-07-07
15 Premier,Championship Division (Semifinal),Match 9,11:30 AM,North 26,2025-07-07
15 Premier,Championship Division (Semifinal),Match 10,11:30 AM,North 27,2025-07-07
15 Premier,Consolation Division,Match 5,01:30 PM,North 41,2025-07-07
15 Premier,Flight 1 Division,Match 3,12:30 PM,North 29,2025-07-07
15 Premier,Flight 2 Division,Match 4,12:30 PM,North 43,2025-07-07
15 Premier,Flight 3 Division,Match 4,10:30 AM,North 30,2025-07-07
15 Premier,Flight 4 Division,Match 4,10:30 AM,North 31,2025-07-07
15 Premier,Flight 5 Division,Match 4,10:30 AM,North 32,2025-07-07
15 Premier,Flight 6 Division,Match 3,09:30 AM,North 33,2025-07-07
15 Premier,Flight 7 Division,Match 3,12:30 PM,North 33,2025-07-07
15 Premier,Flight 8 Division,Match 4,10:30 AM,North 34,2025-07-07
