Division,Bracket,Match,Time,Court,Date
15 Aspire,Championship Division,Match 15,02:00 PM,South 90,2025-06-28
15 Aspire,Consolation Division A,Match 7,12:30 PM,North 28,2025-06-28
15 Aspire,Consolation Division B,Match 7,11:00 AM,North 31,2025-06-28
15 Aspire,Ruby Division A,Match 7,11:00 AM,North 32,2025-06-28
15 Aspire,Ruby Division B,Match 7,11:00 AM,North 50,2025-06-28
15 Aspire,Diamond Division A,Match 6,02:00 PM,North 30,2025-06-28
15 Aspire,Diamond Division B,Match 6,02:00 PM,North 44,2025-06-28
15 Aspire,Sapphire Division A,Match 7,11:00 AM,North 36,2025-06-28
15 Aspire,Sapphire Division B,Match 6,11:00 AM,North 39,2025-06-28
15 Aspire,Pearl Division A,Match 7,01:00 PM,West 213,2025-06-28
15 Aspire,Pearl Division B,Match 6,12:30 PM,North 74,2025-06-28
15 Aspire,Emerald Division A,Match 7,11:00 AM,West 211,2025-06-28
15 Aspire,Emerald Division B,Match 6,10:30 AM,North 69,2025-06-28
15 Aspire,Amethyst Division A,Match 7,10:30 AM,North 71,2025-06-28
15 Aspire,Amethyst Division B,Match 7,02:30 PM,North 73,2025-06-28
15 Aspire,Crystal Division,Match 4,11:00 AM,North 88,2025-06-28
15 Aspire,Garnet Division,Match 4,10:30 AM,North 73,2025-06-28
15 Aspire,Topaz Division,Match 4,10:30 AM,North 75,2025-06-28
15 Aspire,Opal Division,Match 4,12:30 PM,North 70,2025-06-28
15 Aspire,Turquoise Division,Match 4,02:30 PM,North 69,2025-06-28
15 Aspire,Aquamarine Division,Match 4,02:30 PM,North 71,2025-06-28
15 Aspire,Coral Division,Match 4,01:00 PM,West 209,2025-06-28
15 Aspire,Zircon Division,Match 4,10:30 AM,North 68,2025-06-28
15 Classic,Championship Division,Match 15,03:15 PM,North 88,2025-06-28
15 Classic,Consolation Division A,Match 7,11:00 AM,South 91,2025-06-28
15 Classic,Consolation Division B,Match 7,11:00 AM,South 94,2025-06-28
15 Classic,Ruby Division A,Match 7,11:00 AM,South 95,2025-06-28
15 Classic,Ruby Division B,Match 7,11:00 AM,South 98,2025-06-28
15 Classic,Diamond Division A,Match 6,02:00 PM,South 92,2025-06-28
15 Classic,Diamond Division B,Match 6,02:00 PM,South 97,2025-06-28
15 Classic,Sapphire Division A,Match 7,11:00 AM,North 85,2025-06-28
15 Classic,Sapphire Division B,Match 6,01:00 PM,North 86,2025-06-28
15 Classic,Pearl Division A,Match 7,02:00 PM,North 84,2025-06-28
15 Classic,Pearl Division B,Match 6,03:00 PM,South 95,2025-06-28
15 Classic,Emerald Division A,Match 7,12:30 PM,South 101,2025-06-28
15 Classic,Emerald Division B,Match 6,11:00 AM,North 80,2025-06-28
15 Classic,Amethyst Division A,Match 7,11:00 AM,North 82,2025-06-28
