TeamCode,TeamID,TeamName,Division,State
g15txadv1nt,130522,TAV 15 Black Jason,15's,TX
g17txadv1nt,130527,TAV 17 Black Jonny,17's,TX
g14houjr1ls,165921,HJV 14 Elite,14's,TX
g15houjr1ls,165922,HJV 15 Elite,15's,TX
g16houjr1ls,165923,HJV 16 Elite,16's,TX
g17houjr1ls,165924,HJV 17 Elite,17's,TX
g17storm1az,167067,Arizona Storm Elite 17 Thunder,17's,AZ
g16idcrs1im,168229,Idaho Crush 16 Bower,16's,ID
g15kaulu2ah,171038,Ka Ulukoa 15 Larry,15's,HI
g15revol1az,171691,AZ REV 15 Premier,15's,AZ
g16azevj1az,172044,AZ East Valley Juniors 16 Elite,16's,AZ
g17idcrs1im,179018,Idaho Crush 17 Bower,17's,ID
g13houjr1ls,179676,HJV 13 Elite,13's,TX
g15houjr2ls,179679,HJV 15 Premier,15's,TX
g16revol1az,179720,AZ REV 16 Premier,16's,AZ
g16onevb1az,179807,Club One AZ 16 Platinum,16's,AZ
g16norca1nc,180627,NorCal 16 Black,16's,CA
g15livwr1az,180827,Livewire 15 Prime,15's,AZ
g14storm1az,181706,Arizona Storm Elite 14 Thunder,14's,AZ
g14npjvb1ce,183061,NPJ Salem 14 National,14's,OR
g16npjvb1ce,183063,NPJ Salem 16 National,16's,OR
g15azevj1az,183189,AZ East Valley Juniors 15 Elite,15's,AZ
g15onevb1az,183406,Club One AZ 15 Platinum,15's,AZ
g14clubv1im,183458,Club V 14 Black Silver,14's,UT
g15clubv2im,183463,Club V 15 Black Kyle,15's,UT
g15storm1az,183474,Arizona Storm Elite 15 Thunder,15's,AZ
g16houjr2ls,192629,HJV 16 Premier,16's,TX
g15hosky1ls,192703,Houston Skyline 15 Royal,15's,TX
g16hosky1ls,192704,Houston Skyline 16 Royal,16's,TX
g17hosky1ls,192705,Houston Skyline 17 Royal,17's,TX
g15tmdyn1ha,193218,Adidas Dynasty 15 Black,15's,KS
g16tmdyn1ha,193219,Adidas Dynasty 16 Black,16's,KS
g17tmdyn1ha,193220,Adidas Dynasty 17 Black,17's,KS
g17askyl1ls,193327,Austin Skyline 17 Royal,17's,TX
g14revol1az,193971,AZ REV 14 Premier,14's,AZ
g15msprt1ov,194963,Mintonette Sports m.51,15's,OH
g17tavho1ls,204299,2025 TAV Houston 17 Adidas,17's,TX
g15hosky2ls,204410,Houston Skyline 15 Black,15's,TX
g16hosky2ls,204411,Houston Skyline 16 Black,16's,TX
g17hosky2ls,204412,Houston Skyline 17 Black,17's,MO
g17adver1gl,204975,Adversity G17 Adidas,17's,IL
g15npjvb1ce,206068,NPJ Salem 15 National,15's,OR
g16storm1az,206383,Arizona Storm Elite 16 Thunder,16's,AZ
g16cojrs1rm,211372,CO JRS 16Shannon,16's,CO
g14hosky1ls,211386,Houston Skyline 14 Royal,14's,TX
g17houjr2ls,211947,HJV 17 Premier,17's,TX
g17clubv1im,213560,Club V 17 Black Reed,17's,UT
g17azevj1az,214115,AZ East Valley Juniors 17 Elite,17's,AZ
g17revol1az,214141,AZ REV 17 Premier,17's,AZ
g17npjvb1ce,215163,NPJ Salem 17 National,17's,WA
g15azsky1az,215447,AZ SKY 15 GOLD,15's,AZ
g17azsky1az,215655,AZ Sky 17 Gold,17's,AZ
g16azsky1az,215656,AZ Sky 16 Gold,16's,AZ
g16adver1gl,215900,Adversity G16 Adidas,16's,IL
g14scvbc1im,216692,South County 14 Darice,14's,UT
g14azsky1az,217257,AZ SKY 14 GOLD,14's,AZ
g13storm1az,221775,Arizona Storm Elite 13 Thunder,13's,AZ
g14kairo1no,222645,Kairos 14 Alpha,14's,SD
g15clubv1im,226581,Club V 15 Black Stephanie,15's,UT
g12idcrs1im,226737,Idaho Crush 13,13's,ID
g14idcrs1im,226738,Idaho Crush 14 Bower,14's,ID
g14aperf1ls,230234,AP 14 Adidas,14's,TX
g15kairo1no,230817,Kairos 15 Alpha,15's,SD
g16storm2az,232015,Arizona Storm Elite 16 Lightning,16's,AZ
g16kairo1no,232307,Kairos 16 Alpha,16's,SD
g16clubv1im,236783,Club V 16 Black Kalee,16's,UT
g16tavho1ls,238938,2025 TAV Houston 16 Adidas Ray,16's,TX
g15stvac1ls,239456,STVA 15 Mizuno,15's,TX
g14stvac1ls,239457,STVA 14 Mizuno,14's,TX
g17kairo1no,240072,Kairos 17 Alpha,17's,SD
g16frvbc1rm,240892,FRVBC 16 Black,16's,CO
g16cpavb1ev,240943,CPA 16 Benson,16's,WA
g14azsky2az,241073,AZ SKY 14 Blue,14's,AZ
g15azsky2az,241074,AZ SKY 15 Blue,15's,AZ
g16azsky2az,241075,AZ SKY 16 BLUE,16's,AZ
g13azsky1az,241084,AZ SKY 13 Gold,13's,AZ
g13kaulu1ah,242310,Ka Ulukoa 13 Tanya,13's,HI
g17frvbc1rm,242859,FRVBC 17-1 Black,17's,CO
g16clubv2im,243463,Club V 16 Black Kolton,16's,UT
g16norco1rm,244133,Norco 16 Black,16's,CO
g17npjpd1ce,246187,NPJ Portland 17 National,17's,OR
g15storm2az,248596,Arizona Storm Elite 15 Lightning,15's,AZ
g14iautd1ia,250253,Iowa United 141 Elite,14's,IA
g15iautd1ia,250254,Iowa United 151 Elite,15's,IA
g15npjpd1ce,250319,NPJ Portland 15 National,15's,OR
g16npjbe1ce,250320,NPJ Bend 16 National,16's,OR
g14npjbe1ce,250322,NPJ Bend 14 National,14's,OR
g13atomc1az,250721,ATOMIC 13 Smack Premier,13's,AZ
g15idcrs1im,250782,Idaho Crush 15 Bower,15's,ID
g14aspir1az,250970,Aspire 14 Alpha,14's,AZ
g15aspir1az,250971,Aspire 15 Alpha,15's,AZ
g16aspir1az,250972,Aspire 16 Alpha,16's,AZ
g15tavho1ls,254737,2025 TAV Houston 15 Adidas,15's,TX
g16iautd1ia,255151,Iowa United 161 Elite,16's,IA
g13revol1az,255156,AZ REV 13 Premier,13's,AZ
g14omniv1az,255172,Omni 14N1,14's,AZ
g13hosky1ls,255276,Houston Skyline 13 Royal,13's,TX
g14hosky2ls,255277,Houston Skyline 14 Black,14's,TX
g13mouvi1nc,255304,MVVC G 13 Red,13's,CA
g16wacov1ls,255311,Waco VBC 16 Black,16's,TX
g13ojvac1ce,255391,OJVA 13-1 Gold,13's,OR
g15atomc1az,255427,ATOMIC 15 Smack Premier,15's,AZ
g16atomc1az,255428,ATOMIC 16 Smack Premier,16's,AZ
