TeamCode,2025NIT
	g14clubv7im,Yes
14 salty kyle,Yes
16n ryan,Yes
ava 18 blue,Yes
b12w34ey1im,Yes
b13scbvb2im,Yes
b14ajaxb1ce,Yes
b14clgsl1im,Yes
b14scbvb1im,Yes
b14vorvb1im,Yes
b15scbvb1im,Yes
b15scbvb2im,Yes
b16idone1im,Yes
b16idsvc2im,Yes
b16scbvb1im,Yes
b16scbvb2im,Yes
b16scvbc1im,Yes
b16vorvb1im,Yes
b17clgsl3im,Yes
b17e3vbc1su,Yes
b17scbvb1im,Yes
b17scvbc1im,Yes
b17vorvb1im,Yes
b18arvca1su,Yes
b18clgsl2im,Yes
b18hivev1im,Yes
b18hivev2im,Yes
b18idsvc3im,Yes
b18scbvb1im,Yes
b18scbvb4im,Yes
b18scvbc1im,Yes
b18slctd1sc,Yes
b18tclub1aau34,Yes
f13hivev1im,Yes
g11clubv1im,Yes
g12clubv1im,Yes
g12cojrs1rm,Yes
g12cutah3im,Yes
g12hicvb1im,Yes
g12idone1im,Yes
g12kaulu2ah,Yes
g12scvbc1im,Yes
g13athen1ce,Yes
g13clgsl1im,Yes
g13clgsl2im,Yes
g13clubv1im,Yes
g13clubv2im,Yes
g13clubv3im,Yes
g13cojrs2rm,Yes
g13dakwa1ps,Yes
g13dakwa2ps,Yes
g13idone1im,Yes
g13mnvbc1im,Yes
g13mnvbc2im,Yes
g13scvbc1im,Yes
g14208vb1ev,Yes
g14aloha1ah,Yes
g14athen1ce,Yes
g14athen2ce,Yes
g14clgsl1im,Yes
g14clgsl2im,Yes
g14clubv3im,Yes
g14clubv4im,Yes
g14cojrs2rm,Yes
g14dakwa1ps,Yes
g14dakwa2ps,Yes
g14hicvb1im,Yes
g14hwnst1ah,Yes
g14idone1im,Yes
g14idone2im,Yes
g14jamme1ah,Yes
g14kaulu2ah,Yes
g14mtnpk1im,Yes
g14npjse1ps,Yes
g14nsvbc1ah,Yes
g14swvbc1im,Yes
g14w34ey1im,Yes
g14w34ey2im,Yes
g15acesh1ah,Yes
g15athbd1ce,Yes
g15athen2ce,Yes
g15azevj2az,Yes
g15bgsky1ev,Yes
g15clgsl1im,Yes
g15cloud1rm,Yes
g15clubv3im,Yes
g15clubz1su,Yes
g15cpavb1ev,Yes
g15cutah2im,Yes
g15dakwa1ps,Yes
g15dakwa2ps,Yes
g15elath1im,Yes
g15hicvb1im,Yes
g15idone1im,Yes
g15idone2im,Yes
g15idone3im,Yes
g15jamme1ah,Yes
g15kaulu2ah,Yes
g15mystk1su,Yes
g15nevba1im,Yes
g15npjse1ps,Yes
g15npjse2ps,Yes
g15plscv2sc,Yes
g15plscv3sc,Yes
g15revol2az,Yes
g15scvbc1im,Yes
g15tclub1aau34,Yes
g15tsrsn1nc,Yes
g15tsrsn2nc,Yes
g15uplat2im,Yes
g15w34ey1im,Yes
g15w34ey2im,Yes
g15w34ey3im,Yes
g16808ac1ah,Yes
g16athbd1ce,Yes
g16athen1ce,Yes
g16athen2ce,Yes
g16bgsky2ev,Yes
g16bgsky8ev,Yes
g16blahi1no,Yes
g16ccvbc4ev,Yes
g16cityv2sc,Yes
g16clgsl1im,Yes
g16clubv3im,Yes
g16clubv4im,Yes
g16clubv7im,Yes
g16clubv8im,Yes
g16clubz1su,Yes
g16cross1rm,Yes
g16csalt1rm,Yes
g16dakwa1ps,Yes
g16dakwa2ps,Yes
g16elath1im,Yes
g16elath2im,Yes
g16hicvb1im,Yes
g16hicvb2im,Yes
g16hivev1im,Yes
g16idone1im,Yes
g16idone2im,Yes
g16idone3im,Yes
g16idone4im,Yes
g16idone5im,Yes
g16jdwvc1ca,Yes
g16kvahi1ah,Yes
g16mghty1ev,Yes
g16mnvbc1im,Yes
g16mtnpk1im,Yes
g16nevba1im,Yes
g16npjse1ps,Yes
g16npjse2ps,Yes
g16ramvb1im,Yes
g16rnvtr1ev,Yes
g16scvbc1im,Yes
g16tsrsn1nc,Yes
g16tsrsn2nc,Yes
g16uplat1im,Yes
g16uplat2im,Yes
g16vorvb1im,Yes
g16w34ey2im,Yes
g16wyoac1rm,Yes
g17435vb1im,Yes
g17aces1ah,Yes
g17athen1ce,Yes
g17athen2ce,Yes
g17clgsl1im,Yes
g17clubv2im,Yes
g17clubv5im,Yes
g17clubv9im,Yes
g17cross1rm,Yes
g17cutah2im,Yes
g17dakwa1ps,Yes
g17elath1im,Yes
g17elath2im,Yes
g17idone1im,Yes
g17idone2im,Yes
g17idone3im,Yes
g17kaulu2ah,Yes
g17mghty1ev,Yes
g17mtnpk1im,Yes
g17npjse1ps,Yes
g17npjse2ps,Yes
g17scvbc1im,Yes
g17tclub1aau34,Yes
g17uplat2im,Yes
g17w34ey2im,Yes
g17w38cw1im,Yes
g18cross1rm,Yes
g18hwnst1ah,Yes
g18mauna1ah,Yes
g18nevba1im,Yes
g18nevba2im,Yes
g18north1ah,Yes
w3edcf,Yes
w3ee5w,Yes
w3f8a6,Yes
w3fwcw,Yes
will's 18's,Yes
