TeamCode,TeamName,2025 Triple Crown NIT
g121unvb1nt,1United 12N Blue,7 (12 & Under)
g12afive1so,A5 12-1 LA,3 (12 & Under)
g12akiva1pr,Adidas KIVA 12 Red,15 (12 & Under)
g12coast1sc,COAST 12-1 Tina,9 (12 & Under)
g12elevb1rm,Elevation 12 Peak,18 (12 & Under)
g12excel1nt,EXCEL 12 National Red,3 (12 & Under)
g12frogs1nt,MADFROG 12'S N GREEN,1 (12 & Under)
g12kairo1no,Kairos 12 Alpha,19 (12 & Under)
g12mavbc1ha,MAVS 12 Elite,9 (12 & Under)
g12milon1sc,Miz LB 12 Rockstar,8 (12 & Under)
g12mnsel1no,MN Select 12-1,19 (12 & Under)
g12munvb1ho,Munciana 12 Peppers,11 (12 & Under)
g12power1ha,KC Power 12 Martincich,15 (12 & Under)
g12premr1gp,Premier Nebraska 12 Gold,5 (12 & Under)
g12pvakc1ha,PVA 12 ELITE,13 (12 & Under)
g12rwdth1gw,Rockwood Thunder 12 Elite,14 (12 & Under)
g12srfsd1sc,Surfside 12 PV Legends,2 (12 & Under)
g12storm1az,ARIZONA STORM 12 THUNDER,17 (12 & Under)
g12tmdyn1ha,DYNASTY 12 Black,5 (12 & Under)
g12txadv1nt,TAV 12 Black,11 (12 & Under)
g131unvb1nt,1United 13N Blue,11 (13 & Under)
g13afive1so,A5 13-1 Karen,5 (13 & Under)
g13akiva1pr,Adidas KIVA 13 Red,27 (13 & Under)
g13allia1gl,1st Alliance 13-1,13 (13 & Under)
g13askyl1ls,Austin Skyline 13 Royal,13 (13 & Under)
g13atomc1az,ATOMIC 13 Smack Premier,13 (13 & Under)
g13azsky1az,AZ SKY 13 Gold,5 (13 & Under)
g13clubv1im,Club V 13 Black Corrie,29 (13 & Under)
g13eleva1ov,Elevation 13 Molly,21 (13 & Under)
g13excel1nt,EXCEL 13 National Red,9 (13 & Under)
g13frogs1nt,MADFROG 13'S N GREEN,13 (13 & Under)
g13houjr1ls,HJV 13 ELITE,26 (13 & Under)
g13kairo1no,Kairos 13 Alpha,29 (13 & Under)
g13legvc1lk,Legacy 13-1 ADIDAS,3 (13 & Under)
g13mavbc1ha,MAVS 13 Elite,11 (13 & Under)
g13milon1sc,MIZ LB 13 Rockstar,2 (13 & Under)
g13mnsel1no,MN Select 13-1,27 (13 & Under)
g13msprt1ov,Mintonette Sports - m.31,19 (13 & Under)
g13munvb1ho,Munciana 13 Stingrays,29 (13 & Under)
g13otbva1fl,OT 13 T Tabitha,17 (13 & Under)
g13otbva2fl,OT 13 O TJ,18 (13 & Under)
g13pohak1ha,Pohaku 13-1,25 (13 & Under)
g13power1ha,KC Power 13 Dorsey,10 (13 & Under)
g13premr1gp,Premier Nebraska 13 Gold,21 (13 & Under)
g13premr2gp,Premier Nebraska 13 Black,29 (13 & Under)
g13rwdth1gw,Rockwood Thunder 13 Elite,21 (13 & Under)
g13skyln1nt,Dallas Skyline 13 Royal,1 (13 & Under)
g13storm1az,ARIZONA STORM 13 THUNDER,3 (13 & Under)
g13tmdyn1ha,DYNASTY 13 Black,5 (13 & Under)
g13txadv1nt,TAV 13 Black,21 (13 & Under)
g13vcneb1gp,VCNebraska 13 Elite,19 (13 & Under)
g13wvevb1sc,WAVE 13-Tammy,5 (13 & Under)
g141unvb1nt,1United 14N Blue,22 (14 & Under)
g14absol1nc,Absolute 14 Black,51 (14 & Under)
g14acavc1ov,AVC CLE 14 Red,13 (14 & Under)
g14actyv1sc,Actyve 14-Navy,89 (14 & Under)
g14afive1so,A5 141 Helen,1 (14 & Under)
g14afive2so,A5 142 Earl,61 (14 & Under)
g14akiva1pr,Adidas KIVA 14 Red,49 (14 & Under)
g14allia1gl,1st Alliance 14-1,33 (14 & Under)
g14allvb1so,Alliance 14 REN,78 (14 & Under)
g14aperf1ls,AP 14 adidas,89 (14 & Under)
g14askyl1ls,Austin Skyline 14 Royal,57 (14 & Under)
g14aspir1az,Aspire 14 Alpha,85 (14 & Under)
g14avatx1ls,AVA TX 14 Adidas,75 (14 & Under)
g14azsky1az,AZ Sky 14 Gold,45 (14 & Under)
g14balby1sc,Balboa Bay 14 Blue,100 (14 & Under)
