Match ID,First Team ID,First Team Name,Second Team ID,Second Team Name,Winner,Set Scores
-52087,197786,SPIKES 12 JumpStart,9711,NORCO 12 Black,NORCO 12 Black,"25-11, 25-11"
-52088,187725,High Desert Elite 13 E,9711,NORCO 12 Black,NORCO 12 Black,"25-11, 19-25, 15-7"
-52090,200946,Crossfire 13-1,9711,NORCO 12 Black,NORCO 12 Black,"25-9, 25-11"
-50086,9711,NORCO 12 Black,9939,FRVBC 12-1 Black,NORCO 12 Black,"25-12, 25-14"
-50088,9711,NORCO 12 Black,25395,CVA 13 Black,NORCO 12 Black,"25-18, 25-7"
-50090,84577,RVC 13-RELENTLESS,9711,NORCO 12 Black,NORCO 12 Black,"25-16, 25-21"
-50134,104098,Rocky Elite 13 National,9711,NORCO 12 Black,NORCO 12 Black,"25-22, 25-21"
-50132,84577,RVC 13-RELENTLESS,9711,NORCO 12 Black,NORCO 12 Black,"25-17, 25-21"
-50028,84577,RVC 13-RELENTLESS,199849,CoJrs 12Mal,RVC 13-RELENTLESS,"25-21, 25-22"
-50030,84577,RVC 13-RELENTLESS,197788,SPIKES 13 JumpStart,SPIKES 13 JumpStart,"25-16, 25-20"
-50033,84577,RVC 13-RELENTLESS,199899,CVA 12 Black,RVC 13-RELENTLESS,"25-13, 25-11"
-50085,84577,RVC 13-RELENTLESS,25395,CVA 13 Black,RVC 13-RELENTLESS,"25-18, 25-11"
-50087,84577,RVC 13-RELENTLESS,9939,FRVBC 12-1 Black,RVC 13-RELENTLESS,"25-8, 25-8"
-50133,187725,High Desert Elite 13 E,84577,RVC 13-RELENTLESS,RVC 13-RELENTLESS,"25-12, 19-25, 15-7"
-52086,187725,High Desert Elite 13 E,200946,Crossfire 13-1,High Desert Elite 13 E,"25-9, 25-8"
-52091,187725,High Desert Elite 13 E,197786,SPIKES 12 JumpStart,High Desert Elite 13 E,"25-9, 25-11"
-50076,104098,Rocky Elite 13 National,187725,High Desert Elite 13 E,High Desert Elite 13 E,"22-25, 26-24, 16-14"
-50079,71176,Juggernaut 12-Regional1,187725,High Desert Elite 13 E,High Desert Elite 13 E,"25-16, 29-27"
-50080,187725,High Desert Elite 13 E,199849,CoJrs 12Mal,High Desert Elite 13 E,"25-23, 25-23"
-52083,104098,Rocky Elite 13 National,197946,Believe 13 Jubilee,Rocky Elite 13 National,"25-6, 25-11, 25-7"
-52085,104098,Rocky Elite 13 National,9939,FRVBC 12-1 Black,Rocky Elite 13 National,"25-16, 25-22, 22-25"
-50078,104098,Rocky Elite 13 National,199849,CoJrs 12Mal,Rocky Elite 13 National,"25-16, 25-17"
-50081,104098,Rocky Elite 13 National,71176,Juggernaut 12-Regional1,Rocky Elite 13 National,"25-19, 25-13"
-52093,25395,CVA 13 Black,71176,Juggernaut 12-Regional1,Juggernaut 12-Regional1,"25-21, 29-31, 16-14"
-52094,202614,Cloud Peak 13 Elite,71176,Juggernaut 12-Regional1,Juggernaut 12-Regional1,"25-23, 25-23"
-52096,197961,FRVBC 13-2 Red,71176,Juggernaut 12-Regional1,Juggernaut 12-Regional1,"25-15, 25-12"
-50077,71176,Juggernaut 12-Regional1,199849,CoJrs 12Mal,Juggernaut 12-Regional1,"25-19, 25-20"
-50145,25395,CVA 13 Black,71176,Juggernaut 12-Regional1,Juggernaut 12-Regional1,"25-20, 25-15"
-50143,202614,Cloud Peak 13 Elite,71176,Juggernaut 12-Regional1,Juggernaut 12-Regional1,"24-26, 29-27, 15-12"
-52092,202614,Cloud Peak 13 Elite,197961,FRVBC 13-2 Red,Cloud Peak 13 Elite,"25-7, 25-10"
-52097,202614,Cloud Peak 13 Elite,25395,CVA 13 Black,CVA 13 Black,"22-25, 25-15, 15-9"
-52099,202614,Cloud Peak 13 Elite,197788,SPIKES 13 JumpStart,Cloud Peak 13 Elite,"25-19, 20-25, 15-9"
-52101,202614,Cloud Peak 13 Elite,197786,SPIKES 12 JumpStart,Cloud Peak 13 Elite,"25-23, 23-25, 18-16"
-52103,197946,Believe 13 Jubilee,202614,Cloud Peak 13 Elite,Cloud Peak 13 Elite,"25-13, 25-13"
-50147,202614,Cloud Peak 13 Elite,199849,CoJrs 12Mal,Cloud Peak 13 Elite,"25-22, 25-20"
-50144,9939,FRVBC 12-1 Black,202614,Cloud Peak 13 Elite,Cloud Peak 13 Elite,"25-14, 23-25, 15-11"
-52095,25395,CVA 13 Black,197961,FRVBC 13-2 Red,CVA 13 Black,"25-16, 25-8"
-50089,25395,CVA 13 Black,9939,FRVBC 12-1 Black,FRVBC 12-1 Black,"25-14, 27-25"
-50148,25395,CVA 13 Black,199899,CVA 12 Black,CVA 13 Black,"27-25, 25-15"
-52084,9939,FRVBC 12-1 Black,197946,Believe 13 Jubilee,FRVBC 12-1 Black,"25-18, 25-16, 25-17"
-50031,199899,CVA 12 Black,199849,CoJrs 12Mal,CoJrs 12Mal,"25-22, 25-23"
-50032,199849,CoJrs 12Mal,197788,SPIKES 13 JumpStart,CoJrs 12Mal,"22-25, 25-20, 15-5"
-50029,199899,CVA 12 Black,197788,SPIKES 13 JumpStart,CVA 12 Black,"25-15, 15-25, 15-7"
-50113,199899,CVA 12 Black,197961,FRVBC 13-2 Red,CVA 12 Black,"25-11, 25-7, 24-26"
-50115,199899,CVA 12 Black,200946,Crossfire 13-1,CVA 12 Black,"25-13, 18-25, 25-18"
-52100,197946,Believe 13 Jubilee,197788,SPIKES 13 JumpStart,SPIKES 13 JumpStart,"25-8, 25-19"
-52102,197786,SPIKES 12 JumpStart,197788,SPIKES 13 JumpStart,SPIKES 13 JumpStart,"22-25, 25-12, 15-7"
-52105,197788,SPIKES 13 JumpStart,197946,Believe 13 Jubilee,SPIKES 13 JumpStart,"25-10, 25-14"
-52104,197788,SPIKES 13 JumpStart,197786,SPIKES 12 JumpStart,SPIKES 13 JumpStart,"25-16, 25-18"
-52089,197786,SPIKES 12 JumpStart,200946,Crossfire 13-1,Crossfire 13-1,"25-13, 18-25, 15-13"
-52098,197946,Believe 13 Jubilee,197786,SPIKES 12 JumpStart,SPIKES 12 JumpStart,"25-9, 25-17"
-52106,197786,SPIKES 12 JumpStart,200946,Crossfire 13-1,SPIKES 12 JumpStart,"25-21, 25-17"
