TeamName,TeamCode,OriginalTeamCode,FinishRank,DivisionName,EventName
MADFROG 12'S N GREEN,g12frogs1nt,g12frogs1nt,1 (12 & Under),12 & Under,2025 Triple Crown NIT
Surfside 12 PV Legends,g12srfsd1sc,g12srfsd1sc,2 (12 & Under),12 & Under,2025 Triple Crown NIT
A5 12-1 LA,g12afive1so,g12afive1so,3 (12 & Under),12 & Under,2025 Triple Crown NIT
EXCEL 12 National Red,g12excel1nt,g12excel1nt,3 (12 & Under),12 & Under,2025 Triple Crown NIT
DYNASTY 12 Black,g12tmdyn1ha,g12tmdyn1ha,5 (12 & Under),12 & Under,2025 Triple Crown NIT
Premier Nebraska 12 Gold,g12premr1gp,g12premr1gp,5 (12 & Under),12 & Under,2025 Triple Crown NIT
1United 12N Blue,g121unvb1nt,g121unvb1nt,7 (12 & Under),12 & Under,2025 Triple Crown NIT
Miz LB 12 Rockstar,g12milon1sc,g12milon1sc,8 (12 & Under),12 & Under,2025 Triple Crown NIT
COAST 12-1 Tina,g12coast1sc,g12coast1sc,9 (12 & Under),12 & Under,2025 Triple Crown NIT
MAVS 12 Elite,g12mavbc1ha,g12mavbc1ha,9 (12 & Under),12 & Under,2025 Triple Crown NIT
Munciana 12 Peppers,g12munvb1ho,g12munvb1ho,11 (12 & Under),12 & Under,2025 Triple Crown NIT
TAV 12 Black,g12txadv1nt,g12txadv1nt,11 (12 & Under),12 & Under,2025 Triple Crown NIT
PVA 12 ELITE,g12pvakc1ha,g12pvakc1ha,13 (12 & Under),12 & Under,2025 Triple Crown NIT
Rockwood Thunder 12 Elite,g12rwdth1gw,g12rwdth1gw,14 (12 & Under),12 & Under,2025 Triple Crown NIT
Adidas KIVA 12 Red,g12akiva1pr,g12akiva1pr,15 (12 & Under),12 & Under,2025 Triple Crown NIT
KC Power 12 Martincich,g12power1ha,g12power1ha,15 (12 & Under),12 & Under,2025 Triple Crown NIT
ARIZONA STORM 12 THUNDER,g12storm1az,g12storm1az,17 (12 & Under),12 & Under,2025 Triple Crown NIT
Elevation 12 Peak,g12elevb1rm,g12elevb1rm,18 (12 & Under),12 & Under,2025 Triple Crown NIT
Kairos 12 Alpha,g12kairo1no,g12kairo1no,19 (12 & Under),12 & Under,2025 Triple Crown NIT
MN Select 12-1,g12mnsel1no,g12mnsel1no,19 (12 & Under),12 & Under,2025 Triple Crown NIT
Dallas Skyline 13 Royal,g13skyln1nt,g13skyln1nt,1 (13 & Under),13 & Under,2025 Triple Crown NIT
MIZ LB 13 Rockstar,g13milon1sc,g13milon1sc,2 (13 & Under),13 & Under,2025 Triple Crown NIT
