Division,Group,Bracket,Match,Time,Court,Date
12 & Under,R3 EliteChamp,Championship Bracket,Match 5,12:10 PM,KCCC 29,2026-02-16
12 & Under,R3 EliteChamp,Championship Bracket (Semifinal),Match 3,09:50 AM,KCCC 29,2026-02-16
12 & Under,R3 EliteChamp,Championship Bracket (Semifinal),Match 4,09:50 AM,KCCC 30,2026-02-16
12 & Under,R3 Elite7th,7th Place Bracket,Match 5,01:20 PM,KCCC 29,2026-02-16
12 & Under,R3 OpenChamp,Championship Bracket,Match 3,09:50 AM,Municipal 70,2026-02-16
12 & Under,R3 OpenChamp,Championship Bracket (Semifinal),Match 1,07:30 AM,Municipal 70,2026-02-16
12 & Under,R3 OpenChamp,Championship Bracket (Semifinal),Match 2,08:40 AM,Municipal 70,2026-02-16
12 & Under,R3 Open5th,5th Place Bracket,Match 3,02:30 PM,KCCC 30,2026-02-16
13 & Under,R3 EliteChamp,Championship Bracket,Match 7,11:30 AM,Taraflex 15,2026-02-16
13 & Under,R3 EliteChamp,Championship Bracket (Semifinal),Match 5,09:50 AM,KCCC 13,2026-02-16
13 & Under,R3 EliteChamp,Championship Bracket (Semifinal),Match 6,09:50 AM,KCCC 14,2026-02-16
13 & Under,R3 Elite9th,9th Place Bracket,Match 7,01:20 PM,KCCC 63,2026-02-16
13 & Under,R3 OpenChamp,Championship Bracket,Match 7,12:10 PM,KCCC 63,2026-02-16
13 & Under,R3 OpenChamp,Championship Bracket (Semifinal),Match 5,09:50 AM,KCCC 63,2026-02-16
13 & Under,R3 OpenChamp,Championship Bracket (Semifinal),Match 6,09:50 AM,KCCC 64,2026-02-16
13 & Under,R3 Open9th,9th Place Bracket,Match 7,02:30 PM,KCCC 65,2026-02-16
14 & Under,R2 EliteCh,Championship Bracket,Match 31,12:40 PM,Taraflex 15,2026-02-16
14 & Under,R2 EliteCh,Championship Bracket (Semifinal),Match 29,11:00 AM,KCCC 13,2026-02-16
14 & Under,R2 EliteCh,Championship Bracket (Semifinal),Match 30,11:00 AM,KCCC 14,2026-02-16
14 & Under,R2 OpenCh,Championship Bracket,Match 15,02:30 PM,KCCC 13,2026-02-16
14 & Under,R2 OpenCh,Championship Bracket (Semifinal),Match 13,12:10 PM,KCCC 13,2026-02-16
14 & Under,R2 OpenCh,Championship Bracket (Semifinal),Match 14,01:20 PM,KCCC 13,2026-02-16
14 & Under,R3 Elite9th,9th Place Bracket,Match 7,01:20 PM,KCCC 59,2026-02-16
14 & Under,R3 Elite17th,17th Place Bracket,Match 15,01:20 PM,KCCC 60,2026-02-16
14 & Under,R3 Open5th,5th Place Bracket,Match 3,02:30 PM,KCCC 62,2026-02-16
14 & Under,R3 Open9th,9th Place Bracket,Match 7,02:30 PM,KCCC 14,2026-02-16
14 & Under,R3 SelectCh,Championship Bracket,Match 6,01:20 PM,Municipal 68,2026-02-16
14 & Under,R3 SelectCh,Championship Bracket (Semifinal),Match 4,11:00 AM,Municipal 68,2026-02-16
14 & Under,R3 SelectCh,Championship Bracket (Semifinal),Match 5,12:10 PM,Municipal 68,2026-02-16
14 & Under,R3 Select7th,7th Place Bracket,Match 6,01:20 PM,Municipal 67,2026-02-16
14 & Under,R3 Select13th,13th Place Bracket,Match 5,03:40 PM,KCCC 8,2026-02-16
14 & Under,R3 Select19th,19th Place Bracket,Match 4,02:30 PM,Municipal 70,2026-02-16
14 & Under,R4 Elite25th,25th Place Bracket,Match 7,02:30 PM,KCCC 59,2026-02-16
14 & Under,R4 Open13th,13th Place Bracket,Match 3,02:30 PM,KCCC 61,2026-02-16
15 & Under,R2 EliteCh,Championship Bracket,Match 31,01:50 PM,Taraflex 15,2026-02-16
15 & Under,R2 EliteCh,Championship Bracket (Semifinal),Match 29,11:00 AM,KCCC 6,2026-02-16
15 & Under,R2 EliteCh,Championship Bracket (Semifinal),Match 30,11:00 AM,KCCC 7,2026-02-16
15 & Under,R2 OpenCh,Championship Bracket,Match 31,01:20 PM,KCCC 2,2026-02-16
15 & Under,R2 OpenCh,Championship Bracket (Semifinal),Match 29,11:00 AM,KCCC 2,2026-02-16
15 & Under,R2 OpenCh,Championship Bracket (Semifinal),Match 30,11:00 AM,KCCC 3,2026-02-16
15 & Under,R3 Elite5th,5th Place Bracket,Match 1,12:10 PM,KCCC 5,2026-02-16
15 & Under,R3 Elite9th,9th Place Bracket,Match 7,01:20 PM,KCCC 22,2026-02-16
15 & Under,R3 Elite17th,17th Place Bracket,Match 15,01:20 PM,KCCC 40,2026-02-16
15 & Under,R3 Open9th,9th Place Bracket,Match 7,02:30 PM,KCCC 39,2026-02-16
15 & Under,R3 Open17th,17th Place Bracket,Match 15,02:30 PM,KCCC 35,2026-02-16
15 & Under,R3 SelectCh,Championship Bracket,Match 4,02:30 PM,KCCC 1,2026-02-16
15 & Under,R3 SelectCh,Championship Bracket (Semifinal),Match 2,12:10 PM,KCCC 1,2026-02-16
15 & Under,R3 SelectCh,Championship Bracket (Semifinal),Match 3,01:20 PM,KCCC 1,2026-02-16
15 & Under,R3 Select6th,6th Place Bracket,Match 4,02:30 PM,KCCC 4,2026-02-16
15 & Under,R3 Select11th,11th Place Bracket,Match 4,03:40 PM,KCCC 41,2026-02-16
15 & Under,R3 Select16th,16th Place Bracket,Match 4,11:00 AM,Municipal 69,2026-02-16
15 & Under,R3 PrimeCh,Championship Bracket,Match 3,02:30 PM,KCCC 3,2026-02-16
15 & Under,R3 PrimeCh,Championship Bracket (Semifinal),Match 1,12:10 PM,KCCC 3,2026-02-16
15 & Under,R3 PrimeCh,Championship Bracket (Semifinal),Match 2,01:20 PM,KCCC 3,2026-02-16
15 & Under,R3 Prime5th,5th Place Bracket,Match 3,02:30 PM,KCCC 64,2026-02-16
