Team Code,Power Pool Jotform
G12EXCEL1NT,
G13EXCEL1NT,
G14EXCEL1NT,
G15EXCEL1NT,
G16EXCEL1NT,
G17EXCEL1NT,
G18EXCEL1NT,
G14TRIBE1FL,
G15TRIBE1FL,
G16TRIBE1FL,YES
G17TRIBE1FL,
G18TRIBE1FL,
G13ALLIA1GL,
G14ALLIA1GL,YES
G15ALLIA1GL,YES
G15ALLIA2GL,
G17SIXTY1NT,
G16ALLIA1GL,YES
G16NETRE1HA,
G17NETRE1HA,
G16ALLIA2GL,
G17ALLIA1GL,YES
G17ALLIA2GL,
G18ALLIA1GL,YES
G18ALLIA2GL,
G121UNVB1NT,
G131UNVB1NT,
G141UNVB1NT,YES
G151UNVB1NT,
G161UNVB1NT,
G171UNVB1NT,
G17EDGEP1KE,
G12AFIVE1SO,
G13AFIVE1SO,YES
G14AFIVE1SO,YES
G14AFIVE2SO,
G15AFIVE1SO,YES
G15AFIVE2SO,
G16AFIVE1SO,YES
G16AFIVE2SO,
G17AFIVE2SO,
G17AFIVE1SO,YES
G18AFIVE2SO,
G18AFIVE1SO,YES
G15AVATX1LS,
G16AVATX1LS,
G17AVATX1LS,
G18AVATX1LS,
G14ABSOL1NC,YES
G15ABSOL1NC,
G16ABSOL1NC,YES
G17ABSOL1NC,YES
G18ABSOL1NC,
G14ACAVC1OV,YES
G15ACAVC1OV,YES
G16ACAVC1OV,YES
G17ACAVC1OV,YES
G18ACAVC1OV,YES
G16ACESH1AH,
G16ACTYV1SC,
G15ALLVB1SO,
G16ALLVB1SO,
G17ACTYV1SC,
G12TMDYN1HA,
G16APERF1LS,
G13TMDYN1HA,YES
G14TMDYN1HA,YES
G17ARETE1NT,
G15TMDYN1HA,YES
G16TMDYN1HA,YES
G17TMDYN1HA,YES
G18TMDYN1HA,
G16ADRVA1IA,YES
G16ADVER1GL,YES
G17ADVER1GL,
G18ADVER1GL,
G17STORM2AZ,
G14ALAMO1LS,YES
G15ALAMO1LS,
G16ALAMO1LS,YES
G17ALAMO1LS,
G18ALAMO1LS,
G14ARVCA1SU,
G16ARVCA1SU,
G15ATHEN1CE,
G16ATHEN1CE,
G17ATHEN1CE,
G16ARETE1NT,
G12AZSKY1AZ,
G14AZSKY1AZ,YES
G15AZSKY1AZ,YES
G16ASKYL1LS,
G17ASKYL1LS,
G16AZSKY1AZ,
G17AZSKY1AZ,YES
G18AZSKY1AZ,YES
G12STORM1AZ,
G13STORM1AZ,YES
G14STORM1AZ,YES
G15STORM1AZ,YES
G15STORM2AZ,
G16STORM1AZ,
G16STORM2AZ,
G15AZEVJ1AZ,
G16AZEVJ1AZ,
G17AZEVJ1AZ,
G17STORM1AZ,YES
G18STORM1AZ,
G15ASPIR1AZ,
G16ASPIR1AZ,
G17ASPIR1AZ,
G14ATHEN1CE,
G18ATHEN1CE,
G18APVBC1SO,
G14ATOMC1AZ,
G15AJVBA1LS,
G16BGSKY1EV,
G16AJVBA1LS,YES
G17AJVBA1LS,YES
G18AJVBA1LS,
G16BOMER1FL,
G17CHICI1GL,
G13APERF1LS,
G15APERF1LS,
G14ASKYL1LS,
G15ASKYL1LS,
G16ONEVB1AZ,
G18ASKYL1LS,
G15CJVVB1CR,
G16CJVVB1CR,YES
G14CARUN1CR,
G15CARUN1CR,
G16CARUN1CR,
G17CARUN1CR,
G17CITYV1SC,
G13CVBCO1OV,
G15CVBCO1OV,
G18CVBCO1OV,
G15ONEVB1AZ,
G17ONEVB1AZ,
G15CLSVB1IM,
G14CLUBV2IM,
G14CLUBV1IM,
G15CLUBV2IM,
G15CLUBV1IM,
G16CLUBV2IM,
G16CLUBV1IM,YES
G17CLUBV1IM,YES
G17CLUBV2IM,
G18CLUBV2IM,
G15COJRS2RM,
G18CLUBV1IM,
G16COJRS2RM,
G13COAST1SC,
G14COAST1SC,
G17COJRS2RM,
G16COELT1RM,
G17COELT1RM,
G16CPAVB1EV,
G17CPAVB1EV,
G15COAST1SC,
G15COAST2SC,
