Team Code,Team Name
G13ALLIA1GL,1st Alliance 13-1
G14ALLIA1GL,1st Alliance 14-1
G15ALLIA1GL,1st Alliance 15 Gold
G15ALLIA2GL,1st Alliance 15 Silver
G16ALLIA1GL,1st Alliance 16 Gold
G16ALLIA2GL,1st Alliance 16 Silver
G17ALLIA1GL,1st Alliance 17 Gold
G17ALLIA2GL,1st Alliance 17 Silver
G18ALLIA1GL,1st Alliance 18 Gold
G18ALLIA2GL,1st Alliance 18 Silver
G171UNVB1NT,1United 17N Blue
G161UNVB1NT,1United 16N Blue
G151UNVB1NT,1United 15N Blue
G141UNVB1NT,1United 14N Blue
G131UNVB1NT,1United 13N Blue
G121UNVB1NT,1United 12N Blue
G17SIXTY1NT,360 17 HP Elite
G17EDGEP1KE,3DGE 171 Gold
G17NETRE1HA,417 MoJrs 17 Elite Black
G16NETRE1HA,417 MoJrs 16 Elite
G16AFIVE1SO,A5 16-Gabe
G16AFIVE2SO,A5 16-Stephen
G17AFIVE1SO,A5 17 Calvin
G17AFIVE2SO,A5 17 AG
G12AFIVE1SO,A5 12-LA
G13AFIVE1SO,A5 13-Karen
G14AFIVE1SO,A5 14 Helen
G14AFIVE2SO,A5 14 MoBetty
G15AFIVE1SO,A5 15-Kelly
G15AFIVE2SO,A5 15-Victor
G18AFIVE1SO,A5 18 Marc
G18AFIVE2SO,A5 18 Boba
G18AVATX1LS,AVA TX 18 Adidas
G16AVATX1LS,AVA TX 16 Adidas
G15AVATX1LS,AVA TX 15 Adidas
G17AVATX1LS,AVA TX 17 Adidas
G17ABSOL1NC,Absolute 17 Black
G14ABSOL1NC,Absolute 14 Black
G16ABSOL1NC,Absolute 16 Black
G15ABSOL1NC,Absolute 15 Black
G18ABSOL1NC,Absolute 18 Black
G18ACAVC1OV,AVC CLE 18 Red
G15ACAVC1OV,AVC CLE 15 Red
G14ACAVC1OV,AVC CLE 14 Red
G17ACAVC1OV,AVC CLE 17 Red
G16ACAVC1OV,AVC CLE 16 Red
G16ACESH1AH,Aces Hawaii 16's
G16ACTYV1SC,Actyve 16-Navy
G17ACTYV1SC,Actyve 17-Navy
G17TMDYN1HA,DYNASTY 17 Black 
G17TMDYN2HA,DYNASTY 17 Blue
G16TMDYN1HA,DYNASTY 16 Black
G16TMDYN2HA,DYNASTY 16 Blue
G14TMDYN1HA,DYNASTY 14 Black
G13TMDYN1HA,DYNASTY 13 Black
G12TMDYN1HA,DYNASTY 12 Black
G15TMDYN1HA,DYNASTY 15 Black
G18TMDYN1HA,DYNASTY 18 Black
G16ADRVA1IA,Iowa Premier 16-1
G16ADVER1GL,Adversity G16 Adidas
G17ADVER1GL,Adversity G17 Adidas
G18ADVER1GL,Adversity G18 Adidas
G18ALAMO1LS,Alamo 18 Premier
G16ALAMO1LS,Alamo 16 Premier
G17ALAMO1LS,Alamo 17 Premier
G15ALAMO1LS,Alamo 15 Premier
G14ALAMO1LS,Alamo 14 Premier
G14ARVCA1SU,ARVC 14 Black Adidas
G16ARVCA1SU,ARVC 16 Black Adidas
G16ALLVB1SO,Alliance 16 REN
G15ALLVB1SO,Alliance 15 REN
G16ARETE1NT,Areté 16 Navy Telos
G17ARETE1NT,Areté 17 Navy Telos
G17AZEVJ1AZ,AZ EVJ 17 Elite
G16AZEVJ1AZ,AZ EVJ 16 Elite
G15AZEVJ1AZ,AZ EVJ 15 Elite
G15AZSKY1AZ,AZ Sky 15 Gold
G14AZSKY1AZ,AZ Sky 14 Gold
G12AZSKY1AZ,AZ Sky 12 Gold
G16AZSKY1AZ,AZ Sky 16 Gold
G17AZSKY1AZ,AZ Sky 17 Gold
G18AZSKY1AZ,AZ Sky 18 Gold
G18STORM1AZ,ARIZONA STORM 18 THUNDER
G17STORM1AZ,ARIZONA STORM 17 THUNDER
G17STORM2AZ,ARIZONA STORM 17LIGHTNING
