TeamCode,TeamName,2026NIT,Power Pool Jotform,2025 Triple Crown NIT,2025 USAV Girls Junior National Championship 10-13,2025 USAV Girls Junior National Championship 14-17,2026 ASICS Kansas City MLK Tournament,2026 City of Oaks Challenge,2026 Fiesta MLK Classic Volleyball Tournament,2026 Florida Fest JNQ,2026 JVA Rock N Rumble Wknd 1 Girls 12U-14U,2026 JVA Rock N Rumble Wknd 2 15U-18U,2026 Mideast Power League (MEPL) ,2026 Salt Lake City 18s Showdown,2026 The Nike Classic,2026 Tour of Texas Stop 1: Austin-Bryan,2026 Triple Crown Colorado Challenge,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,2026 Windy City Girl's 18's National Qualifier ,2026 adidas Lone Star Classic 18s,AAU Girls National Volleyball Championships-Wave 1,AAU Girls National Volleyball Championships-Wave 2,AAU Girls National Volleyball Championships-Wave 3,AAU Girls National Volleyball Championships-Wave 4,SCSN Girls 12U/17U Event #1 January 17,SCSN Girls 13U Event #1 January 10,SCSN Girls 14U Event #1 December 20,SCSN Girls 14U Event #2 January 24,SCSN Girls 15U Event #1 January 19,SCSN Girls 16U Event #1 January 18,SCSN Girls 18U Event #1 January 10-11
g13allia1gl,1st Alliance 13-1,Yes,NO,,2 (12 American),,,,,,,,,,,,,,,,,,,,,,,,,,
g14allia1gl,1st Alliance 14-1,Yes,YES,13 (13 & Under),9 (13 National),,,,,,,,,,,,,,,,,,,,,,,,,,
g15allia1gl,1st Alliance 15 Gold,Yes,YES,33 (14 & Under),,5 (14 National),,,,,,,,,,,,,,,,,,,,,,,,,
g15allia2gl,1st Alliance 15 Silver,Yes,NO,,,26 (14 American),,,,,,,,,,,,,,,,,,,,,,,,,
g16allia1gl,1st Alliance 16 Gold,Yes,YES,34 (15 & Under),,27 (15 Open),,,,,,,,,,5 (16 Invitational),,,,,,,,,,,,,,,
g16allia2gl,1st Alliance 16 Silver,Yes,NO,27 (15 & Under),,5 (15 USA),,,,,,,,,,,,,,,,,,,,,,,,,
g17allia1gl,1st Alliance 17 Gold,Yes,YES,13 (16 & Under),,3 (16 National),,,,,,,,,,7 (17 Invitational),,,,,,,32 (16 Open),,,,,,,,
g17allia2gl,1st Alliance 17 Silver,Yes,NO,29 (16 & Under),,17 (16 USA),,,,,,,,,,,,,,,,,,,,,,,,,
g18allia1gl,1st Alliance 18 Gold,Yes,YES,13 (17 & Under),,11 (17 Open),,,,,,,,,,,,,4 (18 Open),,,,,,,,,,,,
g18allia2gl,1st Alliance 18 Silver,Yes,NO,98 (17 & Under),,27 (17 National),,,,,,,,,,,,,5 (18 USA),,,,,,,,,,,,
