TeamCode,2025 Triple Crown NIT,2025 USAV Girls Junior National Championship 10-13,2025 USAV Girls Junior National Championship 14-17,2026 ASICS Kansas City MLK Tournament,2026 City of Oaks Challenge,2026 Fiesta MLK Classic Volleyball Tournament,2026 Florida Fest JNQ,2026 JVA Rock N Rumble Wknd 1 Girls 12U-14U,2026 JVA Rock N Rumble Wknd 2 15U-18U,2026 Mideast Power League (MEPL) ,2026 Salt Lake City 18s Showdown,2026 The Nike Classic,2026 Tour of Texas Stop 1: Austin-Bryan,2026 Triple Crown Colorado Challenge,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,2026 Windy City Girl's 18's National Qualifier ,2026 adidas Lone Star Classic 18s,AAU Girls National Volleyball Championships-Wave 1,AAU Girls National Volleyball Championships-Wave 2,AAU Girls National Volleyball Championships-Wave 3,AAU Girls National Volleyball Championships-Wave 4,SCSN Girls 12U/17U Event #1 January 17,SCSN Girls 13U Event #1 January 10,SCSN Girls 14U Event #1 December 20,SCSN Girls 14U Event #2 January 24,SCSN Girls 15U Event #1 January 19,SCSN Girls 16U Event #1 January 18,SCSN Girls 18U Event #1 January 10-11,TeamName
,,,,,,,,13 (14 Premier Girls),,None (12 Girls Full Schedule),,25 (15 Club),,,,,48 (18 American),21 (10 Girls),43 (14 Aspire),89 (16 Aspire),108 (15 Aspire),,,,,,,,Lehigh Valley Juniors 14s
b12jaxjr4fl,,,,,,,2nd (B12 and B13 Club (non bid)),,,,,,,,,,,,,,,,,,,,,,
b12mavsb1ha,,,,12 (14 Boys),,,,,,,,,,,,,,,,,,,,,,,,,MAVS 12 Red
b12ogold1fl,,,,,,,3rd (B12 and B13 Club (non bid)),,,,,,,,,,,,,,,,,,,,,,
b12wpvcb1fl,,,,,,,5th (B12 and B13 Club (non bid)),,,,,,,,,,,,,,,,,,,,,,
b13513vb1ov,,,,,,,,,,,,15 (14 Boys),,,,,,,,,,,,,,,,,513VB Boys 13-1
b13cattk1ov,,,,,,,,,,,,6 (14 Boys),,,,,,,,,,,,,,,,,Cinci Attack 13 Black
b13dnavb1fl,,,,,,,4th (B12 and B13 Club (non bid)),,,,,,,,,,,,,,,,,,,,,,
b13mavsb1ha,,,,10 (14 Boys),,,,,,,,,,,,,,,,,,,,,,,,,MAVS 13 Red
b13msprt1ov,,,,,,,,,,,,9 (14 Boys),,,,,,,,,,,,,,,,,Mintonette Sports b.31
