TeamName,TeamCode,OriginalTeamCode,FinishRank,DivisionName,EventName,Division ID
Top Select 12 Elite,g12tsvba1fl,g12tsvba1fl,1 (12 Open),12 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
GJ 12 PREMIER,g12gjvbc1fl,g12gjvbc1fl,2 (12 Open),12 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
Top Select 12 Top Blue,g12tsvba2fl,g12tsvba2fl,3 (12 Open),12 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
OT 12 O Cristobal,g12otbva2fl,g12otbva2fl,4 (12 Open),12 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
WPVC 12 Armour Black,g12wpvcb1fl,g12wpvcb1fl,5 (12 Open),12 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
OVA 12 Black,g12light1fl,g12light1fl,6 (12 Open),12 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
CCVV 12 FUCHSIA,g12ccvvb1fl,g12ccvvb1fl,7 (12 Open),12 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
WPVC 11 Armour Black,g11wpvcb1fl,g11wpvcb1fl,8 (12 Open),12 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
GJ 13 ADIDAS,g13gjvbc1fl,g13gjvbc1fl,1 (13 Open),13 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
GP 13 National,g13gpont1fl,g13gpont1fl,2 (13 Open),13 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
OT 13 O TJ,g13otbva2fl,g13otbva2fl,3 (13 Open),13 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
OVA 13 Black,g13light1fl,g13light1fl,4 (13 Open),13 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
Top Select 13 Elite,g13tsvba1fl,g13tsvba1fl,5 (13 Open),13 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
Upontop 13s Elite,g13uotvb1fl,g13uotvb1fl,6 (13 Open),13 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
PSVA 13-1,g13psvba1fl,g13psvba1fl,7 (13 Open),13 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
Top Select 13 Top Blue,g13tsvba2fl,g13tsvba2fl,8 (13 Open),13 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
WPVC 13 Armour Black,g13wpvcb1fl,g13wpvcb1fl,9 (13 Open),13 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
OT 13 J Rico,g13otbva3fl,g13otbva3fl,10 (13 Open),13 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
JJVA 13 Teal,g13jaxjr1fl,g13jaxjr1fl,11 (13 Open),13 Open,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,
