LastCode,LastTeam,CurrentCode,CurrentTeam
g12milon1sc,Miz LB 12 Rockstar,G13SCROC1SC,SC Rockstar 13- Lance
g13milon1sc,MIZ LB 13 Rockstar,G14SCROC1SC,SC Rockstar 14- Libby
g14milon1sc,MIZ LB 14 Rockstar,G15SCROC1SC,SC Rockstar 15 -Carlos
g15milon1sc,MIZ LB 15 Rockstar C,G16SCROC1SC,SC Rockstar 16-Carlos
g16milon1sc,MIZ LB 16 Rockstar,G17SCROC1SC,LOVB 17-Angel
g13scvbc1sc,SCVC 13Roxy,G14SCROC2SC,SC Rockstar 14- Nicole
g14scvbc1sc,SCVC 14Roxy ,G15SCROC2SC,SC Rockstar 15-Stevi
g15scvbc1sc,SCVC 15Roxy,G16SCROC2SC,SC Rockstar 16-Brandon
g16scvbc1sc,SCVC 16Roxy,G17SCROC2SC,LOVB 17-Melissa
g17scvbc1sc,SCVC 17Roxy,G18SCROC1SC,LOVB 18-Amir
