TeamCode,2025NIT,TeamName,2024 Triple Crown NIT,2024 USAV Girls Junior National Championship 11-13,2024 USAV Girls Junior National Championship 14-17,2025 JVA Rock N Rumble Weekend 1 12U-15U,2025 JVA Rock N Rumble Weekend 2 16U-18U,2025 MLK Invitational,2025 The Nike Classic,2025 Tour of Texas: Houston,2025 Triple Crown Colorado Challenge,25 Central Zone Invitational,25 Mideast Power League (MEPL),AAU Girls National Volleyball Championships Wave 1,AAU Girls National Volleyball Championships Wave 2,AAU Girls National Volleyball Championships Wave 3,AAU Girls National Volleyball Championships Wave 4,SCVA Girls 12U Event #1 January 5,SCVA Girls 13U Event #1 January 4,SCVA Girls 14U Event #1 January 11,SCVA Girls 15U All Event #1 January 18-19,SCVA Girls 16U All Event #1 January 19-20,SCVA Girls 17U All Event #1 January 19-20,SCVA Girls 18U Event #1 January 4-5
g12afive1so,Yes,A5 12-1 LA,,5 (11 National),,,,,,,,,,,,5 (11 Open),,,,,,,,
g12akiva1pr,Yes,Adidas KIVA 12 Red,,,,,,,5 (12 Open),,,7 (12 Open),None (12 Girls Full Schedule),,,13 (11 Open),,,,,,,,
g12coast1sc,Yes,COAST 12-1,,,,,,,,,,,,,,,,5th (12U Event #1),,,,,,
g12excel1nt,Yes,EXCEL 12 National Red,,5 (11 National),,,,,,,,,,,,,,,,,,,,
g12frogs1nt,Yes,MADFROG 12'S N GREEN,10 (12 & Under),1 (11 National),,,,,,,,,,,,,,,,,,,,
g12milon1sc,Yes,Miz LB 12 Rockstar,,,,,,,,,,,,,,,,1st (12U Event #1),,,,,,
g12munvb1ho,Yes,Munciana 12 Peppers,,,,6 (12 Open),,,,,,,None (12 Girls Full Schedule),,,,,,,,,,,
g12premr1gp,Yes,Premier Nebraska 12 Gold,,9 (11 National),,,,,,,,,,,,,,,,,,,,
g12pvakc1ha,Yes,PVA 12 ELITE,,30 (11 National),,,,,,,,,,,,,,,,,,,,
g12storm1az,Yes,ARIZONA STORM 12 THUNDER,,13 (11 National),,,,,,,,,,,,,,,,,,,,
g12tmdyn1ha,Yes,DYNASTY 12 Black,,2 (11 National),,,,,,,,,,,,,,,,,,,,
g13afive1so,Yes,A5 13-1 Karen,2 (12 & Under),3 (12 National),,,,,,,,,,,,1 (12 Open),,,,,,,,
g13akiva1pr,Yes,Adidas KIVA 13 Red,13 (12 & Under),,,,,,3 (13 Open),,,3 (13 Open),None (13-14 Girls Full Schedule),,,13 (12 Open),,,,,,,,
g13allia1gl,Yes,Lions 13-1,,27 (12 National),,,,,,,,,,,,,,,,,,,,
g13askyl1ls,Yes,Austin Skyline 13 Royal,,29 (12 American),,,,,,3 (13 National),,,,,,,,,,,,,,
g13atomc1az,Yes,ATOMIC 13 Smack Premier,,3 (12 USA),,,,,,,,,,,,,,,,,,,,
g13azsky1az,Yes,AZ SKY 13 Gold,,5 (12 American),,,,,,,,,,,,,,,,,,,,
g13clubv1im,Yes,Club V 13 Ren Mondo,,35 (12 National),,,,,,,,,,,,,,,,,,,,
g13eleva1ov,Yes,Elevation 13 Molly,,17 (12 National),,,,,5 (13 Open),,,2 (13 Open),,,,,,,,,,,,
g13excel1nt,Yes,EXCEL 13 National Red,3 (12 & Under),5 (12 National),,,,,,,,,,,,,,,,,,,,
g13frogs1nt,Yes,MADFROG 13'S N GREEN,4 (12 & Under),9 (12 National),,,,,,,,,,,,,,,,,,,,
g13houjr1ls,Yes,HJV 13 ELITE,,18 (12 USA),,,,,,9 (13 National),,,,3 (12 Classic),,,,,,,,,,
g13kairo1no,Yes,Kairos 13 Alpha,,,,,,,,,,,,9 (12 Club),,,,,,,,,,
g13legvc1lk,Yes,Legacy 13-1 ADIDAS,6 (12 & Under),3 (12 National),,,,,1 (13 Open),,,3 (13 Open),,,,13 (12 Premier),,,,,,,,
g13mavbc1ha,Yes,MAVS KC 13-1,1 (12 & Under),13 (12 National),,,,,,,,,,,,,,,,,,,,
g13milon1sc,Yes,MIZ LB 13 Rockstar,9 (12 & Under),5 (12 National),,,,,,,,,,,,,,,1st (13U Event #1),,,,,
g13mnsel1no,Yes,MN Select 13-1,15 (12 & Under),,,,,,,,,,,,,,,,,,,,,
g13msprt1ov,Yes,Mintonette Sports - m.31,,3 (12 Patriot),,,,,9 (13 Open),,,8 (13 Open),,,,11 (12 Open),,,,,,,,
g13munvb1ho,Yes,Munciana 13 Stingrays,,,,3 (13 Open),,,,,,,None (13-14 Girls Full Schedule),,,,,,,,,,,
g13otbva2fl,Yes,OT 13 O TJ,,5 (12 USA),,,,2 (13G Open),,,,,,,,5 (12 Open),,,,,,,,
g13otbva3fl,Yes,OT 13 J Kristen,,,,,,15 (13G Open),,,,,,35 (12 Classic),,,,,,,,,,
g13pohak1ha,Yes,Pohaku 13-1,,5 (12 American),,,,,,,,,,,,,,,,,,,,
g13power1ha,Yes,KC Power 13 Black,11 (12 & Under),26 (12 National),,,,,,,,,,,,,,,,,,,,
g13premr1gp,Yes,Premier Nebraska 13 Gold,11 (12 & Under),23 (12 National),,,,,,,,,,,,,,,,,,,,
g13rwdth1gw,Yes,Rockwood Thunder 13 Elite,,17 (12 USA),,,,,,,,,,,,,,,,,,,,
g13skyln1nt,Yes,Dallas Skyline 13 Royal,,2 (12 National),,,,,,,,,,,,,,,,,,,,
g13storm1az,Yes,ARIZONA STORM 13 THUNDER,7 (12 & Under),13 (12 National),,,,,,,,,,,,,,,,,,,,
g13tmdyn1ha,Yes,DYNASTY 13 Black,7 (12 & Under),9 (12 National),,,,,,,,,,,,3 (12 Open),,,,,,,,
g13txadv1nt,Yes,TAV 13 Black,,21 (12 American),,,,,,,,,,,,,,,,,,,,
g13wvevb1sc,Yes,WAVE 13-Reily,,19 (12 National),,,,,,,,,,,,,,,2nd (13U Event #1),,,,,
g14absol1nc,Yes,Absolute 14 Black,,11 (13 American),,,,,,,,,,,,,,,,,,,,
g14acavc1ov,Yes,AVC CLE 14 Red,,22 (13 Open),,,,,3 (14 Open),,,3 (14 Open),,,,,,,,,,,,
g14actyv1sc,Yes,Actyve 14 Black,,19 (13 American),,,,,,,,,,,,,,,,5th (14U Event #1),,,,
g14afive1so,Yes,A5 14-1 Helen,1 (13 & Under),1 (13 Open),,,,,,,,,,,,3 (13 Open),,,,,,,,
g14afive2so,Yes,A5 14-2 Earl,,13 (13 USA),,,,,,,,,,,,3 (13 Premier),,,,,,,,
g14akiva1pr,Yes,Adidas KIVA 14 Red,19 (13 & Under),,,,,,3 (14 Open),,,13 (14 Open),None (13-14 Girls Full Schedule),,,5 (13 Open),,,,,,,,
g14allia1gl,Yes,1st Alliance 14-1,19 (13 & Under),26 (13 National),,,,,,,,9 (14 Open),,,,,,,,,,,,
g14allvb1so,Yes,Alliance 14 REN,,,,,,,,,,5 (14 Open),,,,,,,,,,,,
g14aperf1ls,Yes,AP 14 adidas,,9 (13 American),,,,,,3 (14 National),,,,,,,,,,,,,,
g14askyl1ls,Yes,Austin Skyline 14 Royal,,,,,,,,5 (14 National),,,,,,,,,,,,,,
g14aspir1az,Yes,Aspire 14 Premier,,1 (13 Patriot),,,,,,,,,,,,,,,,,,,,
g14avatx1ls,Yes,AVA TX 14 Adidas,,37 (13 Patriot),,,,,,,,,,,,,,,,,,,,
g14azsky1az,Yes,AZ Sky 14 Gold,21 (13 & Under),35 (13 National),,,,,,,,,,,,,,,,,,,,
g14carun1cr,Yes,CUVC 14 Open,,,,,,,,,,,,,,5 (13 Premier),,,,,,,,
g14cjvvb1cr,Yes,CJV 14 Mizuno,,5 (13 National),,,,5 (14G Open),,,,,,,,,,,,,,,,
g14clubv1im,Yes,Club V 14 Black Silver,,39 (13 National),,,,,,15 (14 Invitational),,,,,,,,,,,,,,
g14clubv2im,Yes,Club V 14 Black Carli,,41 (13 Patriot),,,,,,20 (14 Invitational),,,,27 (14 Aspire),,,,,,,,,,
g14cnvbc1ha,Yes,Mizuno Club North 14Ang,,15 (13 Patriot),,,,,,,,,,,,,,,,,,,,
g14coast1sc,Yes,COAST 14-1,10 (13 & Under),5 (13 Open),,,,,,,,,,,,,,,,1st (14U Event #1),,,,
g14cojrs1rm,Yes,CoJrs 14Sarah,,29 (13 American),,,,,,,3 (14 Elite),,,,,,,,,,,,,
g14drive1nt,Yes,Drive Nation 14-Red,,23 (13 Open),,,,,,3 (14 Invitational),,,,,,,,,,,,,,
g14eleva1ov,Yes,Elevation 14 Case,11 (13 & Under),9 (13 Open),,,,,5 (14 Open),,,9 (14 Open),,,,,,,,,,,,
g14elevb1rm,Yes,Elevation 14 Peak,,45 (13 National),,,,,,,3 (14 Elite),,,,,35 (13 Premier),,,,,,,,
g14excel1nt,Yes,EXCEL 14 National Red,3 (13 & Under),7 (13 Open),,,,,,,,,,,,,,,,,,,,
g14forza1sc,Yes,FORZA1 14 ONE,21 (13 & Under),25 (13 National),,,,,,,,,,,,,,,,5th (14U Event #1),,,,
g14fovbc1lk,Yes,FaR Out 14 Black,,,,,,,5 (14 Open),,,,None (13-14 Girls Full Schedule),5 (14 Classic),,,,,,,,,,
g14frogs1nt,Yes,MADFROG 14'S N GREEN,13 (13 & Under),14 (13 Open),,,,,,2 (14 Invitational),,,,,,,,,,,,,,
g14frogs2nt,Yes,MADFROG 14'S N BLACK,,2 (13 USA),,,,,,,,,,,,,,,,,,,,
g14gpont1fl,Yes,GP 14 Rox,17 (13 & Under),10 (13 Open),,,,2 (14G Open),,,,,,,,2 (13 Club),,,,,,,,
g14hosky1ls,Yes,H Skyline 14 Royal,,15 (13 Open),,,,,,5 (14 Invitational),,,,,,,,,,,,,,
g14houjr1ls,Yes,HJV 14 ELITE,31 (13 & Under),5 (13 USA),,,,,,13 (14 Invitational),,,,,,,,,,,,,,
g14hsvba1ls,Yes,HOU STELLAR 14 ELITE,,17 (13 Liberty),,,,,,9 (14 Invitational),,,,,,,,,,,,,,
g14idcrs1im,Yes,ID Crush 14 Bower,13 (13 & Under),11 (13 Open),,,,,,,1 (14 Elite),,,,,,,,,,,,,
g14invas1ha,Yes,Invasion 14-Black,,42 (13 American),,,,,,,,,,,,,,,,,,,,
g14islct1ia,Yes,Iowa Select 14 Mizuno,,23 (13 USA),,,,,,,,,,,,,,,,,,,,
g14jaxjr1fl,Yes,JJVA 14 Teal,,14 (13 Liberty),,,,,,,,,,,,23 (13 Premier),,,,,,,,
g14jugge1rm,Yes,Juggernaut 14-National1,,,,,,,,,5 (14 Elite),,,,,,,,,,,,,
g14kairo1no,Yes,Kairos 14 Alpha,,,,,,,,,2 (14 Elite),,,,,13 (13 Club),,,,,,,,
g14lavbc1gc,Yes,LAV 14 National Black,,31 (13 National),,,,,,,,,,,,,,,,,,,,
g14legvc1lk,Yes,Legacy 14-1 ADIDAS,5 (13 & Under),3 (13 Open),,,,,1 (14 Open),,,2 (14 Open),,,,2 (13 Open),,,,,,,,
