Team,Team Code,Age Division,Matches,Wins,Losses,Same-Age Matches,Same-Age Wins,Same-Age Losses,NIT Matches,NIT Wins,NIT Losses,NIT Same-Age Matches,NIT Same-Age Wins,NIT Same-Age Losses
FORZA1 NORTH 18 ONE,g18FORZN1SC,g18,78,45,33,21,12,9,22,5,17,10,4,6
Absolute 14 Black,g14ABSOL1NC,g14,37,34,3,10,10,0,4,2,2,0,0,0
DYNASTY 12 Black,g12TMDYN1HA,g12,34,32,1,32,30,1,6,5,1,6,5,1
PVA 15 ELITE,g15PVAKC1HA,g15,35,31,4,15,12,3,8,4,4,6,3,3
NPJ 18 Forefront,g18NPJVB1CE,g18,29,29,0,16,16,0,15,15,0,8,8,0
WPVC 17 Armour Black,g17WPVCB1FL,g17,24,24,0,12,12,0,9,9,0,7,7,0
PVA 18 ELITE,g18PVAKC1HA,g18,34,23,11,28,21,7,8,3,5,2,1,1
WPVC 18 Armour Black,g18WPVCB1FL,g18,28,23,5,27,23,4,15,10,5,14,10,4
DYNASTY 15 Black,g15TMDYN1HA,g15,26,23,3,16,14,2,11,8,3,8,6,2
PowerPlex 17U Brogean,g17PWRPX1IA,g17,25,23,2,20,18,2,8,7,1,4,3,1
KU`IKAHI 18 Wahine RSB,g18kuika1AH,g18,24,23,1,14,13,1,5,4,1,2,1,1
KC Power 15-2,g15POWER2HA,g15,30,22,8,24,18,6,8,3,5,8,3,5
Surfside 13 PV Elite,g13SRFSD1SC,g13,27,22,5,27,22,5,16,11,5,16,11,5
GJ 15 ADIDAS,g15GJVBC1FL,g15,26,22,4,26,22,4,9,5,4,9,5,4
DYNASTY 14 Black,g14TMDYN1HA,g14,24,22,2,11,11,0,8,6,2,5,5,0
MAVS 12 Elite,g12MAVBC1HA,g12,24,22,2,23,21,2,2,1,1,2,1,1
PVA 16 ELITE,g16PVAKC1HA,g16,29,21,8,15,11,4,12,8,4,9,6,3
GJ 13 ADIDAS,g13GJVBC1FL,g13,28,21,7,28,21,7,4,2,2,4,2,2
DYNASTY 17 Black,g17TMDYN1HA,g17,24,21,3,17,14,3,14,11,3,11,8,3
TAV 16 Black Yun,g16TXADV1NT,g16,23,21,2,23,21,2,13,11,2,13,11,2
