18 Open,1,Tsunami S181E,g18tsuna1so
18 Open,2,A5 172 Pat,g17afive2so
18 Open,3,TK 18 Storm,g18tkvbc1so
18 Open,4,Tsunami C181E,g18tsuna3so
18 Open,5,RIOVC 18-1E Rafa,g18riovc1so
18 Open,6,C2 18-1 National Travis,g18cavbc1so
18 Open,7,NGV 18 Select Kristina,g18ngvjr1so
18 Open,8,KAVOD 18-1,g18kavod1so
18 Open,9,M2VBALL 18 Elite 1,g18mtwov1so
18 Club,1,575 18-1 Kurt PCVC,g18fsfvb2so
18 Club,2,Tsunami S182E,g18tsuna2so
18 Club,3,COLAVOL 18 Black,g18colav1so
18 Club,4,Rising Tide 17/18 Surge,g18rtide1pm
18 Club,5,CHAMP 18 1,g18champ1so
18 Club,6,TK 18 Ice,g18tkvbc2so
18 Club,7,RipsVC 18 1,g18ripsv1so
18 Club,8,Prolink 18 Gabbie,g18plavb1so
18 Club,9,GEV 18 1,g18gaevc1so
18 Club,10,ASHOK 18 1,g18ashok1so
18 Club,11,Dream Chasers 18 Purple,g18cathy1so
18 Club,12,Lanier 18 National Bill,g18lanvc1so
17 Open,1,M2VBALL 17 Elite 1,g17mtwov1so
17 Open,2,A5 173 Angel,g17afive3so
17 Open,3,Tsunami S171E,g17tsuna1so
17 Open,4,Tsunami N171E,g17tsuna5so
17 Open,6,A5 162 Stephen,g16afive2so
17 Open,5,Tsunami C171E,g17tsuna3so
17 Open,8,A5 174 Molina,g17afive4so
17 Open,7,A5 Gwinnett 171 Tim,g17afive9so
17 Open,9,KAVOD 17-1,g17kavod1so
17 Open,10,ETE 17-1 Black,g17etekn1so
17 Open,11,575 17-1 Bia WS,g17fsfvb2so
17 Open,12,RIOVC 17-1E Claudio,g17riovc1so
17 Open,13,AVC 17 1,g17nltvb1so
17 Open,14,Lanier 17 National Katie,g17lanvc1so
17 Open,15,TK 17 Storm,g17tkvbc1so
17 Open,16,NGV 17 Select Bogdan,g17ngvjr1so
17 Club,1,Tsunami C172E,g17tsuna4so
17 Club,2,M2VBALL 17 Elite 2,g17mtwov2so
17 Club,3,Summit 17U,g17summt1so
17 Club,4,575 17-2 Leah LP,g17fsfvb6so
17 Club,7,A5 Gwinnett 17-2 JD,g17afive10so
17 Club,8,Tsunami C171N,g17tsuna9so
17 Club,5,Tsunami S172E,g17tsuna2so
17 Club,6,WE 17 Red,g17wevbc1so
17 Club,11,575 17-1 Luciano PCVC,g17fsfvb3so
17 Club,13,CHAMP 17 2 elite,g17champ2so
17 Club,15,Dream Chasers 17 Purple,g17cathy1so
17 Club,9,SRS 17 Blue,g17srsvc1pm
17 Club,10,AJV 17 Royal,g17augjr1pm
17 Club,16,PAC 17-Royal,g17pacvb1so
17 Club,12,TK 17 Ice,g17tkvbc2so
17 Club,14,Tsunami C172N,g17tsuna10so
17 Club,18,575 17-2 Brandon PCVC,g17fsfvb8so
17 Club,17,Prolink 17 Madi,g17plavb1so
17 Club,20,COLAVOL 17 Black,g17colav1so
17 Club,19,CSRA Heat 17 National,g17csrah1pm
