17 Open,1,Top Select 17 Elite,g17tsvba1fl
17 Open,2,JJVA 17 Teal,g17jaxjr1fl
17 Open,3,PSVA 17 1,g17psvba1fl
17 Open,4,UPONTOP 17s Elite,g17uotvb1fl
17 Open,5,Top Select 17 Top Blue,g17tsvba2fl
17 Open,6,WPVC 17 Armour Orange,g17wpvcb2fl
17 Open,8,Gainesville Juniors 17 Eric,g17gjvbc1fl
17 Open,9,Miami Hype 17U Prime2,g17mhype2fl
17 Open,7,PVC-GA 17 1,g17power1so
17 Open,11,DME Elite 17-1,g17fevbc1fl
17 Open,11,GSI 17 GREEN,g17globl1fl
16 Open,1,Top Select 16 Elite,g16tsvba1fl
16 Open,2,GSI 16 GREEN,g16globl1fl
16 Open,3,Jupiter Elite 16E,g16jtaav1fl
16 Open,4,305VBC 16NE Christian,g16three1fl
16 Open,9,WPVC 16 Armour Orange,g16wpvcb2fl
16 Open,10,Top Select 16 Top Blue,g16tsvba2fl
16 Open,11,NF PIRATES 16 Gold,g16nfpir1fl
16 Open,12,GSI 16 TEAL,g16globl2fl
16 Open,13,PVC-GA 16 1,g16power1so
16 Open,14,JJVA 16 Teal,g16jaxjr1fl
16 Open,16,Miami Hype 16U Prime2,g16mhype2fl
16 Open,15,PEVC 16N Chris P,g16pevbc1gc
16 Open,5,PSVA 16 1,g16psvba1fl
16 Open,6,Gainesville Juniors 16 Joe,g16gjvbc1fl
16 Open,8,DME Elite 16-1,g16fevbc1fl
16 Open,7,Top Select 16 Top White,g16tsvba3fl
15 Open,1,Jupiter Elite 15E,g15jtaav1fl
15 Open,2,WPVC 15 Armour Black,g15wpvcb1fl
15 Open,3,Gainesville Juniors 15 Andre,g15gjvbc1fl
15 Open,4,Top Select 15 Elite,g15tsvba1fl
15 Open,5,UPONTOP 15s Elite,g15uotvb2fl
15 Open,6,DME Elite 15-1,g15fevbc1fl
15 Open,8,JJVA 15 Teal,g15jaxjr1fl
15 Open,9,PVC 15 1,g15power1fl
15 Open,7,Top Select 15 Top Blue,g15tsvba2fl
15 Open,10,PSVA 15 1,g15psvba1fl
15 Open,11,PEVC 15N Ryan,g15pevbc1gc
13/14 Open,1,Top Select 14 Elite,g14tsvba1fl
13/14 Open,2,Gainesville Juniors 14 Nicole,g14gjvbc1fl
13/14 Open,3,JJVA 14 Teal,g14jaxjr1fl
13/14 Open,4,Jupiter Elite 14E,g14jtaav1fl
13/14 Open,5,PSVA 14 1,g14psvba1fl
13/14 Open,7,UPONTOP 14s Elite,g14uotvb2fl
13/14 Open,6,PEVC 14N Chris,g14pevbc1gc
13/14 Open,8,Top Select 14 Top Blue,g14tsvba2fl
13/14 Open,10,WPVC 14 Armour Black,g14wpvcb1fl
13/14 Open,13,DME Elite 14-1,g14fevbc1fl
13/14 Open,14,PVC 14 1A,g14power1fl
13/14 Open,9,WPVC 13 Armour Black,g13wpvcb1fl
13/14 Open,11,Top Select 13 Elite,g13tsvba1fl
13/14 Open,12,305VBC 13N Christian,g13three1fl
13/14 Open,15,UPONTOP 13s Elite,g13uotvb1fl
13/14 Open,16,PEVC 13N Abbey,g13pevbc1gc
12 Open,1,Top Select 12 Elite,g12tsvba1fl
12 Open,2,Gainesville Juniors 12 Stephanie,g12gjvbc1fl
12 Open,3,PSVA 12 1,g12psvba1fl
12 Open,4,WPVC 12 Armour Black,g12wpvcb1fl
12 Open,5,GSI 12 GREEN,g12globl1fl
12 Open,6,WPVC 11 Armour Black,g11wpvcb1fl
