18 Open/Club,5,TAMPA UNITED VBA 18 BLACK,g18unite1fl
18 Open/Club,6,RADD Elite 18 Red,g18radds1fl
18 Open/Club,8,Buffalo Stampeders 18 Armour,g18buflo1fl
18 Open/Club,7,TEAM Kiwi 18 Columbia,g18tkiwi2fl
18 Open/Club,9,LAKE NONA 18 RAFA,g18spart2fl
18 Open/Club,10,PSVA 18 Tri County,g18psvba2fl
18 Open/Club,1,TVA Smack 18 Katie,g18talla1fl
18 Open/Club,2,OPU 18-1,g18opuvb1fl
18 Open/Club,4,BVA 18 Elite Janelle,g18bomer1fl
18 Open/Club,3,Countdown 18 Elite,g18count1fl
18 Open/Club,11,PSVA 18 B-Town Elite,g18psvba3fl
18 Open/Club,12,No Limits 18 Navy,g18limit1fl
18 Open/Club,13,FL HYPE 18 Smack Amanda,g18fhype1fl
18 Open/Club,14,QVA 18 Hydrogen,g18quant1fl
17 Open,1,Tampa North U17 Black,g17tnvbc1fl
17 Open,2,FEVA 17 Kam,g17flelt1fl
17 Open,3,TEAM Kiwi 17 Graphite,g17tkiwi1fl
17 Open,4,TAMPA UNITED VBA 17 BLACK,g17unite1fl
17 Open,5,BVA 17 Elite Alain,g17bomer1fl
17 Open,6,Venetian Bay 17 - Jay,g17vbayv1fl
17 Open,7,OPU 17-1,g17opuvb1fl
17 Open,8,FL HYPE 17 Smack Kayla,g17fhype1fl
17 USA,1,Countdown 17 Elite,g17count1fl
17 USA,2,Tampa North Black 17 National,g17tnvbc2fl
17 USA,3,Black Creek VBC 17 1,g17bcvbc1fl
17 USA,4,SSP Storm 17 Select,g17storm1fl
17 USA,5,Florida's Sports Coast Elite 17 Blue,g17coast1fl
17 USA,6,FEVA 17 Courtney,g17flelt2fl
17 USA,7,850 Elite 17 1,g17elite1gc
17 USA,8,TEAM Kiwi 17 Columbia,g17tkiwi2fl
17 USA,9,APV 17 Red,g17atomv1fl
17 USA,10,Cape Coast 17 Falcon,g17capco1fl
17 USA,11,SVC 17 Blue,g17svcfl1fl
17 USA,12,RADD Elite 17 Red,g17radds1fl
17 USA,14,FL HYPE 17 Smack Thiago,g17fhype2fl
17 USA,13,TAMPA UNITED VBA 17 RED,g17unite2fl
17 Club,1,QVA 17 Hydrogen,g17quant1fl
17 Club,2,EVPA 17 1 Red SRQ,g17esivb1fl
17 Club,4,BVA 17 Black Nicole,g17bomer2fl
17 Club,3,HEAT 17 Elite,g17pheat1fl
17 Club,5,Buffalo Stampeders 17 Armour,g17buflo1fl
17 Club,6,PSVA 17 Tri County,g17psvba2fl
17 Club,7,RVA 17 Black,g17lient2fl
17 Club,8,OPU 16/17-2,g17opuvb2fl
17 Club,10,LAKE NONA 17 LUIS,g17spart1fl
17 Club,9,PEVC 17 Railee,g17pevbc2gc
17 Club,12,Peak U17 Black,g17peakv2fl
17 Club,11,SSP Storm 17 Thunder,g17storm2fl
17 Club,13,clubSAV 16/17 National,g17csavh2so
