18 Open,1,Lockdown VBC 18 Phoenix,g18ldner1ne
18 Open,2,CMASS EDGE 18 Black,g18cmjvb1ne
18 Open,3,CALI 18 Black,g18cacli1ge
18 Open,4,Northeast 18.2,g18nevbc2ne
18 Open,5,Dynamo New Hampshire 18-1 Jack,g18nhdvb1ne
18 Open,6,Husky 18 National,g18hkjvb1ne
18 Open,7,Downstate 18 Black,g18dstjr1ge
18 Open,8,SMASH 18s Attack,g18sjjvb2ne
18 Open,9,CT Juniors 18 National,g18cjjvb1ne
18 Open,10,Husky 18 Northeast,g18hkjvb2ne
18 Open,11,CRVBC 18 1 Eagles,g18crjvb1ne
18 Open,12,Maine Jrs 18-National,g18mnjvb1ne
18 USA,1,Prodigy 17 Premier-Pitt,g17prova1ge
18 USA,2,Whirlwind VBC 18 1,g18whirl1xl
18 USA,4,Husky 17 Northeast Red,g17hkjvb2ne
18 USA,3,SA Elite 18 American,g18sajvb1ne
18 USA,6,603 United 18 White,g18lfjvb2ne
18 USA,5,Gators 18 Black,g18gajvb1ne
18 USA,7,LIVBC Girls 18 Blue,g18livbc1ge
18 USA,8,Wicked Northeast 18 Gold,g18wgvbc1ne
18 USA,9,Avidity 18 Diamond,g18avvbc1ne
18 USA,10,PV 18 National,g18pvjvb1ne
18 USA,12,CT Juniors 18 Premier,g18cjjvb2ne
18 USA,11,Lockdown VBC 18 Ospreys,g18ldner2ne
18 USA,13,Dynamo New Hampshire 18 2 Matt,g18nhdvb2ne
18 USA,14,New York Elite 18 Black,g18elite1ge
18 USA,15,FURY 18-1,g18lifry1ge
18 USA,16,MGA 18's White,g18mgjvb4ne
18 USA,17,CMASS EDGE 18 Blue,g18cmjvb2ne
18 USA,18,Nova 18 Black,g18tcjvb1ne
18 USA,19,18 Red TUSVA,g18tusva1ge
18 USA,20,South County 18-Gold,g18sjvbc2ne
18 USA,21,SLAM 18P BLACK,g18ttvbc2ne
18 USA,22,Legacy 18 National,g18lcvbc1ge
18 USA,23,AVA 18 Elite,g18atlan1ge
18 USA,24,Capitals 18 National,g18capvc1ge
18 USA,25,South County 17-Blue,g17sjvbc1ne
18 USA,26,SAVB Girls 18 Nancy,g18savbc1xl
18 USA,27,Maine Jrs 18-Gold,g18mnjvb2ne
18 USA,28,South County 18-Blue,g18sjvbc1ne
18 USA,29,Pure Passion 18 1,g18ppner1ne
18 USA,30,New Haven Juniors G18-1,g18nhvbc1ne
18 USA,32,CPVB 17/18 Select,g18cpier2ge
