16 USA,1,CALI 16 Blue,g16cacli2ge
16 USA,2,Gators 16 Black,g16gajvb1ne
16 USA,3,Eclipse 16 1,g16eclps1ge
16 USA,4,Prodigy 16 Premier-Delgado,g16prova1ge
16 USA,6,Coastal 16 Storm,g16cojvb1ne
16 USA,8,HardRock 16 North Atlantic,g16hrjvb1ne
16 USA,5,New York Elite 16 Black,g16elite1ge
16 USA,7,South County 16- Blue,g16sjvbc1ne
16 USA,9,Downstate 16 Red,g16dstjr2ge
16 USA,10,South County 16-Gold,g16sjvbc2ne
16 USA,11,CMASS EDGE 16 White,g16cmjvb3ne
16 USA,12,Husky 16 New England Red,g16hkjvb4ne
16 USA,13,Lockdown VBC 16 Falcons,g16ldner2ne
16 USA,14,Capitals 16-1 National,g16capvc1ge
16 USA,15,603 United 16 White,g16lfjvb2ne
16 USA,16,Husky 16 New England Black,g16hkjvb5ne
16 USA,17,HardRock 16 Purple,g16hrjvb2ne
16 USA,18,FURY 16-1,g16lifry1ge
16 USA,19,16s Jared,g16csjvb1ne
16 USA,20,LHV Girls 16 Askari (16S1),g16lhvbc2ne
16 USA,21,AVA 16 Premier 1,g16atlan2ge
16 USA,22,Mass Premier 16-2,g16majvb2ne
16 USA,23,MGA 16's White,g16mgjvb4ne
16 USA,24,TeamLVC 16 Pink,g16legio2xl
16 USA,25,MGA 16's Black,g16mgjvb3ne
16 USA,26,Maine Jrs 16 Gold,g16mnjvb2ne
16 USA,28,MGA 16's Blue,g16mgjvb6ne
16 USA,27,MGA 16's Red,g16mgjvb5ne
16 USA,30,LHV Girls 16 Braves (16S2),g16lhvbc3ne
16 USA,29,MGA 16's Silver,g16mgjvb8ne
16 National,1,CALI 16 Red,g16cacli3ge
16 National,2,Avidity 16 Ruby,g16avvbc2ne
16 National,4,Downstate (N) 16 Cobras,g16dstjn1ge
16 National,3,PVA 16 2,g16pinva2ge
16 National,5,603 United 16 Blue,g16lfjvb3ne
16 National,6,SLAM 16P BLACK,g16ttvbc2ne
16 National,7,ENVY 16 NATIONAL RIPTIDE,g16eyner1ne
16 National,8,Gators 16 Forest,g16gajvb2ne
16 National,10,FURY 16-2 Olivia,g16lifry3ge
16 National,9,FURY 16-2 Sarah,g16lifry2ge
16 National,11,CPVB 16 Select,g16cpier2ge
16 National,12,Nova 16 Black,g16tcjvb1ne
16 National,13,Capitals 16-2 National,g16capvc2ge
16 National,14,LHV Girls 16 Ragers (16S3),g16lhvbc4ne
16 American,1,NET 16 Force,g16nethg1xl
16 American,2,Blast 16 Tigers,g16bvjvb1ne
16 American,4,GVC 16-2,g16grvbc2ne
16 American,3,SLAM 16P RED,g16ttvbc3ne
16 American,5,AVA 16 Premier 2,g16atlan3ge
16 American,6,Downstate 16 White,g16dstjr3ge
16 American,8,HardRock 15 Black,g15hrjvb1ne
16 American,7,Lockdown VBC 16 Thunder Birds,g16ldner3ne
16 American,9,Maine Jrs 16 Silver,g16mnjvb3ne
16 American,10,Prodigy 16 Premier-Molly,g16prova2ge
16 American,11,LI Blaze VBC 16,g16livbi1ge
16 American,12,SISU VB 16 1,g16sivbc1ne
16 American,13,SA Elite 16 American,g16sajvb1ne
16 American,14,16s Debes,g16csjvb2ne
16 American,15,SURGE 16 1,g16srvbc1ne
16 American,16,Wicked Northeast 16 Gold,g16wgvbc3ne
16 American,18,603 United 15 White,g15lfjvb2ne
16 American,17,Hawks 16 Catalino,g16hhvbc4ne
16 American,19,16s Willie,g16csjvb3ne
16 American,20,Downstate (N) 16 Vipers,g16dstjn2ge
16 American,21,Attack 16 1,g16atack1ge
16 American,22,Capitals 16-3 Liberty,g16capvc3ge
16 American,23,Prodigy 16 Elite-Ojito,g16prova3ge
16 American,24,Dig Deep 16 Platinum,g16ddvbc2ne
16 American,26,Lakes Region 16-1,g16lrjvb1ne
16 American,25,TeamLVC 16 White,g16legio3xl
16 American,27,CPVB 15/16 Select White,g16cpier3ge
16 Club,1,United Volleyball 16,g16unite1ge
16 Club,2,Essex 16 Marlou,g16essex1ge
16 Club,4,CALI 16 Gold Elite,g16cacli4ge
16 Club,3,LHVA 16 Black National,g16lhvba2ge
16 Club,7,Alliance 16's Lightning,g16sajvb3ne
16 Club,5,Max Performance 16 Santi,g16mxvbc1ne
16 Club,6,OC Lady Elite 16 Pink,g16oclev2ge
16 Club,8,South Bay 16 Black,g16sbvbc1ge
16 Club,10,Advance 16 1,g16aavbc1ne
16 Club,14,ENVY 16 BLIZZARD,g16eyner2ne
16 Club,15,ENVY 16 HURRICANE,g16eyner3ne
16 Club,9,Force,g16tfavb1xl
16 Club,13,HOS 16U Orange,g16hosvb1ge
16 Club,12,NIVBC 16,g16norim1xl
16 Club,11,SA Elite 15 American,g15sajvb1ne
16 Club,16,SLAM 16P WHITE,g16ttvbc4ne
16 Club,18,Bristol Crush 16 2,g16bbjvb2ne
16 Club,17,Mass Premier 15-1,g15majvb1ne
16 Club,19,Avidity 16 Jade,g16avvbc3ne
16 Club,21,Xtreme 16 National,g16xtrem2ge
16 Club,23,South County 16-Black,g16sjvbc4ne
16 Club,22,SSWolfpack16 Deltas,g16swvbc1ne
16 Club,24,CALI 16 Gold South,g16cacli6ge
16 Club,25,Mass Premier 15-2,g15majvb2ne
16 Club,26,Max Performance 15 Jess,g15mxvbc1ne
16 Club,27,Meraki 161 Girls,g16mvner1ne
16 Club,28,NYCLI 16 Elite,g16nycli1ge
16 Club,20,OC Lady Elite 16 Silver,g16oclev3ge
16 Club,29,16U HOTNYC,g16hotvc1ge
16 Club,30,KVA Sirens16,g16krvba1ne
16 Club,33,CALI 16 White,g16cacli7ge
16 Club,31,Downstate 16 Blue,g16dstjr4ge
16 Club,32,Dragons 16 Fyre,g16drvbc1ne
16 Club,34,Western Mass 16 Lioness,g16wmjvb2ne
16 Club,35,516 Elite 16 Black,g16516el1ge
16 Club,36,Alliance 16's Thunder,g16sajvb4ne
16 Club,38,Downstate (N) 16 Pythons,g16dstjn3ge
16 Club,37,Legacy 16 Premier,g16lcvbc3ge
16 Club,41,207VBC 16 1,g16tosvb1ne
16 Club,42,Diamond Elite VBC 16 1,g16devbc1xl
16 Club,39,GSVC 16 Navy,g16gsvbc1ne
