17/18 Club,1,NF PIRATES 18 Gold,g18nfpir1fl
17/18 Club,2,TVC 17 AT,g17taina1fl
17/18 Club,0,NF PIRATES 17 Gold,g17nfpir1fl
17/18 Club,0,BEVC 17 Daniel/Mac,g17beauf94pm
17/18 Club,0,JJVA 17 Gold,g17jaxjr3fl
17/18 Club,0,Vibe 17 Jojo,g17vibev1so
17/18 Club,7,904 Elite 18,g18oforv1fl
17/18 Club,8,Cape Coast 17 Pegasus,g17capco2fl
17/18 Club,11,Vibe 18 Rami,g18vibev1so
17/18 Club,12,Cape Coast 18 Pioneer,g18capco2fl
17/18 Club,9,BEVC 18 MG,g18beauf92pm
17/18 Club,10,RADD Elite 16/17 White,g17radds2fl
17/18 Club,0,NEVC 18 1,g18nasau1fl
17/18 Club,0,Sharks 18u,g18shark4so
16 Club,1,OT 16 O Alex,g16otbva6fl
16 Club,6,BEVC 16 Karson,g16beauf43pm
16 Club,2,Vibe 16 Mackenzie,g16vibev1so
16 Club,7,JJVA 16 Gold Mel,g16jaxjr5fl
16 Club,16,Vibe 16 Kaia,g16vibev2so
16 Club,17,Vibe 16 Christina,g16vibev3so
16 Club,18,WVC 16U,g16waves1so
16 Club,19,Sharks 15 Blue,g16shark3so
16 Club,3,TVC 16 AT,g16taina2fl
16 Club,8,PVC 16 2,g16power2fl
16 Club,4,JJVA 16 Gold Katie,g16jaxjr3fl
16 Club,9,JJVA 16 Gold Getty,g16jaxjr4fl
16 Club,5,FSVC 16U PREMIER,g16stars3fl
16 Club,10,904 Elite 16,g16oforv1fl
16 Club,11,DSC VC 16 BLUE,g16dscvc1fl
16 Club,12,clubSAV 16 State,g16csavh3so
16 Club,13,Soar 15u Regional,g15soarv1fl
16 Club,14,BEVC 16 Laiani,g16beauf17pm
16 Club,15,Black Creek VBC 16 2,g16bcvbc2fl
15 Club,1,NF PIRATES 15 Gold,g15nfpir1fl
15 Club,2,DVA 15 Nationals,g15dvine1fl
15 Club,3,JJVA 15 Gold,g15jaxjr3fl
15 Club,4,PVC 15 2,g15power2fl
15 Club,5,FSVC 15U PREMIER,g15stars3fl
15 Club,6,PEPVB 15 Silver,g15pepvb2so
15 Club,7,clubSAV 15 State Blue,g15csavh5so
15 Club,8,clubSAV 15 State White,g15csavh6so
15 Club,9,NEVC 15 1,g15nasau1fl
15 Club,10,Low Country 15 Annie,g15lowco2pm
15 Club,11,Sharks 15 Pink,g15shark5so
15 Club,12,Vibe 15 Samantha,g15vibev1so
14 Club,1,VIPERS 14'S GOLD,g14viper1fl
14 Club,2,LVC 14 1,g14lvbco1fl
14 Club,3,Low Country 14 Katie,g14lowco1pm
14 Club,4,Rising Tide 14s Ripples,g14rtide1pm
14 Club,16,NF PIRATES 14 Gold,g14nfpir1fl
14 Club,17,Rising Tide 14s Waves,g14rtide2pm
14 Club,18,PVC 14 2,g14power3fl
14 Club,19,Black Creek VBC 14 2,g14bcvbc2fl
14 Club,20,QVA 14 Helium,g14quant2fl
14 Club,5,FSVC 14U PREMIER,g14stars6fl
14 Club,6,BEVC 14 Deystinee,g14beauf91pm
14 Club,7,904 Elite 14,g14oforv1fl
14 Club,8,PSVA 14 2,g14psvba2fl
14 Club,9,South Georgia Heat 14 1,g14sghvc1so
14 Club,10,Vibe 14 Ashton,g14vibev2so
14 Club,11,Vibe 14 Ava,g14vibev1so
14 Club,12,JJVA 14 Gold,g14jaxjr3fl
14 Club,13,LVC 14 2,g14lvbco2fl
14 Club,14,clubSAV 14 State,g14csavh5so
14 Club,15,RADD Elite 14 White,g14radds2fl
13 Club,1,Vibe 13 Katie,g13vibev1so
13 Club,2,TVC 13 AT,g13taina1fl
13 Club,3,FSVC 13U PREMIER,g13stars2fl
13 Club,4,PVC-GA 13 1,g13power1so
13 Club,5,Low Country 13 Garret,g13lowco1pm
13 Club,8,904 Elite 13,g13oforv1fl
13 Club,6,Vibe 13 Avery,g13vibev2so
13 Club,7,Gainesville Juniors 13 Anthony,g13gjvbc1fl
13 Club,9,RADD Elite 13 Red,g13radds1fl
13 Club,10,PVC 13 1B,g13power2fl
13 Club,11,clubSAV 13 State Blue,g13csavh4so
13 Club,12,Sharks 13 Pink,g13shark1so
13 Club,13,clubSAV 13 State White,g13csavh5so
13 Club,14,clubSAV 13 State Gray,g13csavh6so
13 Club,15,Sharks 13 Blue,g13shark2so
12 Club,1,Cape Coast 12 Cassini,g12capco1fl
12 Club,2,JJVA 12 Gold,g12jaxjr3fl
12 Club,3,PVC 12 1,g12power1fl
12 Club,4,Gainesville Juniors 12 Valencia,g12gjvbc2fl
12 Club,5,Vibe 12 Lily,g12vibev1so
12 Club,6,QVA 12 Helium,g12quant2fl
12 Club,7,Vibe 12 Kennedy,g12vibev2so
12 Club,8,clubSAV 12 State,g12csavh2so
12 Club,9,NF PIRATES 12 Gold,g12nfpir1fl
12 Club,10,Vibe 11 Ah'miah,g11vibev1so
12 Club,11,QVA 11 Helium,g11quant2fl
