15 USA,1,Northeast 15.2,g15nevbc2ne
15 USA,2,CALI 15 Blue,g15cacli2ge
15 USA,4,Lockdown VBC 15 Owls,g15ldner2ne
15 USA,3,South County 15-Blue,g15sjvbc1ne
15 USA,5,AVA 15 Elite,g15atlan1ge
15 USA,8,Avidity 15 Onyx,g15avvbc1ne
15 USA,7,Husky 15 Northeast,g15hkjvb2ne
15 USA,6,LHV Girls 15 Viragos (15P),g15lhvbc1ne
15 USA,9,New York Elite 15 Black,g15elite1ge
15 USA,10,PVA 15 2,g15pinva2ge
15 USA,11,AVA 15 Premier 1,g15atlan2ge
15 USA,12,Gators 15 Black,g15gajvb1ne
15 USA,14,MGA 15's Black,g15mgjvb3ne
15 USA,13,RJSPT 15 1,g15rjspt1ge
15 USA,15,MGA 15's White,g15mgjvb4ne
15 USA,16,Nova 15 Black,g15tcjvb1ne
15 USA,17,CPVB 15 National Black,g15cpier1ge
15 National,1,FURY 15-1,g15lifry1ge
15 National,2,LIVBC Girls 15 Blue,g15livbc1ge
15 National,4,Downstate 15 Red,g15dstjr2ge
15 National,3,Northeast 15 Blue,g15nevbc3ne
15 National,6,Downstate (N) 15 Cobras,g15dstjn1ge
15 National,5,SLAM 15N,g15ttvbc1ne
15 National,8,CALI 15 Red,g15cacli3ge
15 National,7,SAVB Girls 15 Meghan,g15savbc1xl
15 National,10,15s Don,g15csjvb1ne
15 National,9,Capitals 15-1 National,g15capvc1ge
15 National,12,LHV Girls 15 Ember (15S1),g15lhvbc2ne
15 National,11,TeamLVC 15 Pink,g15legio2xl
15 National,13,NET 15 Force,g15nethg1xl
15 National,14,Prodigy 15 Premier-Riccardi,g15prova2ge
15 National,16,Avidity 15 Ruby,g15avvbc2ne
15 National,15,MGA 15's Red,g15mgjvb5ne
15 National,18,LHV Girls 15 Prowl (15S2),g15lhvbc3ne
15 National,17,South County 15-Gold,g15sjvbc2ne
15 National,19,EVA 15 Jen,g15evner2ne
15 National,20,Ct Juniors 15 Premier,g15cjjvb2ne
15 National,21,MGA 15's Silver,g15mgjvb10ne
15 National,22,MGA 15's Blue,g15mgjvb6ne
15 American,1,Essex 15 Kmac,g15essex1ge
15 American,2,Blast 15 Sabers,g15bvjvb1ne
15 American,4,CMASS EDGE 15 White,g15cmjvb3ne
15 American,3,HHVC 15 1,g15havbc1ne
15 American,5,Husky 15 New England Black,g15hkjvb4ne
15 American,6,LI Blaze VBC 15 Navy,g15livbi1ge
15 American,7,OC Lady Elite 15 Pink,g15oclev2ge
15 American,8,Jaguars 15 Black,g15tcjag1xl
15 American,9,O2VBC 15 White,g15o2vbc1ge
15 American,10,PerfElite 15 1,g15perel1ge
15 American,11,Dig Deep 15 Stars,g15ddvbc1ne
15 American,12,FURY 15-2 Sarah,g15lifry2ge
15 American,17,Northeast 15 Orange,g15nevbc4ne
15 American,14,GVC 15-2,g15grvbc2ne
15 American,18,Husky 15 New England Red,g15hkjvb3ne
15 American,13,SLAM 15P BLACK,g15ttvbc2ne
15 American,15,LIVBC Girls 15 Gold,g15livbc2ge
15 American,16,Prodigy 15 Club-Lisa,g15prova5ge
15 American,19,Prodigy 15 Club-Theresa,g15prova6ge
15 American,20,Downstate 15 White,g15dstjr3ge
15 American,21,AVA 15 Phantoms,g15aavbc1ne
15 American,27,Downstate (N) 15 Vipers,g15dstjn2ge
15 American,22,Prodigy 15 Elite-Dina,g15prova3ge
15 American,23,ENVY 15 FLOOD,g15eyner2ne
15 American,28,Eclipse 15 1,g15eclps1ge
15 American,24,NE Shock 15 1,g15shvbc1ne
15 American,29,Alliance 15's Dynamite,g15sajvb2ne
15 American,25,Capitals 15-2 Legacy,g15capvc2ge
15 American,26,PV 15 Open,g15pvjvb3ne
15 American,30,Alliance 15's Avalanche,g15sajvb3ne
15 American,31,FURY 15-2 Jackie,g15lifry3ge
15 American,34,Prodigy 15 Elite-Pitt,g15prova4ge
15 American,32,ACEVB 15 Black,g15aceev1xl
15 American,35,CPVB 15 Select,g15cpier2ge
15 American,36,Hawks 15 Leinbach,g15hhvbc6ne
15 American,33,TeamLVC 15 White,g15legio3xl
15 American,37,Attack 15 1,g15atack1ge
15 Club,1,516 Elite 15 Black,g15516el1ge
15 Club,2,HOS 15U Blue,g15hosvb2ge
15 Club,4,AVA 15 Premier 2,g15atlan3ge
15 Club,3,Saratoga 15 Select,g15togat1xl
15 Club,5,CRVBC 15 1 Owls,g15crjvb1ne
15 Club,7,Downstate (N) 15 Pythons,g15dstjn3ge
15 Club,8,HOS 15U Orange,g15hosvb1ge
15 Club,6,Meraki 151 Girls,g15mvner1ne
15 Club,9,516 Elite 15 Ruby,g15516el2ge
15 Club,10,PerfElite 15 2,g15perel2ge
15 Club,11,LHVA 15 Black Travel,g15lhvba2ge
15 Club,12,South Bay 15 Blue,g15sbvbc2ge
15 Club,13,Lockdown VBC 15 Ravens,g15ldner3ne
15 Club,14,CALI 15 Gold Jaden,g15cacli6ge
15 Club,21,Bristol Crush 15 2,g15bbjvb2ne
15 Club,16,NYCLI 15 Elite,g15nycli1ge
15 Club,15,South Bay 15 Black,g15sbvbc1ge
15 Club,22,United Volleyball 15,g15unite1ge
15 Club,18,Blazr Black Dragon 15s,g15blazr1ge
15 Club,23,ENVY 15 TIDALWAVE,g15eyner3ne
15 Club,17,Flight,g15tfavb1xl
15 Club,24,KVA Phoenix15,g15krvba1ne
15 Club,25,CALI 15 Gold Elite,g15cacli5ge
15 Club,26,CALI 15 Gold- Jay,g15cacli4ge
15 Club,19,HOS 15U White,g15hosvb3ge
15 Club,20,Western Mass 15 Nila,g15wmjvb1ne
15 Club,27,CRVBC 15 2 Screech Owls,g15crjvb2ne
15 Club,28,GSVC 15 Navy,g15gsvbc1ne
15 Club,35,Legacy 15 Premier,g15lcvbc2ge
15 Club,29,Northeast 15 Black,g15nevbc5ne
15 Club,30,PV 15 Select North,g15pvjvb6ne
15 Club,36,South County 15-White,g15sjvbc3ne
15 Club,38,CALI 15 White North,g15cacli8ge
15 Club,37,CALI 15 White South,g15cacli7ge
15 Club,32,HOS 15U Silver,g15hosvb4ge
15 Club,31,NIVBC 15,g15norim1xl
15 Club,34,516 Elite 15 White,g15516el3ge
15 Club,40,Alliance 15's Cyclones,g15sajvb4ne
15 Club,39,MCV 15 6,g15mecca6ge
15 Club,33,SURGE 15 2,g15srvbc2ne
