14 USA,1,American 14 Blue/Ashley,g14amevc2ch
14 USA,2,Legacy VBA 14 1,g14legva1ch
14 USA,3,MOCO Miracle,g14mcvbc2ch
14 USA,4,DJVBC 14 Navy,g14djvbc2ch
14 USA,5,Alexandria Titans 14 1,g14alext1ch
14 USA,6,AVC 14U Travel,g14annap1ch
14 USA,7,American 14 Blue/Albert,g14amevc3ch
14 USA,8,DJVBC 14 Pink,g14djvbc3ch
14 Club,1,BRYC 14 1,g14brycv1ch
14 Club,2,BAVA 14 Storm,g14bavaj2ch
14 Club,3,MOCO Meteors,g14mcvbc3ch
14 Club,4,BRYC 14 2,g14brycv2ch
14 Club,5,NYC VBA 14 Chelsea,g14nycva1ge
14 Club,6,MOJO Elite 14 Pink,g14mojoo2ch
14 Club,7,MVBC Firestorm 14,g14mvcva1ch
14 Club,8,Premier Astra,g14pvbde5ch
13 Open,1,Premier EDGE 13,g13pvbde1ch
13 Open,2,MOCO Motion,g13mcvbc1ch
13 Open,3,American 13 Red,g13amevc1ch
13 Open,4,MDJRS 13 Elite,g13mdjrs1ch
13 Open,5,DJVBC 13 1,g13djvbc1ch
13 Open,6,BAVA 13 Thunder,g13bavaj1ch
13 Open,7,VA Juniors 13 1,g13vajrs1ch
13 Open,8,MVSA 13 Phoenix,g13mvsav3ch
13 Open,9,Loudoun Elite 13 Gracie & Tony,g13louel1ch
13 Open,10,MEVC 13 Triumph,g13mdexc1ch
13 Open,11,The St James Girls 13N,g13stjam1ch
12 Open,1,Paramount VBC 12 Jasmine,g12parvb1ch
12 Open,2,MVSA 12 Vortex,g12mvsav1ch
12 Open,3,MEVC 12 Courage,g12mdexc1ch
12 Open,4,American 12 Red,g12amevc1ch
12 Open,5,MDJRS 12 Elite,g12mdjrs1ch
12 Open,6,The St. James Girls 12N,g12stjam1ch
12 Open,7,MOJO Elite 12 Black,g12mojoo1ch
12 Open,8,Premier EDGE 12,g12pvbde1ch
13 Club,1,Paramount VBC 13 Tate,g13parvb2ch
13 Club,2,MOJO Elite 13 Black,g13mojoo1ch
13 Club,3,American 13 Blue,g13amevc2ch
13 Club,4,BRYC 13 1,g13brycv1ch
13 Club,5,MOCO Mustangs,g13mcvbc3ch
13 Club,6,NYC VBA 13 Tribeca,g13nycva1ge
13 Club,7,MOCO Majestics,g13mcvbc2ch
13 Club,8,MOJO Elite 13 Pink,g13mojoo2ch
13 Club,9,VV 13 1,g13vviet1ch
13 Club,10,MVBC Lightning 13,g13mvcva1ch
13 Club,11,BAVA 13 Comets,g13bavaj2ch
13 Club,12,Alexandria Titans 13 1,g13alext1ch
12 Club,1,Paramount VBC 12 Maggie,g12parvb2ch
12 Club,2,MOCO Mystics,g12mcvbc1ch
12 Club,3,BAVA 12 Twisters,g12bavaj1ch
12 Club,4,MOCO Marvel,g12mcvbc2ch
12 Club,5,American 12 Blue,g12amevc2ch
12 Club,6,MOCO Mighty,g12mcvbc3ch
12 Club,7,MOJO Elite 12 Pink,g12mojoo2ch
12 Club,8,NYC VBA 12 Seaport,g12nycva1ge
