18 Open,1,BVC 18-Kim,g18bakvc1sc
18 Open,2,Legacy Girls 18 Elite,g18legac1sc
18 Open,3,Maverick Broncos,g18mavvb1ca
18 Open,4,Top Flight Volleyball Academy 18 National Black,g18topfv1sc
18 Open,5,RRHVBC 18 1 Miahna,g18rrhvb1im
18 Open,6,Hawaiian Style 18 1,g18hwnst1ah
18 Open,7,Tstreet IE 18-Chris,g18tstie1sc
18 Open,8,WVBA 18 adidas,g18wavba1ps
18 Open,9,RVC U18 - Kari,g18rnvtr1ev
18 Open,10,Venom 18 1,g18vaven1ls
18 Open,11,RAGE 18 Carmelo,g18ripor1nc
18 Open,12,SDVBC 18 Danielle,g18sandi1sc
18 Open,13,Club V 18 Red Dave,g18clubv3im
18 Open,14,OMNI 18 National,g18omniv1nc
18 Open,15,Idaho ONE 18 Elite,g18idone1im
18 Open,16,Aloha State VBC 18,g18aloha1ah
18 Open,17,#951 Elite 18-1,g1895elt1sc
18 Open,18,SADDLEBACK 18 -Sofly,g18saddl1sc
18 Open,19,EAVC 18 1,g18elath1im
18 Open,20,Actyve 18-Navy,g18actyv1sc
18 Open,21,Goldenwest 18 Asics,g18gldwt1sc
18 Open,22,Vision 18 Blue,g18vsion2nc
18 Open,23,AZ REV 18 Elite,g18revol2az
18 Premier,1,ACT 18-Henry,g18actvb1sc
18 Premier,3,Dig This 18 Black,g18dgths1sc
18 Premier,2,APEX1 18BLACK,g18apex11sc
18 Premier,5,Vegas United G18 Black,g18vegas1sc
18 Premier,4,SynergyForce G 18-1 Natl,g18force1nc
18 Premier,6,IconVBC 18 Adidas,g18iconm1sc
18 Premier,7,Tapatias 17 30,g181138930xx
18 Premier,8,AZ SKY 18 BLUE,g18azsky2az
18 Premier,9,Hive 18 Gold,g18hivev1im
18 Premier,10,Ka Ulukoa 18 Skylan,g18kaulu1ah
18 Premier,11,Shockwave 18,g18shock1ev
18 Premier,12,Venom 18 Black,g18venvb1az
18 Premier,13,AZ REV North 18 Premier,g18revol3az
18 Premier,14,Tstreet SN 18-James,g18tsrsn1nc
18 Premier,15,Rancho 18 Select,g18ranch2sc
18 Premier,16,Pulse VBC 18 BLACK,g18pulse1nc
18 Premier,17,AFVBC 18 Everest,g18arcad1sc
18 Premier,18,City Beach 18-Black,g18beach1nc
18 Premier,19,Ascent 18 1,g18flgas1az
18 Premier,20,DVVC 18 1,g18delta1nc
18 Premier,21,Fresno Heat National 18,g18nxlkd1nc
18 Premier,22,WILDCATS 18 1,g18wildc1sc
18 Premier,23,Firehawk 18 1,g18fireh1ca
18 Premier,24,Beach Cities 18 Smack,g18bchct1sc
18 Premier,25,OMNI 18 Elite,g18omniv2nc
18 Premier,26,PJVBC 18 National,g18puyal1ps
18 Premier,27,MVA 18 National,g18mtvba1ev
18 Premier,28,OVA 18-1 Indy,g18olvba1nc
18 Premier,29,Santa Monica 18 Adidas Premier,g18samov1sc
18 Premier,30,Point West 18-Aaron,g18pwvbc1sc
18 Premier,31,Impact 18U Red Kendalyn,g18lvimp1sc
18 Premier,32,WVBA 18 Molten,g18wavba2ps
18 Premier,33,Club Solano 18 Maroon,g18solno1nc
18 Premier,34,Club V 18 Red Marcus,g18clubv4im
18 Premier,35,FORZA1 NORTH 18 National,g18forzn2sc
18 Premier,36,VRTXVB 18 Vic/Liz,g18vorvb1im
18 Premier,37,Club Idaho 18 Blue,g18idaho1im
18 Premier,38,Columbia Jrs. 18 Black,g18colum1ev
18 Premier,39,CSV 18 Black,g18solno2nc
18 Premier,40,Top Flight Volleyball Academy 18 Modified,g18topfv2sc
18 Club,1,Pilipa'a Na Wahine VBC 18 1,g18pilip1mk
18 Club,2,Desert Sports 18 National,g18dsrts1sc
18 Club,3,COAST 18-Brittani,g18coast3sc
18 Club,6,Point West 18-Tresa,g18pwvbc2sc
18 Club,5,StriveVBC 18 1,g18striv1su
18 Club,7,ECVBA 18-1,g18ecvba1sc
18 Club,8,Club Koa 18 Black,g18cbkoa1sc
18 Club,10,Quicksets 18,g18quick18ah
18 Club,4,Allegiance 18 Royal,g18alleg1ls
18 Club,9,Vegas Volley 18 1,g18a1veg1sc
18 Club,11,Supernova 18 National,g18snova1sc
18 Club,12,APEX1 18GREEN,g18apex12sc
18 Club,14,NM Cactus VBC 18 1,g18nmccv1su
18 Club,15,MVVC G 18 Black,g18mouvi2nc
18 Club,16,Legacy Girls 18 Black,g18legac2sc
18 Club,19,Five Star 18 Black,g185star1rm
18 Club,13,LAVA Islands 18 Premier,g18lavas2sc
18 Club,17,SoCal VBC 18-Beacons,g18socal1sc
18 Club,18,Dig This 18 Pink,g18dgths2sc
18 Club,20,BRUSA 18 Costa,g18brusa1sc
18 Club,21,BVC 18-Sidney,g18bakvc2sc
18 Club,22,Empower 18 National Black,g18mpowr1sc
18 Club,23,TVA Smack 18 Top Tier,g18trimh1nc
18 Club,24,Zona VBC 18 Red,g18zonav2az
18 Club,25,Synergy 18 Magnesium,g18synrg2ke
18 Club,26,MAUNALANI 18-ALBERT,g18mauna1ah
18 Club,27,SG Elite 18 Elite,g18sgelt3sc
18 Club,28,L1VC 18 1,g18lvone1ce
18 Club,29,Tstreet SN 18-Kyle,g18tsrsn2nc
18 Club,30,SG Elite 18 Excel,g18sgelt2sc
18 Club,31,East Boise Heat,g18ebvbc1im
18 Club,32,IEVC 18 1,g18ylvba1sc
18 Club,34,Hana Hou 18's Patcho,g18hanho1ah
18 Club,33,Kamuela VBC 18's-Black,g18hamak1mk
18 Club,35,COLA 18 Blue,g18scola1sc
18 Club,36,HVA 18 Hemolele,g18hva011ah
18 Club,37,Prime 18 adidas,g18prime1sc
18 Club,38,XFactor 18 1,g18xfctr1sc
18 Club,39,HHVBC 18 1,g18hohur1ls
18 Club,40,Hana Hou 18's Ward,g18hanho2ah
18 Club,41,AV IMPACT 18Dunham,g18avimp1sc
18 Club,42,NV Elevate 18U Elite Mia,g18elvte1sc
18 Club,43,KOAFA 18,g18koafa99sc
18 Club,44,PVC-Sarah 18 1,g18pluma1nc
18 Club,45,IMUA UVC 18UA,g18imuau1sc
18 Club,46,Summit 18 1,g18summt1sc
18 Club,47,TA'AHINE VBC - HI 18s,g18taahi1ah
18 Club,48,Ka Ulukoa 18 Chris,g18kaulu2ah
18 Club,49,Sequoia Crush 18's-Black,g18seqcr1nc
18 Club,50,Hana Hou Big Island 18's,g18hanah1mk
18 Club,51,#951 Elite 18-2,g1895elt2sc
18 Club,52,A4 Volley 18-Aaron,g18a4vol3sc
18 Club,53,B2 18 B,g18b2vbc1nc
