18 Club,1,A5 Chattanooga 18 Cece,g18afive5so
18 Club,2,TUVA G18 Elite,g18trdun1cr
18 Club,3,CCJRS 18 National,g18ccjrs1so
18 Club,4,NOLA Drew/Jaime 18,g18nolav1by
18 Club,6,575 18-1 Kurt PCVC,g18fsfvb2so
18 Club,5,NGV 18 Select Kristina,g18ngvjr1so
18 Club,8,KAVOD 18-1,g18kavod1so
18 Club,7,TFVBC 18 1,g18tfvbc1so
18 Club,9,VVB 18 2,g18vrtex2so
18 Club,10,VVB 18 1,g18vrtex1so
18 Club,11,MIDTN Black 18 1,g18midtn1so
18 Club,12,Rhythm 18 2,g18rhvbc2so
18 Club,13,C1VB 18 ONE,g18crone1pm
18 Club,14,Apex 18 1,g18apexj1pm
18 Club,15,TUVA G18 Select,g18trdun2cr
18 Club,16,Summit 18U,g18summt1so
17 Open,1,Alliance 17 REN,g17allvb1so
17 Open,2,A5 17 Calvin,g17afive1so
17 Open,4,A5 Gwinnett 17 Tim,g17afive9so
17 Open,3,Academy 17 Diamond,g17ncvba1cr
17 Open,6,CUVC 17 Open,g17carun1cr
17 Open,5,NOLA Hannah/Sarah 17,g17nolav1by
17 Open,8,Rhythm 17 1,g17rhvbc1so
17 Open,7,VVB 17 1,g17vrtex1so
17 Open,11,A5 16 Gabe,g16afive1so
17 Open,12,A5 17 Pat,g17afive2so
17 Open,9,CUVC 17 Premier,g17carun2cr
17 Open,10,MAVA Adidas 17-Select,g17mavas1pr
17 Open,16,A5 17 Angel,g17afive3so
17 Open,13,Bama Elite 17 Spartans,g17bamae1so
17 Open,15,Carolina Rogue 17 Black,g17rogue1pm
17 Open,14,Piedmont VBC 17 Hype,g17piedm1cr
17 Open,17,ARMOR 17 Zulu,g17armor1pm
17 Open,18,NASA 171 T,g17nasav1so
17 Open,19,A5 Chattanooga 17-Peyton,g17afive5so
17 Open,20,Academy 17 Crystal,g17ncvba2cr
17 Open,21,NASA South 17 MG,g17nasav2so
17 Open,22,SC Midlands 17 National R,g17scmid1pm
17 Open,24,RIOVC 17-1E Claudio,g17riovc1so
17 Open,23,Tempo 17 Black,g17tspvb1pm
17 Open,25,TUVA G17 Elite,g17trdun1cr
17 Open,26,M1 17 Blue,g17mlvbc1so
17 Open,27,C1VB 17 ONE,g17crone1pm
17 USA,1,CCJRS 17 National,g17ccjrs1so
17 USA,2,575 17-1 Bia WS,g17fsfvb2so
17 USA,4,864 Elite 17U Sophie,g17fourc1pm
17 USA,3,WGVA 17 Black,g17wgvac1so
17 USA,5,A5 17 Molina,g17afive4so
17 USA,7,A5 Gwinnett 17-JD,g17afive10so
17 USA,6,CUVC 17 National,g17carun3cr
17 USA,8,Southern Elite 17 National,g17setva1by
17 USA,9,Piedmont VBC 17 NIKE,g17piedm2cr
17 USA,10,NGV 17 Select Bogdan,g17ngvjr1so
17 USA,11,WE 17 Red,g17wevbc1so
17 USA,12,575 17-1 Luciano PCVC,g17fsfvb3so
17 USA,14,NASA 172 Jason,g17nasav4so
17 USA,13,VVB 17 2,g17vrtex2so
17 USA,15,NASA South 17 KH,g17nasav3so
17 USA,16,TFVBC 17 1,g17tfvbc1so
17 USA,17,A5 South 17-Sam,g17afive6so
17 USA,18,CSRA Heat 17 National,g17csrah1pm
17 USA,19,TUVA G17 Select,g17trdun2cr
17 USA,20,RIOVC 17 1National,g17riovc2so
16 Open,1,A5 15 Kelly,g15afive1so
16 Open,2,A5 16 Stephen,g16afive2so
16 Open,3,Academy 16 Diamond,g16ncvba1cr
16 Open,4,MAVA Adidas 16-Select,g16mavas1pr
16 Open,8,575 16-1 Taylor WS,g16fsfvb1so
16 Open,7,A5 16 Erika,g16afive3so
16 Open,6,Alliance 16 REN,g16allvb1so
16 Open,5,NOLA Alyx/Marissa 16,g16nolav1by
16 Open,9,A5 16 Danielle,g16afive4so
16 Open,12,A5 Chattanooga 16 Nancy,g16afive8so
16 Open,10,Apex 16 1,g16apexj1pm
16 Open,11,CUVC 16 Open Beast,g16carun1cr
16 Open,14,575 16-1 Izzy LP,g16fsfvb2so
16 Open,15,A5 Gwinnett 16 Arieon,g16afive11so
16 Open,13,NASA South 16 Milea,g16nasav2so
16 Open,16,VVB 16 1,g16vrtex1so
16 Open,17,CUVC 16 Premier,g16carun2cr
16 Open,18,Rhythm 161,g16rhvbc1so
16 Open,19,Academy 16 Crystal,g16ncvba2cr
16 Open,20,Carolina Rogue 16 Black,g16rogue1pm
16 Open,21,ARMOR 16 Delta,g16armor1pm
16 Open,22,TUVA G16 Elite,g16trdun1cr
16 Open,23,C1VB 16 ONE,g16crone1pm
16 Open,24,Bama Elite Greyhounds,g16bamae1so
16 Open,25,Metro 16 Brooks,g16metro1so
16 Open,26,WD Nation 16 - 5 Star,g16wdvbc4by
16 USA,1,Piedmont VBC 16 Fly,g16piedm1cr
16 USA,2,TFVBC 16 1,g16tfvbc1so
16 USA,4,RIOVC 16-1E Joe,g16riovc1so
16 USA,3,SC Midlands 16 National R,g16scmid1pm
16 USA,6,A5 16 Luke,g16afive5so
16 USA,8,A5 Gwinnett 16 JT,g16afive12so
16 USA,7,GEV 16 1,g16gaevc1so
16 USA,5,NGV 16 Select Sav,g16ngvjr1so
16 USA,9,A5 South 16-Natalie,g16afive6so
16 USA,10,CHAVC 16 Black,g16chavb1cr
16 USA,11,CUVC 16 National Emily,g16carun3cr
16 USA,12,M1 16 Blue,g16mlvbc1so
16 USA,16,AVA 16-1s Si,g16avavb1so
16 USA,15,MVP 16-Gold,g16mvpjc1pm
16 USA,14,NASA South 16 Ainsley,g16nasav3so
16 USA,13,TUVA G16 Select,g16trdun2cr
16 USA,17,CUVC 16 National Dani,g16carun4cr
16 USA,18,MIDTN Black 16 1,g16midtn1so
16 USA,19,NGV 16 Select Kate,g16ngvjr2so
16 USA,20,WE 16 Red,g16wevbc1so
16 USA,21,A5 Chattanooga 16 Shirah,g16afive9so
16 USA,22,Crush 16 1 Murray,g16cruso1so
16 USA,23,Metro 16 Andrew,g16metro2so
16 USA,24,NGV 16 Select Kylee,g16ngvjr3so
16 USA,25,Empower 16 Red,g16epvbc1so
16 USA,26,WGVA 16 Black,g16wgvac1so
16 USA,28,Crush 16 2 Mel,g16cruso2so
16 USA,27,CSRA Heat 16 National,g16csrah1pm
15 Open,1,A5 14 Helen,g14afive1so
15 Open,2,A5 15 Victor,g15afive2so
15 Open,3,Academy 15 Diamond,g15ncvba1cr
15 Open,4,Alliance 15 REN,g15allvb1so
15 Open,7,575 15-1 Matt PCVC,g15fsfvb1so
15 Open,8,A5 15 Brett,g15afive3so
15 Open,6,Apex 15 1,g15apexj1pm
15 Open,5,CUVC 15 Open,g15carun1cr
15 Open,12,Academy 15 Crystal,g15ncvba2cr
15 Open,9,ARMOR 15 Lima,g15armor1pm
15 Open,11,Metro 15 Azlynn,g15metro1so
15 Open,10,WGVA 15 Black,g15wgvac1so
15 Open,13,Rhythm 15 1,g15rhvbc1so
15 Open,14,ASHOK 15 1,g15ashok1so
15 Open,15,CHAVC 15 Black,g15chavb1cr
15 Open,16,OptimalVBC 15 Pink,g15optim1so
15 Open,17,575 15.1 Russell LP,g15fsfvb3so
15 Open,18,ARMOR 15 Tango,g15armor2pm
15 Open,19,575 15-1 Kortney WS,g15fsfvb2so
15 Open,20,NASA 151 Kris,g15nasav1so
15 Open,21,A5 Chattanooga 15-Mary,g15afive8so
15 USA,1,864 Elite 15U Ken,g15fourc1pm
15 USA,2,CUVC 15 Premier,g15carun2cr
15 USA,3,M1 15 Blue,g15mlvbc1so
15 USA,4,NGV 15 Select Stan,g15ngvjr1so
15 USA,5,A5 15 Jennie,g15afive4so
15 USA,8,COLAVOL 15 Black,g15colav1so
15 USA,6,MATRIX 15 National,g15digit1gc
15 USA,7,MJVA 15 1,g15mjvba1de
15 USA,9,A5 15 Myca,g15afive5so
15 USA,11,GEV 15 1,g15gaevc1so
15 USA,12,MVP 15-Gold,g15mvpjc1pm
15 USA,10,WE 15 Red,g15wevbc1so
15 USA,13,BVC 15 National Lance,g15bvcal1so
15 USA,14,BVC 15 National Chris,g15bvcal2so
15 USA,16,A5 Chattanooga 15-Aubrey,g15afive9so
15 USA,15,TUVA G15 Elite,g15trdun1cr
15 USA,18,A5 South 15-Ayla,g15afive6so
