18 Club,1,Rising Tide 17/18 Surge,g18rtide1pm
18 Club,2,POWERHOUSE 18u,g18house1fl
18 Club,4,PSVA 18 Tri County,g18psvba2fl
18 Club,3,WINKS 18 1,g18winks1fl
18 Club,6,OVA 18 Blue,g18light2fl
18 Club,5,QVA 18 Hydrogen,g18quant1fl
18 Club,7,SAV 18 1,g18augus1fl
18 Club,8,WPVC 18 Elite Black,g18wpvcb4fl
18 Club,9,Cape Coast 18 Pioneer,g18capco2fl
17 Open,1,GP 17 Rox,g17gpont1fl
17 Open,2,PSVA 17 1,g17psvba1fl
17 Open,4,Gainesville Juniors 17 Eric,g17gjvbc1fl
17 Open,3,Jax Skyline 17 Royal,g17skyln1fl
17 Open,5,DME Elite 17-1,g17fevbc1fl
17 Open,6,OT 16 J John,g16otbva3fl
17 Open,7,clubSAV 17 Mizuno,g17csavh1so
17 Open,8,OT 17 O Richard,g17otbva5fl
17 Open,9,OT 17 T Jose,g17otbva4fl
17 Open,10,UPONTOP 17s Elite,g17uotvb1fl
17 Open,12,FEVA 17 Kam,g17flelt1fl
17 Open,11,Venetian Bay 17 - Jay,g17vbayv1fl
17 Open,13,OPU 17-1,g17opuvb1fl
17 Open,14,VEVA 17 Elite,g17veroe1fl
17 USA,1,Countdown 17 Elite,g17count1fl
17 USA,2,OVA 17 Black,g17light1fl
17 USA,3,Cape Coast 17 Falcon,g17capco1fl
17 USA,4,TEAM Kiwi 17 Columbia,g17tkiwi2fl
17 USA,5,High Tide 17 Elite,g17htide1fl
17 USA,6,Tampa North Black 17 National,g17tnvbc2fl
17 USA,7,FCA Elevate 17u,g17fcael1fl
17 USA,8,Black Creek VBC 17 1,g17bcvbc1fl
17 USA,9,APV 17 Red,g17atomv1fl
17 USA,10,PVC 17 1,g17power1fl
17 USA,11,UPONTOP 17s Elite Pink,g17uotvb2fl
17 USA,12,WVBA 17 ELITE BLACK,g17welva1fl
17 Club,1,QVA 17 Hydrogen,g17quant1fl
17 Club,2,PSVA 17 Tri County,g17psvba2fl
17 Club,3,RVA 17 Black,g17lient2fl
17 Club,4,WGVC 17U ELITE BLACK 3,g17gardn3fl
17 Club,6,EEVB 17R,g17efevb20so
17 Club,5,FSVC 17U ELITE,g17stars2fl
17 Club,7,HEAT 17 Elite,g17pheat1fl
