16/17 Club,1,17 Hunters Creek,g17hcvba1fl
16/17 Club,2,Forward 17,g17106251xx
16/17 Club,3,Forward 16,g16106251xx
16/17 Club,4,CCAVBC 16u,g16celeb1fl
15 Club,1,HEAT 15 HEAT,g15pheat2fl
15 Club,2,Island Girls 15 1,g15111461xx
15 Club,3,15 Windermere,g15hcvba10fl
15 Club,4,Forward 15,g15106251xx
15 Club,5,WT Elite 15 10,g151115910xx
15 Club,6,FEVA 15 Paige,g15flelt6fl
15 Club,7,CHOBEE 15,g15chobe1fl
15 Club,8,FEVA 15 Lorenzo,g15flelt5fl
14 Club,1,HEAT 14 HEAT,g14pheat2fl
14 Club,2,FIVE 14 1,g14franc1fl
14 Club,3,Warrior 14 Shawn,g14warvb3fl
14 Club,4,CCAVBC 14 Navy,g14celeb1fl
14 Club,5,DSC VC 14 BLUE,g14dscvc1fl
14 Club,6,FEVA 14 Jasmine,g14flelt5fl
14 Club,7,Hunter's 14U Red,g14huntr3fl
14 Club,8,14 Windermere NT,g14hcvba20fl
14 Club,9,FEVA 14 Maya,g14flelt6fl
14 Club,10,MVC 14 1,g14verde1fl
14 Club,11,Forward 14,g14106251xx
14 Club,12,HEAT 14 KELLY,g14pheat5fl
14 Club,13,14 Windermere,g14hcvba10fl
14 Club,14,HEAT 14 JESSIE,g14pheat3fl
14 Club,15,14 Hunters Creek,g14hcvba50fl
14 Club,16,HEAT 14 CARMEN,g14pheat4fl
13 Club,1,13 Windermere NT,g13hcvba30fl
13 Club,2,HEAT 13 ELITE,g13pheat1fl
13 Club,3,HEAT 13 HEAT,g13pheat2fl
13 Club,4,S.A. Warriors 13,g13109971xx
13 Club,5,Forward 13 Crystal,g13106251xx
13 Club,6,FEVA 13 Zoe,g13flelt5fl
13 Club,7,FEVA 13 Savannah,g13flelt4fl
13 Club,8,Forward 13 Meghan,g13106252xx
13 Club,9,Driven 13 Navy,g13drivn2fl
13 Club,10,Hunter's 13U Red,g13huntr2fl
13 Club,11,HEAT 13 CASEY,g13pheat3fl
13 Club,12,CHOBEE 13,g13chobe1fl
13 Club,13,Warrior 13 Emma,g13warvb2fl
13 Club,14,Driven 13 White,g13drivn3fl
12 Club,1,HEAT 12 ELITE,g12pheat1fl
12 Club,2,FEVA 12 Michael,g12flelt2fl
12 Club,3,HEAT 12 HEAT,g12pheat2fl
12 Club,4,FEVA 12 Brooke,g12flelt3fl
12 Club,5,HEAT 12 RYLEIGH,g12pheat3fl
12 Club,6,Forward 12 Kaitlyn,g12106252xx
12 Club,7,Driven 12 Navy,g12drivn2fl
12 Club,8,12 Hunters Creek,g12hcvba20fl
12 Club,9,Forward 12 Jeff,g12106251xx
12 Club,10,PVA 12 Tejada,g12pasco1fl
10/11 Club,1,FEVA 11 Jenna,g11flelt1fl
10/11 Club,2,CHOBEE 11,g11chobe1fl
10/11 Club,3,Hunter's 11U Black,g11huntr1fl
10/11 Club,4,Driven 11 Navy,g11drivn2fl
10/11 Club,5,Driven 10 Teal,g10drivn1fl
10/11 Club,6,HEAT 11 HEAT,g11pheat2fl
10/11 Club,7,S.A. Warriors 11 1,g11109971xx
10/11 Club,8,FEVA 11 Tori,g11flelt2fl
10/11 Club,9,Driven 10 Navy,g10drivn2fl
