18 Open,1,Phoenix Legacy 18 1,g18phoen1ca
18 Open,2,Synergy 18 Kryptonite,g18synrg1ke
18 Open,4,Metro 18 Travel,g18metro1ch
18 Open,3,VA Elite 18s,g18vejvb1ch
18 Open,6,Canuck Stuff 18 1,g18csvbc1ca
18 Open,5,EliteVBTC 18 Black,g18evbtc1ov
18 Open,8,Huskies 18U Premier,g18huske1ca
18 Open,7,MDJRS 18 Elite,g18mdjrs1ch
18 Open,12,ACAD 18 Red,g18tivba1ge
18 Open,10,BRVA 18 1,g18brvba1ch
18 Open,11,Columbia 18 Black,g18colum1ch
18 Open,9,Northeast 18.1,g18nevbc1ne
18 Open,13,CMASS EDGE 18 Black,g18cmjvb1ne
18 Open,14,SC Elite U18 Elite,g18scelt1pm
18 Open,15,Delaware United 18 Navy,g18deuvb1ch
18 Open,16,SOSVBC 18N Elvis,g18sosvb1ge
18 Open,17,LEVBC 18 National,g18libvb1ch
18 Open,18,VA Juniors 18 1,g18vajrs1ch
18 Open,19,Dinos 18 1,g18dinos1ca
18 Open,20,Lockdown VBC 18 Phoenix,g18ldner1ne
18 Open,21,EC Power KOP 18-Royal,g18ecpwr1ke
18 Open,22,Metro 18 North,g18metro2ch
18 Open,24,Fusion VBC U18 Blue,g18fuvbc1ke
18 Open,23,NVA 18 Black,g18spnoc1ke
18 Open,25,CJVA 18 Black,g18cjvba1ge
18 Open,26,757 18 Black,g18tvanp1od
18 Open,28,Alliance 18 REN,g18allvb1so
18 Open,27,GSEVC 18 Premier,g18gsevt1ge
18 Open,29,MVSA 18 Chaos,g18mvsav1ch
18 Open,30,Revolution PGH 18 White,g18revol3ke
18 Open,31,NYC Juniors 18 Gemini,g18nycjr1ge
18 Open,32,American 18 Red,g18amevc1ch
18 Open,33,RVC 18 National,g18rvcjr1od
18 Open,34,SKY Elite 18 1,g18skyel1ke
18 Open,35,MOJO Elite 18 Black,g18mojoo1ch
18 Open,36,Team VBRAGS HEKETI 18-Carly,g18vbrag1ge
18 Open,37,Royal Legends 18 1,g18royal1ke
18 Open,38,Sportime 18 Gold,g18sptmc1ge
18 Open,39,Academy 17,g17acabc1ch
18 Open,40,MOCO Maverick,g18mcvbc1ch
18 Open,42,BAVA 18 Lightning,g18bavaj1ch
18 Open,41,Princeton 18 1,g18princ1ge
18 Open,43,HOV 18 National,g18hovjr1od
18 Open,44,Jersey Jrs 18 1,g18njjrs1ge
18 Open,45,540 VB 18 Elite,g18540va1od
18 Open,46,Husky 18 National,g18hkjvb1ne
18 Open,47,CJHEAT 18 National,g18jheat1ge
18 Open,48,VAVA 18 1,g18vavac1ch
18 Club,1,JKCA 1,g18rbvec1pu
18 Club,2,GVA 18u Pink,g18gvavb1pu
18 Club,4,ECJVC 18 National,g18ecjvc1cr
18 Club,3,Rise 18.1,g18risea1ov
18 Club,5,CALI 18 Black,g18cacli1ge
18 Club,6,CPVC 18 Black,g18prfrm1cr
18 Club,7,P3R 18 Platinum,g18ptrvb1ke
18 Club,8,Va Wave 18 Elite,g18vawav1od
18 Club,13,Carolina ICE 18 1,g18crice1pm
18 Club,11,Chicago Elite 18 Elite,g18cevbc1gl
18 Club,12,Firecrackers 18 Red,g18fcvbc1cr
18 Club,9,Next Level 18 1,g18nxtlv1pu
18 Club,14,Pitt United 18 Red,g18pugvc1ke
18 Club,16,RUV 18 Red,g18ruvjr1od
18 Club,10,Synergy 18 Magnesium,g18synrg2ke
18 Club,15,Top Caliber 18 REN,g18tclbr1cr
18 Club,19,Avidity 18 Diamond,g18avvbc1ne
18 Club,17,CAVC 18 Elite,g18cavcx1od
18 Club,18,DACAN 18 2 Elevate,g18davib2ca
18 Club,20,TeamLVC 18 Black,g18legio1xl
18 Club,22,BEVBC 18 Navy,g18bevbc1ch
18 Club,21,MDJRS 18 Elite Yellow,g18mdjrs2ch
18 Club,24,EliteVBTC 18 Blue,g18evbtc2ov
18 Club,23,NC Coastal 18 Deshay,g18nccst1cr
18 Club,26,CLVC 18-Black,g18lgacy1cr
18 Club,27,ECEDAO,g18ecdao1pu
