18 Open,1,Tsunami S181E Marko,g18tsuna1so
18 Open,2,TEAM Kiwi 18 Graphite,g18tkiwi1fl
18 Open,3,OT 18 T Whitney,g18otbva4fl
18 Open,4,Top Select 18,g18tsvba1fl
18 Open,6,Buffalo Stampeders 18 Armour,g18buflo1fl
18 Open,5,HIGH VOLTAGE 17 COLLEGE PREP,g17hvolt1fl
18 Open,7,Tsunami C181E Alex,g18tsuna3so
18 Open,9,Maine Jrs 18-National,g18mnjvb1ne
18 Open,8,Tampa North U18 Black,g18tnvbc1fl
18 Open,10,TAMPA UNITED VBA 18 BLACK,g18unite1fl
18 Club,1,ECVA 18 Teal,g18ecvba1cr
18 Club,2,BVA 18 Gomez,g18bvavb1fl
18 Club,3,AAC 18 National,g18amath1fl
18 Club,4,RADD Elite 18 Red,g18radds1fl
18 Club,5,BSE 18 1,g18bsevb1fl
18 Club,6,St. Pete 18 Teal,g18spvbc1fl
18 Club,7,POWERHOUSE 18u,g18house1fl
18 Club,8,TEAM Kiwi 18 Columbia,g18tkiwi2fl
18 Club,10,RVA 18 1,g18roket1fl
18 Club,9,SA Elite 18 American,g18sajvb1ne
18 Club,11,Coastal 18 Elite,g18bayjr1fl
18 Club,12,FTLUTD Fusion 18U,g18flutd1fl
18 Club,13,Tsunami S182E Gabriella,g18tsuna2so
18 Club,14,Vibe 18 Rami,g18vibev1so
18 Club,16,No Limits 18 Navy,g18limit1fl
18 Club,15,SIVC 18 1,g18sudde1rm
18 Club,18,863 Elite 18-1 Black,g18estva1fl
18 Club,17,Maine Jrs 18-Gold,g18mnjvb2ne
18 Club,19,AVA 18 Royal,g18allin2fl
18 Club,20,SA Elite 18 Tribe,g18sajvb2ne
18 Club,22,HVA 18,g18hvavc1fl
18 Club,21,QVA 18 Hydrogen,g18quant1fl
18 Club,24,FL HYPE 18 Smack Amanda,g18fhype1fl
18 Club,23,Xtreme Crazy 18s,g18crazy1lk
17 Open,1,Gulfside 17U Prime,g17fgsva1fl
17 Open,2,TAMPA UNITED VBA 17 BLACK,g17unite1fl
17 Open,3,OT 17 T Jose,g17otbva4fl
17 Open,4,Stars 17 Sanders,g17stars2pm
17 Open,6,FEVA 17 Kam,g17flelt1fl
17 Open,5,USA South 17 Premier Purple,g17usaso1fl
17 Open,7,Venetian Bay 17 - Jay,g17vbayv1fl
17 Open,9,New WaveS 17 Kris,g17nwave1fl
17 Open,10,SSP Storm 17 Select,g17storm1fl
17 Open,8,TEAM Kiwi 17 Graphite,g17tkiwi1fl
17 USA,1,Tsunami S171E Michael,g17tsuna1so
17 USA,2,Tsunami N171E Lane,g17tsuna5so
17 USA,4,Tampa North Black 17 National,g17tnvbc2fl
17 USA,3,WAVE 17 PRO,g17wavev1fl
17 USA,5,EVPA 17 1 Red SRQ,g17esivb1fl
17 USA,6,St. Pete 17 Teal,g17spvbc1fl
17 USA,8,QVA 17 Hydrogen,g17quant1fl
17 USA,7,UPONTOP 17s Elite Pink,g17uotvb2fl
17 USA,9,FEVA 17 Courtney,g17flelt2fl
17 USA,10,TEAM Kiwi 17 Columbia,g17tkiwi2fl
17 USA,12,BSE 17 1,g17bsevb1fl
17 USA,11,SVC 17 Blue,g17svcfl1fl
17 USA,13,FL HYPE 17 Smack Kayla,g17fhype1fl
17 USA,14,AAC 17 National,g17amath1fl
17 USA,15,Maine Jrs 17 National,g17mnjvb1ne
17 USA,16,TAMPA UNITED VBA 17 RED,g17unite2fl
17 Club,1,RVA 17 Navy,g17lient1fl
17 Club,2,RVA 17 1,g17roket1fl
17 Club,3,CEV 17 1,g17beevb1fl
17 Club,4,Florida Conquer 17 National,g17conqr1fl
17 Club,8,BVA 17 Black Nicole,g17bomer2fl
17 Club,5,EVPA 17 2 Whitem,g17esivb2fl
