18 National Bid,1,Performance Volleyball 18 1,g18mance1fl
18 National Bid,2,USA SOUTH 18 Premier Purple,g18usaso1fl
18 National Bid,3,IMGA  Ascender Elite 18-1,g18imgvb1fl
18 National Bid,4,305VBC 18NE,g18three1fl
18 American Bid,1,DME Elite 18-1,g18fevbc1fl
18 American Bid,2,Cape Coast 18 Atlas,g18capco1fl
18 American Bid,3,OT 18 T Whitney,g18otbva4fl
18 American Bid,4,Buffalo Stampeders 18 Armour,g18buflo1fl
18 American Bid,5,FEVA 18 Black,g18flelt1fl
18 American Bid,8,Tampa North U18 Black,g18tnvbc1fl
18 American Bid,7,VEVA 18 Elite,g18veroe1fl
18 American Bid,6,WPVC 18 Armour Black,g18wpvcb1fl
18 American Bid,9,FIVA 18U,g18fivai1fl
18 American Bid,10,TVA Smack 18 Katie,g18talla1fl
18 American Bid,12,OT 18 O Cynthia,g18otbva5fl
18 American Bid,11,WPVC 18 Armour Orange,g18wpvcb2fl
18 American Bid,13,RADD Elite 18 Red,g18radds1fl
18 American Bid,14,HIGHVOLTAGE 18 COLLEGE PREP,g18hvolt1fl
18 American Bid,15,CLUB STEEL 18,g18steel1fl
18 Freedom Bid,1,Gainesville Juniors 18 Bailey,g18gjvbc1fl
18 Freedom Bid,2,LAKE NONA 18 LUIS,g18spart1fl
18 Freedom Bid,3,AAC 18 National,g18amath1fl
18 Freedom Bid,4,Florida Conquer 18 National,g18conqr1fl
18 Freedom Bid,7,863 Elite 18-1 Black,g18estva1fl
18 Freedom Bid,8,BSE 18 1,g18bsevb1fl
18 Freedom Bid,6,FTLUTD 18U Fusion D,g18flutd1fl
18 Freedom Bid,5,TAMPA UNITED VBA 18 BLACK,g18unite1fl
18 Freedom Bid,9,TVC 18 AP,g18taina1fl
18 Freedom Bid,10,WPVC 18 Armour Silver,g18wpvcb3fl
18 Freedom Bid,11,Coastal 18 Elite,g18bayjr1fl
18 Freedom Bid,12,WPVC 18 Elite Black,g18wpvcb4fl
18 Freedom Bid,13,Dynamite 18B,g18dmite1fl
18 Freedom Bid,14,WVA 18,g18wizrd1fl
18 Freedom Bid,15,MSVC 18 ADIDAS DANIEL,g18mslct4fl
