11/12 USA,1,850 ELITE 12 - 1 (GC),g12elite1gc
11/12 USA,2,PEVC 12N Soumaly (GC),g12pevbc1gc
11/12 USA,3,DSVC 11 BLUE (GC),g11dsvbc1gc
11/12 USA,3,USJVA 12 National Red HP (GC),g12usjva1gc
11/12 USA,5,SEVC 12-1 (GC),g12sevbc1gc
11/12 USA,6,DSVC 12 POWER (GC),g12dsvbc2gc
11/12 USA,7,PEVC 11N Walter (GC),g11pevbc1gc
13 USA,1,PEVC 13N Abbey (GC),g13pevbc1gc
13 USA,2,PIVC Storm 13E Pearson (GC),g13pivbc1gc
13 USA,3,850 ELITE 13 - 2 (GC),g13elite2gc
13 USA,3,USJVA 13 National Red HP (GC),g13usjva1gc
13 USA,5,PIVC Storm 13PWR  Morgan (GC),g13pivbc2gc
13 USA,5,USJVA 13 Blue (GC),g13usjva2gc
13 USA,7,Dolphin VBC 13 Silver (GC),g13dolvb2gc
13 USA,8,Dolphin VBC 13 Black (GC),g13dolvb1gc
13 USA,9,PEVC 13 Boys 2 (GC),g13pevbc6gc
13 USA,9,Surge 13-4 Power (GC),g13smsvc4gc
14 USA,1,USJVA 14 National Red HP (GC),g14usjva1gc
14 USA,2,PEVC 14N Chris W (GC),g14pevbc1gc
14 USA,3,DSVC 14 POWER WHITE (GC),g14dsvbc5gc
14 USA,3,PIVC Storm 14Elite Karely (GC),g14pivbc1gc
14 USA,5,Dolphin VBC 14 Green (GC),g14dolvb4gc
14 USA,5,DSVC 14 POWER BLUE (GC),g14dsvbc2gc
14 USA,7,Dolphin VBC 14 Black (GC),g14dolvb1gc
14 USA,8,Dolphin VBC 14 Silver (GC),g14dolvb2gc
14 USA,9,DSVC 14 POWER RED (GC),g14dsvbc3gc
14 USA,9,Surge 14-4 Power (GC),g14smsvc4gc
15 USA,1,USJVA 15 National Red HP (GC),g15usjva1gc
15 USA,2,WF Waves 15-Cody (GC),g15waves2gc
15 USA,3,Dolphin VBC 15 Black (GC),g15dolvb1gc
15 USA,3,Dolphin VBC 15 Silver (GC),g15dolvb2gc
15 USA,5,SVC 15-PINK (SO),g15savbc2so
15 USA,6,PEVC 15 Alyssa (GC),g15pevbc3gc
15 USA,7,DSVC 15 POWER (GC),g15dsvbc2gc
16 USA,1,USJVA 16 National Red HP (GC),g16usjva1gc
16 USA,2,PEVC 16 Vicki (GC),g16pevbc2gc
16 USA,3,DSVC 16 POWER (GC),g16dsvbc2gc
16 USA,3,PIVC Storm 16E Stephen (GC),g16pivbc1gc
16 USA,5,USJVA 16 Regional Blue (GC),g16usjva2gc
17/18 USA,1,LAV 17 National Black (GC),g17lavbc1gc
17/18 USA,2,Wildcats 18s (SO),g18wldct1so
17/18 USA,3,504 VBC 17 (BY),g17504vc2by
17/18 USA,3,PIVC Storm 17Elite Lauren (GC),g17pivbc1gc
17/18 USA,5,Surge 17-1 Power (GC),g17smsvc1gc
17/18 USA,5,USJVA 17 National Red HP (GC),g17usjva1gc
17/18 USA,7,DSVC 18 NATIONAL (GC),g18dsvbc1gc
17/18 USA,8,DSVC 17 POWER (GC),g17dsvbc2gc
17/18 USA,9,Mobile Storm 17 Power (GC),g17moscb3gc
18 Boys,1,Sharks 18 Boys Navy (GC),b18nivbc1gc
18 Boys,2,Sharks 18 Boys Silver (GC),b18nivbc2gc
18 Boys,3,ECVC - 17U Boys (GC),b17ecvbc1gc
