11 Club,1,PVA 11 Elite (HA),g11pvakc1ha
11 Club,2,MAVS 816 11 National (HA),g11mavse1ha
11 Club,3,Invasion 11-Black (HA),g11invas1ha
11 Club,3,MAVS KC 11 National (HA),g11mavbc2ha
11 Club,5,DYNASTY 11 Blue (HA),g11tmdyn2ha
11 Club,6,MAVS KC 11 Premier (HA),g11mavbc3ha
11 Club,7,DYNASTY 10 Black (HA),g10tmdyn1ha
11 Club,7,MAVS KC Select 10-1 (HA),g10mavsc1ha
11 Club,9,Tville Smash 11U (GW),g11tsmsh1gw
11 Club,10,11U KC Elevate (HA),g11kcele15ha
11 Club,11,KNVBC 11 Mammoth Athletic (HA),g11knvbc1ha
11 Club,11,Summit VC 11 Black (HA),g11summt1ha
11 Club,13,Core STL U11 Navy (GW),g11corsl1gw
11 Club,14,DYNASTY 11 - 3 Stripe (HA),g11tmdyn4ha
11 Club,15,Core STL U11 Carolina (GW),g11corsl2gw
11 Club,15,DYNASTY 11 Adidas (HA),g11tmdyn3ha
12 Club,1,Pohaku 12-1 (HA),g12pohak1ha
12 Club,2,Invasion 12-White (HA),g12invas3ha
12 Club,3,KC Power 12 Martincich (HA),g12power1ha
12 Club,3,KNVBC 12 Topeka Hype (HA),g12knvbc1ha
12 Club,5,Club Net 12 National (DE),g12cnvbc1de
12 Club,5,DYNASTY 11 Black  (HA),g11tmdyn1ha
12 Club,5,FC United 12 Black (GW),g12frcou1gw
12 Club,5,SE Crossfire 12U National (GW),g12secsf1gw
12 Club,9,Freedom 12 Blue (HA),g12freed1ha
12 Club,9,Galaxy 12-1 (HA),g12galax1ha
12 Club,9,Landshark 12 Black (HA),g12lands1ha
12 Club,9,MAVS 816 12 Regional (HA),g12mavse2ha
12 Club,9,STL Crossfire 12 T1 (GW),g12slcre1gw
12 Club,9,Topeka Saints 12-1 (HA),g12tsnts1ha
12 Club,15,Core STL U12 Navy (GW),g12corsl1gw
12 Club,16,Core STL U12 Carolina (GW),g12corsl2gw
12 Club,17,Eudora Chaos 12U (HA),g11echao1ha
12 Club,17,MAVS KC 12 Regional (HA),g12mavbc4ha
12 Club,19,H2 STL 12 Tx Orange_25_BL (GW),g12h2stl2gw
12 Club,19,Invasion 12-Black (HA),g12invas1ha
12 Club,19,PVA 12 National (HA),g12pvakc2ha
12 Club,22,Tville Smash 12U (GW),g12tsmsh1gw
12 Club,23,MAVS KC 12 Premier (HA),g12mavbc3ha
12 Club,24,DYNASTY 12 - 3 Stripe (HA),g12tmdyn5ha
