12 Girls,1,A5 Chattanooga 12-1 Rhea (SO),g12afive10so
12 Girls,2,VVB Laurie 11-1 (SO),g11vrtex1so
12 Girls,3,Vortex Ragen 12-1 (SO),g12vrtex1so
12 Girls,4,C229 12-1 (SO),g12lctvc1so
12 Girls,5,A5 Chattanooga 12-2 Julie (SO),g12afive11so
12 Girls,6,Phoenix Rising 12 Dillon (SO),g12prvbc1so
13 Club,1,A5 Chattanooga 131 Jennif (SO),g13afive9so
13 Club,2,Vortex Kay 13-1 (SO),g13vrtex1so
13 Club,3,Vortex Caitlyn 13-2 (SO),g13vrtex2so
13 Club,4,A5 Chattanooga 132 Jamie (SO),g13afive10so
13 Club,5,Phoenix Rising 13 Crystal (SO),g13prvbc1so
13 Club,6,Vortex Skylar 13-3 (SO),g13vrtex3so
14 Club,1,Anthem United 14-Navy (SO),g14auvbc1so
14 Club,2,EXCELL 14's Yellow 2025 (PM),g14excel2pm
14 Club,3,C4 14-1 KEVIN (SO),g14cfour1so
14 Club,4,EXCELL 14's Navy 2025 (PM),g14excel1pm
14 Club,5,AVBC 14-SHANNON (SO),g14avbcl1so
14 Club,6,SCVC 14-1 Gracie (SO),g14scvcb1so
14 Club,7,A5 Chattanooga 142 Haley (SO),g14afive9so
14 Club,8,C229-14-1 (SO),g14lctvc1so
14 Club,9,Phoenix Rising 14 Jacinth (SO),g14prvbc1so
14 Club,10,Vortex Serena 14-3 (SO),g14vrtex3so
14 Club,11,Phoenix Rising 14 Lesley (SO),g14prvbc2so
15 Club,1,EXCELL 15's Navy 2025 (PM),g15excel1pm
15 Club,2,Anthem United 15-Navy (SO),g15auvbc1so
15 Club,3,A5 Chattanooga 152 Aubrey (SO),g15afive9so
15 Club,4,SCVC 15-2 Adam (SO),g15scvcb2so
15 Club,5,Phoenix Rising 15 Kelsi (SO),g15prvbc1so
15 Club,6,C229 15-1 (SO),g15lctvc1so
15 Club,7,MTNVC15 (CR),g15mtnvc1cr
15 Club,8,EXCELL 15's Yellow 2025 (PM),g15excel2pm
15 Club,9,SCENIC CITY 15 - Local (SO),g15scvbc3so
15 Club,10,Anthem United 15-Red (SO),g15auvbc2so
15 Club,11,AVBC 15-AVA (SO),g15avbcl1so
15 Club,12,Tsunami R151P Kenzie (SO),g15tsuna24so
16 Club,1,Anthem United 16-Navy (SO),g16auvbc1so
16 Club,2,A5 Chattanooga 163 Morgan (SO),g16afive10so
16 Club,3,A5 Chattanooga 162 Shirah (SO),g16afive9so
16 Club,4,EXCELL 16's Navy 2025 (PM),g16excel1pm
16 Club,5,C229 16-1 (SO),g16lctvc1so
16 Club,6,Phoenix Rising 16 Amie (SO),g16prvbc1so
16 Club,7,SCVC 16-1 Emma (SO),g16scvcb1so
16 Club,8,Anthem United 16-White (SO),g16auvbc3so
16 Club,9,SCENIC CITY 16 - Local (SO),g16scvbc3so
16 Club,10,Tsunami R161P Tiffani (SO),g16tsuna19so
16 Club,11,EXCELL 16 yellow 2025 (PM),g16excel2pm
17-18 Club,1,Phoenix Rising 18 Heather (SO),g18prvbc1so
17-18 Club,2,AVBC 18-LISA (SO),g18avbcl1so
17-18 Club,3,SCVC 18-1 Christopher (SO),g18scvcb1so
17-18 Club,4,EXCELL 17's Silas N 2025 (PM),g17excel1pm
17-18 Club,5,EXCELL 17's Yellow 2025 (PM),g17excel3pm
17-18 Club,6,EXCELL 17's Paul N 2025 (PM),g17excel2pm
17-18 Club,7,Anthem United 17-Red (SO),g17auvbc2so
17-18 Club,8,PAVC - NC 18 Onyx (CR),g18prcsn1cr
17-18 Club,9,PAVC - NC 18 Black (CR),g18prcsn2cr
17-18 Club,10,SCVC 17-1 Nikki (SO),g17scvcb1so
17-18 Club,11,AVBC 17-JEFF (SO),g17avbcl2so
17-18 Club,12,AVBC 17-WES (SO),g17avbcl1so
