11 Club,1,Epic United 11 Premier (GL),g11epicu1gl
11 Club,2,DJRVB 11N,
11 Club,3,Decatur Force 11 Teal (HO),g11dforc1ho
11 Club,3,Monon 11-2R Shock (HO),g11tavms2ho
11 Club,5,GRV 11 Green (HO),g11grbvc1ho
11 Club,5,TI Elite 11Thundermonkeys (HO),g11tivbc1ho
11 Club,7,EMPOVC Hendos (HO),g11evavbbho
11 Club,7,Pineapple 10 White (HO),g10tpine1ho
11 Club,9,Decatur Force 10 Teal (HO),g10dforc1ho
11 Club,10,GoTime 11-1 (HO),g11gotim1ho
11 Club,11,Empowered 11 Elite Black (HO),g11evavb1ho
12 Open-Club,1,Boiler Jrs 12-1O Gold (HO),g12tavbj1ho
12 Open-Club,2,Monon 12-1O Tigers (HO),g12tavms1ho
12 Open-Club,3,Epic United 12 Elite (GL),g12epicu1gl
12 Open-Club,3,Pineapple 12 Black (HO),g12tpine2ho
12 Open-Club,5,Boiler Jrs 122E Black (HO),g12tavbj2ho
12 Open-Club,5,TI Elite 12Thundercats (HO),g12tivbc1ho
12 Open-Club,7,Academy 12-1O Bobcats (HO),g12tavbc1ho
12 Open-Club,7,Decatur Force 12 Teal (HO),g12dforc1ho
12 Open-Club,7,GRV 12 Black (HO),g12grbvc1ho
12 Open-Club,10,Decatur Force 12 Aqua (HO),g12dforc2ho
12 Open-Club,10,Empowered 12 Elite Black (HO),g12evavb1ho
12 Open-Club,10,Monon 12-4R Ocelots (HO),g12tavms6ho
12 Open-Club,13,EMPOVC Hoover (HO),g12evavbcho
12 Open-Club,14,Academy 12-4R Cougars (HO),g12tavbc4ho
12 Open-Club,15,Monon 12-3R Pumas (HO),g12tavms3ho
12 Open-Club,16,Academy 12-2E Leopards (HO),g12tavbc2ho
12 Open-Club,17,APVBC 12-1,
12 Open-Club,18,GoTime 12-1 (HO),g12gotim1ho
12 Open-Club,18,Norwell VBC 12 Gold,
12 Open-Club,20,Academy 12-3R Cheetahs (HO),g12tavbc3ho
12 Open-Club,20,Norwell VBC 12 Navy,
12 Open-Club,22,GRV 12 White (HO),g12grbvc2ho
12 Open-Club,23,Pineapple 11/12 Green (HO),g12tpine3ho
12 Open-Club,24,Empowered 12 Elite Onyx (HO),g12evavb2ho
12 Open-Club,25,EMPOVC Red (HO),g12evavbaho
12 Open-Club,26,Norwell VBC 12 White,
13 Club,1,DJRVB 13N,
13 Club,2,EMPOVC Brown (HO),g13evavbaho
13 Club,3,EMPOVC Kylie (HO),g13evavbbho
13 Club,3,TI Elite 13.2 (HO),g13tivbc2ho
13 Club,5,Apex 13 Predators (GW),g13apexv1gw
13 Club,5,Attack VBC  13U Elite (LK),g13attak1lk
13 Club,5,Decatur Force 13 Aqua (HO),g13dforc2ho
13 Club,5,ENP7 (HO),g13tpine4ho
13 Club,9,GRV 13 Red (HO),g13grbvc2ho
13 Club,9,Norwell VBC 13 Navy,
13 Club,9,Pineapple 13 Green (HO),g13tpine2ho
13 Club,9,REDLINE 13 BLACK (LK),g13redln1lk
13 Club,13,Five:1 13-White (LK),g13five13lk
13 Club,14,Empowered 13 Elite White (HO),g13evavb4ho
13 Club,15,Empowered 13 Elite Red (HO),g13evavb3ho
13 Club,15,GoTime 13-2 (HO),g13gotim2ho
13 Club,17,APVBC 13-1,
13 Club,17,SCWave 13 Dolphins,
13 Club,19,TDV 13 National (OV),g13toldvbov
