12 Club RH,1,864 Elite 12U Carla (PM) (1),g12fourc1pm
12 Club RH,2,MVP 12-Gold (PM) (2),g12mvpjc1pm
12 Club RH,3,Carolina ICE 12 Nat (PM) (3),g12crice1pm
12 Club RH,3,Carolina Rogue 12 Black (PM) (4),g12rogue1pm
12 Club RH,5,SC Elite U12 Sarah (PM) (5),g12scelt1pm
12 Club RH,6,MVP 11-Gold (PM) (6),g11mvpjc1pm
12 Club RH,7,MVA 12- boys (PM) (7),b12mvasc1pm
12 Club RH,8,Carolina Warriors 12-1 (PM) (8),g12cwarr1pm
12 Club RH,9,Top Flight SC 12 Phoenix (PM) (9),g12topfl1pm
12 Club RH,10,Top Flight SC 12 Eagle (PM) (10),g12topfl2pm
12 Club RH,11,MVA 12-1 (PM) (11),g12mvasc1pm
12 Club RH,12,LMVC 12 REG ERIN (PM) (12),g12lakem2pm
12 Club RH,13,MVP 12-Black (PM) (13),g12mvpjc2pm
12 Club RH,14,Emerald City 12 Green (PM) (14),g12ecity1pm
12 Club RH,15,PSVC 12 Abby (PM) (15),g12pstri3pm
12 Club RH,16,PEVC 12U Haylee/Rylee (PM) (16),g12pmelt1pm
12 Club RH,17,SCWE12 JAHNI (PM) (17),g12scwea1pm
12 Club RH,18,Diamonds 11-1 (SO) (18),g11modia1so
12 Club RH,19,Oconee Rush 12-1 (PM) (19),g12ocrus1pm
12 Club RH,20,Carolina Warriors 12-2 (PM) (20),g12cwarr2pm
12 Sptbg,1,Stars 11 Amanda (PM) (1),g11stars1pm
12 Sptbg,2,CSNS 12U (PM) (2),g12clubs1pm
12 Sptbg,3,Pickens Impact 12-10 (PM) (3),g12pimpt1pm
12 Sptbg,4,Elevate 12 Asia (PM) (4),g12eleva1pm
12 Sptbg,5,C1VB 12 Regional Grvl (PM) (5),g12crone1pm
12 Sptbg,6,MEVC 12 Sade (PM) (6),g12metro1pm
12 Sptbg,7,Upstate 13 Hope (PM) (7),g13upsvc1pm
12 Sptbg,8,CSRA Heat 12 Black (PM) (8),g12csrah2pm
12 Sptbg,9,PVA 12-1 (PM) (9),g12premr1pm
12 Sptbg,10,SC Midlands 12 Perform R (PM) (10),g12scmid1pm
12 Sptbg,11,Blue Ridge 12u (PM) (11),g12bluer1pm
12 Sptbg,12,Intense 12U State (PM) (12),g12inten2pm
13 Club RH,1,Sandhills 13 Tay-Jay (CR) (1),g13sandh1cr
13 Club RH,2,JCVC 13U-C (SO) (2),g13jcvbc2so
13 Club RH,3,Stars 13 Savannah (PM) (3),g13stars3pm
13 Club RH,3,Tempo 13 Black (PM) (4),g13tspvb1pm
13 Club RH,5,3s Up VBA 13-Raveen (PM) (5),g13tupvb1pm
13 Club RH,6,SCWE13 KENDAHL (PM) (6),g13scwea1pm
13 Club RH,7,JCVC 13U-J (SO) (7),g13jcvbc1so
13 Club RH,8,Top Flight SC 13 Eagle (PM) (8),g13topfl2pm
13 Club RH,9,Carolina Sky 13U (PM) (9),g13crsky1pm
13 Club RH,9,SRS 13 Blue (PM) (10),g13srsvc1pm
13 Club RH,11,Oconee Rush 13-1 (PM) (11),g13ocrus1pm
13 Club RH,11,Oconee Rush 13-2 (PM) (12),g13ocrus2pm
13 Club RH,13,EDVC 13U Travel L (CR) (14),g13ednvr1cr
13 Club RH,13,MVA 13-1 (PM) (13),g13mvasc1pm
