12 Club,1,SE Crossfire 12U National (GW),g12secsf1gw
12 Club,2,EU U12-Black (HO),g12euvba1ho
12 Club,3,A3 12X (SO),g12atvtn1so
12 Club,3,BVC 12 Regional Carly (SO),g12bvcal1so
12 Club,5,BRAVO 12 Red (PR),g12bravo2pr
12 Club,5,TPV 12-Eagles (SO),g12tnpfc1so
12 Club,7,EU U12-Platinum (HO),g12euvba2ho
12 Club,7,M1 12 Blue (SO),g12mlvbc1so
12 Club,9,BVC 12 Regional Lilly (SO),g12bvcal2so
12 Club,10,SKEVA 12 Orange (PR),g12skeva2pr
12 Club,11,Innerlight VC 12 BLUE (SO),g12inner1so
12 Club,12,EU U12-Silver (HO),g12euvba3ho
12 Club,13,UPtime 12-1 (SO),g12uptme1so
12 Club,15,Alliance 11 REN (SO),g11allvb1so
13 Club,1,BVC 13 National Haven (SO),g13bvcal1so
13 Club,2,A3 13X (SO),g13atvtn1so
13 Club,3,C2 13-1 Regional Blue Meg (SO),g13cavbc1so
13 Club,4,Alliance 13 Premier (SO),g13allvb3so
13 Club,4,Club Unite 13 Knox Blue (SO),g13unite1so
13 Club,4,JTown Juniors 13-Black (DE),g13jtown1de
13 Club,7,Arkansas Jrs. Storm 13-1 (DE),g13ajorm1de
13 Club,8,BVC 13 Regional Naomi (SO),g13bvcal2so
13 Club,8,TPV 13-Yankee (SO),g13tnpfc2so
13 Club,10,EU U13-Silver (HO),g13euvba3ho
13 Club,11,EU U13-Platinum (HO),g13euvba2ho
13 Club,11,KPV 13 Blue (PR),g13kypvb1pr
13 Club,13,EU U13-Ruby (HO),g13euvba4ho
13 Club,13,Innerlight VC 13 BLUE (SO),g13inner2so
13 Club,15,ALJRS 13 American (SO),g13aljrs2so
13 Club,15,Innerlight VC 13 GOLD (SO),g13inner1so
13 Club,17,EU U13 Emerald (HO),g13euvba5ho
13 Club,17,M1 13 Blue (SO),g13mlvbc1so
14 Club,1,C2 14-1 Regional Blue Ami (SO),g14cavbc1so
14 Club,2,Blue Crab 14 Ally 2025 (BY),g14bcrab1by
14 Club,3,TPV 14-Yankee (SO),g14tnpfc2so
14 Club,4,M1 14 Silver (SO),g14mlvbc2so
14 Club,5,ALJRS 14  American (SO),g14aljrs2so
14 Club,5,Alliance14 Premier (SO),g14allvb3so
14 Club,7,A3 14X (SO),g14atvtn1so
14 Club,8,C2 14-6 Reg Blue Brooke (SO),g14cavbc6so
14 Club,8,Club Unite 14 Knox Blue (SO),g14unite2so
14 Club,8,UPtime 14-Black (SO),g14uptme1so
14 Club,11,BVC 14 National Angie (SO),g14bvcal2so
14 Club,11,RCVC 14 Black (SO),g14rchvc1so
14 Club,11,TPV 14-Tango (SO),g14tnpfc3so
14 Club,14,Alliance 14 Reg Local (SO),g14allvb5so
14 Club,14,Club Unite 14 Knox Yellow (SO),g14unite3so
14 Club,16,AZ Kings 14 Platinum (AZ),g14ecacd2az
14 Club,16,JTown Juniors 14-Black (DE),g14jtown1de
14 Club,16,M1 14 White (SO),g14mlvbc3so
14 Club,19,EU U14 Teal (HO),g14euvba7ho
14 Club,19,EU U14-Ruby (HO),g14euvba4ho
14 Club,19,EU U14-Sapphire (HO),g14euvba6ho
14 Open,1,BVC 14 National Drennan (SO),g14bvcal1so
14 Open,2,Mem Metro 14 Elite Blk (DE),g14mmjvb1de
14 Open,3,ALJRS 14 National (SO),g14aljrs1so
14 Open,3,AZ Kings 14 National (AZ),g14ecacd1az
14 Open,5,gc vbc 14-1 (OV),g14gcinc1ov
14 Open,5,WE 14 Red (SO),g14wevbc1so
14 Open,7,C2 14-2 Reg Orange Abi (SO),g14cavbc2so
14 Open,7,M1 14 Blue (SO),g14mlvbc1so
14 Open,9,Stingray VBA 14 Adidas (OK),g14stray1ok
14 Open,9,UPtime 14-Yellow (SO),g14uptme2so
14 Open,11,TPV 13-Zulu (SO),g13tnpfc1so
14 Open,11,TPV 14-Foxtrot (SO),g14tnpfc4so
14 Open,13,EU U14-Silver (HO),g14euvba3ho
14 Open,13,PU5H 14 Purple (PR),g14puhvb2pr
14 Open,15,EU U14-Emerald (HO),g14euvba5ho
14 Open,15,Innerlight VC 14 BLUE (SO),g14inner2so
15 Club,1,Arkansas Jrs. Storm 15-1 (DE),g15ajorm1de
15 Club,2,Mem Metro 15 Elite Blk (DE),g15mmjvb1de
15 Club,3,InfinitySouth 15-1 (BY),g15insou1by
15 Club,4,A3 15X (SO),g15atvtn1so
15 Club,4,CCJ 15-1 (BY),g15ccity1by
15 Club,4,Stingray VBA 15 Adidas (OK),g15stray1ok
15 Club,7,TPV 14-Zulu (SO),g14tnpfc1so
15 Club,8,C2 15-2 Nationals Jess (SO),g15cavbc2so
15 Club,8,Club Unite 15 Knox Blue (SO),g15unite3so
15 Club,10,Club Unite 15 LW National (SO),g15unite2so
15 Club,11,BVC 15 National Chris (SO),g15bvcal2so
15 Club,11,M1 15 Silver (SO),g15mlvbc2so
15 Club,13,Innerlight VC 14 GOLD (SO),g14inner1so
15 Club,13,LIV 15 Adidas (BY),g15ignit1by
15 Club,15,PU5H VBC 15 Purple (PR),g14puhvb1pr
15 Club,15,Tsunami N152N Allison (SO),g15tsuna15so
15 Club,17,Alliance 15 Local (SO),g15allvb8so
15 Club,17,EU U15-Ruby (HO),g15euvba4ho
