11 National,1,Dynasty 11 Black,g11tmdyn1ha
11 National,2,MADFROG 11 NATIONAL GREEN,g11frogs1nt
11 National,3,MAVS KC 11 Elite,g11mavbc1ha
11 National,3,Skyline 11 Royal,g11skyln1nt
11 National,5,PVA 11 Elite,g11pvakc1ha
11 National,5,Premier Nebraska 11 Gold,g11premr1gp
11 National,7,Nebraska ONE 11  Boom,g11neone1gp
11 National,8,SG ELITE 11 Roshambo,g11sgelt1sc
11 National,9,Mizuno Northern Lights 11-1,g11nlite1no
11 National,9,KC Power 11 Mendenhall,g11power1ha
11 National,11,Nebraska Elite 11 Purple Stars,g11elite1gp
11 National,11,TX LEGACY 11 ELITE,g11tlgcy1ls
11 National,13,Arete 11 Navy Telos,g11arete1nt
11 National,14,Premier Nebraska 11 Black,g11premr2gp
11 National,15,MN Select 11-1,g11mnsel1no
11 National,15,Iowa United 111 Elite,g11iautd1ia
11 National,17,TX432 11 Black,g11txftt1su
11 National,18,Mizuno Northern Lights 10-1,g10nlite1no
11 National,19,TEJAS 11 Black Josh,g11tejas1nt
11 National,19,Mizuno Northern Lights 11-2,g11nlite2no
12 American,1,LV 12 Team Rox,g12laver1ls
12 American,2,Nebraska ONE 12 Thunder,g12neone1gp
12 American,3,Dynasty 12 Blue,g12tmdyn2ha
12 American,3,Heat 12 Red,g12heava1ls
12 American,5,CVA 12U-Carlson,g12centl1ia
12 American,5,Premier Nebraska 12 Red,g12premr3gp
12 American,5,TX LEGACY 12 ELITE,g12tlgcy1ls
12 American,5,South Central NE 12 Black,g12socen1gp
12 American,9,PowerPlex 12U Aspinwall,g12pwrpx1ia
12 American,9,ATHENAVB 12 Gold,g12athen1ce
12 American,11,KC Power 12 Corneliusen,g12power2ha
12 American,12,EXCEL 12 National Blue,g12excel3nt
12 American,13,Nebraska Elite 12 Mamba,g12elite2gp
12 American,13,CVA 12 Black,g12cvata1rm
12 American,15,Iowa United 121 Elite,g12iautd1ia
12 American,16,MKE Sting 12 Black,g12mlwst2bg
12 American,17,305VBC 12N Alan,g12three1fl
12 American,18,DCVC 12U National,g12dwlng1ia
12 American,18,Iowa United 122 Elite,g12iautd2ia
12 American,20,Premier Nebraska 12 Silver,g12premr4gp
12 American,21,Mizuno Northern Lights 12-2,g12nlite2no
12 American,22,Club Legacy 12 Alpha,g12lgacy1gp
12 American,23,Momentum 12 Reven,g12momen1rm
12 American,23,AVC 12-1,g12alxvb1no
12 American,25,TEJAS 12 Black Abbey,g12tejas2nt
12 American,26,MAVS KC 12 Premier,g12mavbc3ha
12 American,27,Kairos 12 Gamma,g12kairo3no
12 American,28,TX LEGACY 12 ADIDAS,g12tlgcy2ls
12 American,28,Vital 12-1 Gold,g12vital1no
12 American,30,Dallas Premier 12 Black,g12premr1nt
12 American,31,Mizuno Northern Lights 12-B,g12nlite3no
12 American,32,MN Select 12-2,g12mnsel2no
12 American,33,1W Bay 12 National,g12onewi1bg
12 American,33,Club Legacy 12 Charlie,g12lgacy3gp
12 American,35,Victory 12 Elite Green,g12vctry2nt
12 American,36,Kairos 12 Delta,g12kairo4no
12 American,37,Volt 12 Open,g12wfrgo1no
12 American,38,FC Elite 12 Navy,g12fceli1bg
12 American,38,Volt 12 Regional,g12wfrgo2no
12 American,40,Mizuno M1 121,g12m1vbc1no
12 National,1,AP 12 adidas,g12aperf1ls
12 National,2,Excel 12 National Red,g12excel1nt
12 National,3,MAVS KC 12 Elite,g12mavbc1ha
12 National,4,TAV 12 Black,g12txadv1nt
12 National,5,Premier Nebraska 12 Gold,g12premr1gp
12 National,6,MKE Sting 12 Gold,g12mlwst1bg
12 National,7,Mizuno Northern Lights 12-1,g12nlite1no
12 National,8,MAVS KC 12 National,g12mavbc2ha
12 National,9,Kairos 12 Alpha,g12kairo1no
12 USA,1,OP2 12-1 EP,g12op2vb1ok
12 USA,2,Arete 12 Navy Telos,g12arete1nt
12 USA,3,Houston Skyline 12 Royal,g12hosky1ls
12 USA,4,PVA 12 ELITE,g12pvakc1ha
12 USA,5,SA Juniors 12 Adidas,g12sajvb1ls
12 USA,5,KC Power 12 Martincich,g12power1ha
12 USA,7,Invasion 12-White,g12invas3ha
12 USA,8,1United 12N White,g121unvb2nt
12 USA,9,Pohaku 12-1,g12pohak1ha
12 USA,9,TX432 12 Black,g12txftt1su
12 USA,11,TX STORM 12 SMACK,g12txsva1su
12 USA,11,HJV 12 Elite,g12houjr1ls
12 USA,13,TEJAS 12 Black Mauro,g12tejas1nt
12 USA,14,Premier Nebraska 12 Black,g12premr2gp
