13 Open,1,Skyline 13 Royal,g13skyln1nt
13 Open,2,MADFROG 13 NATIONAL GREEN,g13frogs1nt
13 Open,3,WAVE 13 Tammy,g13wvevb1sc
13 Open,4,Arizona Storm 13 Thunder,g13storm1az
13 Open,5,1United 13N Blue,g131unvb1nt
13 Open,6,EXCEL 13N Red,g13excel1nt
13 Open,7,Sunshine 13 Westside Red,g13sunsh1sc
13 Open,8,Vision 13 Gold,g13vsion1nc
13 Open,9,FH 13 1 Toa,g13field1nt
13 Open,10,SG Elite 13 Roshambo,g13sgelt1sc
13 Open,11,AZ SKY 13 GOLD,g13azsky1az
13 Open,12,Club V 13 Black Corrie,g13clubv1im
13 Open,13,SCVC 13Roxy,g13scvbc1sc
13 Open,14,Tstreet IE 13-Taylor,g13tstie1sc
13 USA,1,PCVC 13 Nalu,g13pcstv1sc
13 USA,2,OMNI 13 National,g13omniv1nc
13 USA,4,Skyline 13 Black,g13skyln2nt
13 USA,4,COAST 13-Katie,g13coast1sc
13 USA,5,ID Crush 13 BETTIS,g13idcrs1im
13 USA,6,AZ EVJ 13 Elite,g13azevj1az
13 USA,7,TEJAS 13 Black Jeff,g13tejas1nt
13 USA,8,FORZA1 NORTH 13 ONE,g13forzn1sc
13 USA,9,Arizona Storm 13 Lightning,g13storm2az
13 USA,10,Tstreet 13-Carson,g13tstrt1sc
13 USA,11,FBK VBC 13 1,g13fbkvb1az
13 USA,12,Academy 13 National Luciana,g13acdvp1nc
13 USA,13,Ka Ulukoa 13 Tanya,g13kaulu1ah
13 USA,14,Tstreet LV 13-Britta,g13tstlv1sc
13 USA,15,Seal Beach 13-Black,g13sealb1sc
13 USA,16,San Clemente 13 Heidi,g13clmnt1sc
13 USA,17,Premier 13B Stevie,g13premr6nt
13 USA,18,VVA 13-Saldivar,g13vavbc1nc
13 USA,19,SASVBC G 13 BRYAN,g13spser1ah
13 USA,20,Momentous VBC 13 Alice,g13mmtsc1sc
13 USA,21,SF Elite VBC 13 Salazar,g13ltseu1nc
13 USA,22,Flyers 13 USA-Greta,g13frfly2nt
13 USA,23,FORZA1 13 ONE,g13forza1sc
13 USA,24,Vegas Aces 13 REN,g13vaces1sc
13 USA,25,Club OAHO 13 Black,g13oahov1sc
13 USA,26,Surfside 13 PV Legends,g13srfsd1sc
13 USA,27,Red Rock 13 Angela - RWC,g13rrock1nc
13 USA,28,Maunalani 13-Rise,g13mauna1ah
13 USA,29,Ignite 13 National AZ,g13ignit1az
13 USA,30,Oasis 13 Elite WV,g13vvcaz1az
13 USA,31,Aspire 13 Alpha,g13aspir1az
13 USA,32,NLVA 13 Adam,g13nxtlv1sc
13 USA,34,Top Flight Volleyball Academy 13 National Black,g13topfv1sc
13 Liberty,1,LIVEWIRE 13 Prime,g13livwr1az
13 Liberty,2,Tulsa Power 13 1,g13power1ok
13 Liberty,3,1United 13N White,g131unvb2nt
13 Liberty,4,LAVBC SURF-BLACK,g13lavbc1sc
13 Liberty,5,Club One AZ 13Platinum,g13onevb1az
13 Liberty,6,Surfside 13 MB Legends Tyler,g13srfsd2sc
13 Liberty,7,Minoi 13 Black,g13mnvbc1im
13 Liberty,8,ATOMIC 13 Smack Elite,g13atomc2az
13 Liberty,9,SoCal VBC 13-Beacons,g13socal1sc
13 Liberty,10,Vision 13 Blue,g13vsion2nc
13 Liberty,11,Omni 13N1,g13omniv1az
13 Liberty,12,MARIN 13 Black,g13marin1nc
13 Liberty,13,AZ REV 13 Elite,g13revol2az
13 Liberty,14,WAVE 13 Hannah,g13wvevb2sc
13 Liberty,15,Rancho 13 Premier,g13ranch1sc
13 Liberty,16,Victorium 13 UA,g13victr1az
13 Liberty,17,SC Legends 13-Elite,g13scleg1sc
13 Liberty,18,Summit 13 National Scott,g13dsumm1nt
13 Liberty,19,JET 13 Williams,g13jetvb1su
13 Liberty,20,Seal Beach 13-Blue,g13sealb2sc
13 Liberty,21,AZ SKY 13 BLUE,g13azsky2az
13 Liberty,22,ACT 13-Quon,g13actvb1sc
13 Liberty,23,AZ EVJ 13 Select,g13azevj2az
13 Liberty,24,COAST 13-Sean,g13coast2sc
13 Liberty,25,DIG VBC 13 Black,g13digvb1nt
13 Liberty,26,MPV 13 National Green,g13mtnpk1im
13 Liberty,27,SDVBC 13 Katie,g13sandi1sc
13 Liberty,28,UEPA 13D,g13untou1nt
13 Liberty,29,GSL 13 Elect Cache,g13clgsl1im
13 Liberty,30,ENCORE 13 Navy Wolfpack,g13encoe1nc
13 Liberty,31,Flyers 13 USA-Kevin,g13frfly3nt
13 Liberty,32,Vision 13 White,g13vsion3nc
13 Liberty,33,Avalanche 13-1 White,g13avala1az
13 Liberty,34,Pipeline 13-Adidas,g13plscv1sc
13 Liberty,35,Thrive 13 Gold,g13thrve1sc
13 Liberty,36,A4 Volley 13-Ashleigh,g13a4vol1sc
13 Liberty,37,OCVC G13 Billy,g13ocvbc1sc
13 Liberty,38,Club Cactus 13-Silver,g13ccjrs1az
13 Liberty,39,SVC Girls 13U,g13lsjvc1sc
13 Liberty,40,Dig This 13 Black,g13dgths1sc
13 Liberty,41,FIGSV 13 1,g13figsv1sc
13 Liberty,42,OMNI 13 Elite,g13omniv2nc
13 Liberty,43,APAC 13 Yoshi,g13apacv1su
13 Liberty,44,Diablo VBC 13 1,g13dvgvc1nc
13 Liberty,45,Vegas United G13 Black,g13vegas1sc
13 Liberty,46,SBVC 13s,g13sbarb1sc
13 Liberty,47,PacWest 13-Billie,g13pwest1sc
13 Liberty,48,Nexus 13 1,g13nexus1az
13 Liberty,49,OMNI 13 Power,g13omniv3nc
13 Liberty,50,Pipeline 13-Ultra,g13plscv2sc
13 Liberty,52,Vegas VolleyStars 13 1,g13vstrs1sc
13 Liberty,51,Oasis 13 National NV,g13vvcaz4az
13 Liberty,53,Athena 13-Christian,g13aaavc1sc
13 Liberty,54,OYA 13's Mo,g13outya2sc
13 Liberty,55,OYA 13's Prime,g13outya1sc
13 Liberty,56,Red Rock 13 Tennessee - Campbell,g13rrock4nc
13 American,1,Next Level 13 Naupaka,g13nlvbc1sc
13 American,2,APEX1 13BLACK,g13apex11sc
13 American,3,NLVC13National,g13nextl1su
13 American,4,BRUSA 13 Ana,g13brusa1sc
13 American,5,SASVBC G 13 TENAYA,g13spser2ah
13 American,6,Dime 13-Premier,g13dimev1sc
13 American,7,Prime 13 adidas,g13prime1sc
13 American,8,DARTFROG 13 Black,g13dfrog1sc
13 American,9,MADFROG 13 ELITE GREEN,g13frogs4nt
13 American,10,Frisco Bay 13 1,g13frisc1nc
13 American,11,SG Elite 13 Elite,g13sgelt3sc
13 American,12,Academy 13 HP Mark,g13acdvp3nc
13 American,13,SADDLEBACK 13-Mike,g13saddl1sc
13 American,14,IconVBC 13 Adidas,g13iconm1sc
13 American,15,LJV 13 1,g13lrdjv1ls
13 American,16,LAVA West 13 Molten,g13lavaw1sc
13 American,17,C2 Sports 13 Crown,g13crown1sc
13 American,18,WF Elite 13 Black,g13wfelt1nt
13 American,19,Boltz 13U DesertAces,g13lbolt1az
