12 Club,1,HOV 12 Red (OD),g12hovjr1od
12 Club,2,ARVC 12 Black (CR),g12albmr2cr
12 Club,3,757 12 Black (OD),g12tvanp1od
12 Club,4,SERV 12 Impact (OD),g12serva2od
12 Club,5,Next Rev VB 12 Black (OD),g12nrvjr1od
12 Club,6,RVC 12 Ken (OD),g12rvcjr2od
12 Club,7,RVC 12 Bianca (OD),g12rvcjr1od
12 Club,8,PVA 12 Blue (OD),g12peake1od
13 Club,1,ARVC 13 Orange (CR),g13albmr1cr
13 Club,2,757 13 Black (OD),g13tvanp1od
13 Club,3,SVC 13-1 (OD),g13south1od
13 Club,4,ARVC 13 Black (CR),g13albmr2cr
13 Club,5,CHR 13 Hybrid (OD),g13chrvb1od
13 Club,5,Valley Juniors 13 Black (OD),g13vjvbc1od
13 Club,7,CAVC 13 Power (OD),g13cavcx1od
13 Club,7,HOV 13 Red (OD),g13hovjr1od
13 Club,9,RVC 13 Zonal (OD),g13rvcjr1od
13 Club,10,OBX WAVE 13 (OD),g13obxvb1od
13 Club,11,RVC 13 State (OD),g13rvcjr2od
13 Club,12,Edge 13 Green (OD),g13edgvbaod
13 Club,13,757 13 Teal (OD),g13tvanp2od
13 Club,14,RVA Girls 13U (CH),g13rcvba1ch
13 Club,15,757 13R Teal Hannah (OD),g13tvanp4od
13 Club,16,Next Rev VB 13 Royal (OD),g13nrvjr2od
13 Club,17,SERV 13 Power (OD),g13serva3od
13 Club,18,757 13R Black Grace (OD),g13tvanp3od
13 Club,19,CITIES 13-Johnae (OD),g13citvb1od
14 Boys,1,VV 14-1B (CH),b14g16vv1ch
14 Boys,2,RCVA 14 East Coast (OD),b14rcvba1od
14 Boys,3,LV Force VB 14 Red Boys (KE),b14lvfor1ke
14 Boys,4,MDJRS 14 Boys Black (CH),b14mdjrs1ch
14 Boys,5,Coastal 14 Mario (OD),b14tvanp1od
14 Boys,6,RCVA Boys 14 EC Blue (OD),b14rcvba2od
14 Boys,7,OVC 14 Neptune (OD),b14ocean1od
14 Boys,8,Va Wave 14 Jaws (OD),b14vawav1od
14 Boys,9,The St. James Boys 14 W (CH),b14stjam2ch
14 Boys,10,VIBE 14 (OD),b14vibev1od
14 Boys,11,Coastal 14 Riley (OD),b14tvanp2od
14 Club,1,CHR 14 National (OD),g14chrvb1od
14 Club,2,Firecrackers 14 Red (CR),g14fcvbc1cr
14 Club,3,SERV 14 Select (OD),g14serva1od
14 Club,4,SMCJV 14U BLUE (CH),g14smcjr1ch
14 Club,5,HOV 14 Red (OD),g14hovjr2od
14 Club,5,Next Rev VB 14 Royal (OD),g14nrvjr2od
14 Club,7,Roanoke United 14 White (OD),g14ruvjr2od
14 Club,7,SERV 14 Impact (OD),g14serva2od
14 Club,9,CAVC 14 Power White (OD),g14cavcx2od
14 Club,10,RVA Girls 14U (CH),g14rcvba1ch
14 Club,11,14U SHENANDOAH SURGE WV (CH),g14surge1ch
14 Club,12,757 14R Silver Khai (OD),g14tvanp5od
14 Club,13,CITIES 14-Jordan (OD),g14citvb1od
14 Club,13,RVC 14 State (OD),g14rvcjr3od
14 Club,15,CAVC 14 Power Black (OD),g14cavcx1od
14 Club,15,DMV Academy 14 Blue (CH),g14dmvvb1ch
14 Club,17,757 14R Coral Maddi (OD),g14tvanp6od
14 Club,17,Edge 14 Green (OD),g14edgvb1od
14 Club,19,RCVA 14 Girls VA (OD),g14rcvba3od
14 Club,20,757 14R Teal MK (OD),g14tvanp4od
15 Club,1,PVA 15 Blue (OD),g15peake1od
15 Club,2,SERV 15 Select (OD),g15serva1od
15 Club,3,ARVC 15 Black (CR),g15albmr2cr
15 Club,4,Firecrackers 15 Red (CR),g15fcvbc1cr
15 Club,5,CHR 15 National (OD),g15chrvb1od
15 Club,6,CAVC 15 Power Black (OD),g15cavcx2od
15 Club,7,Next Rev VB 15 Royal (OD),g15nrvjr2od
15 Club,8,SERV 15 Power (OD),g15serva3od
15 Club,9,CITIES 15-Rikki (OD),g15citvb1od
15 Club,10,HOV 15 Red (OD),g15hovjr3od
15 Club,11,RCVA 15 Girls VA (OD),g15rcvba3od
15 Club,12,OBX WAVE 15 BLUE (OD),g15obxvb2od
15 Club,13,Edge 15 Green (OD),g15edgvb1od
15 Club,14,ARVC 15 White (CR),g15albmr3cr
15 Club,15,757 15R Black Eric (OD),g15tvanp5od
15 Club,15,NVC 15-1 (OD),g15norvc1od
15 Club,17,Next Rev VB 15 Amethyst (OD),g15nrvjr3od
15 Club,18,CAVC 15 Power White (OD),g15cavcx3od
15 Club,19,RVC 15 State (OD),g15rvcjr3od
15 Club,20,RCVA 15 Girls VA Blue (OD),g15rcvba4od
15 Club,21,EVA 15 Regency (CH),g15emvbc1ch
15 Club,22,CHR 15 Regional (OD),g15chrvb2od
15 Club,23,CITIES 15-Imani (OD),g15citvb2od
15 Club,24,757 14R Black Rachel (OD),g14tvanp3od
16 Boys ,1,RCVA 15 National (OD),b15rcvba1od
16 Boys ,2,Powrhaus 16 West (CR),b16phaus1cr
16 Boys ,3,RCVA 16 East Coast (OD),b16rcvba2od
16 Boys ,3,SERV 16 Beast (OD),b16serva1od
16 Boys ,5,OVC 15 Neptune (OD),b15ocean1od
16 Boys ,5,OVC 16 Neptune (OD),b16ocean1od
16 Boys ,5,RCVA 16 National (OD),b16rcvba1od
16 Boys ,5,The St. James Boys 16W (CH),b16stjam2ch
16 Boys ,9,BVC Boom (CH),b16brndy1ch
16 Boys ,9,MDJRS 16 Boys Yellow (CH),b16mdjrs2ch
16 Boys ,11,Powrhaus 16 East (CR),b16phaus2cr
16 Boys ,11,RCVA 15 East Coast (OD),b15rcvba2od
16 Boys ,1,Battle 16 Black (CH),b16btvbc1ch
16 Boys ,2,Coastal 16 Isa (OD),b16tvanp2od
16 Boys ,3,The St. James Boys 15W (CH),b15stjam2ch
16 Boys ,3,VV 15-1B (CH),b15g16vv1ch
16 Boys ,5,Battle 15 Black (CH),b15btvbc1ch
16 Boys ,5,RVC 15 Boys Travel (OD),b15rvcjr1od
16 Boys ,7,RVA Boys 15/16 Nazca Blue (CH),b16rcvba1ch
16 Boys ,7,RVC 16 Boys Regional (OD),b16rvcjr2od
16 Boys ,9,Va Wave 16 Jaws (OD),b16vawav1od
16 Boys ,10,RCVA 16 EC Blue (OD),b16rcvba3od
16 Boys ,11,DMV Academy U16/15 Boys (CH),b16dmvvb1ch
16 Boys ,12,Coastal 15 Jamie (OD),b15tvanp2od
16 Boys ,13,OVC 16 Tsunami (OD),b16ocean2od
16 Boys ,14,Coastal 16 Tabyus (OD),b16tvanp3od
16 Club,1,CHR 16 National (OD),g16chrvb1od
16 Club,2,Firecrackers 16 Red (CR),g16fcvbc1cr
16 Club,3,EVA 16 Dynasty (CH),g16emvbc1ch
16 Club,4,Next Rev VB 16 Black (OD),g16nrvjr1od
16 Club,5,757 15 Silver (OD),g15tvanp3od
16 Club,6,Outbreak 15 Black (OD),g15outvb1od
16 Club,7,SERV 16 Impact (OD),g16serva2od
16 Club,8,757 15 Coral (OD),g15tvanp4od
16 Club,9,CHR 16 Regional (OD),g16chrvb2od
16 Club,9,RVC 16 State (OD),g16rvcjr3od
16 Club,11,CITIES 16-Nick (OD),g16citvb1od
16 Club,11,Next Rev VB 16 Royal (OD),g16nrvjr2od
16 Club,13,Edge 16 Green (OD),g16edgvb1od
16 Club,14,CAVC 16 Power White (OD),g16cavcx3od
16 Club,15,CAVC 16 Power Black (OD),g16cavcx2od
16 Club,16,Outbreak 16 Blue (OD),g16outvb2od
16 Club,17,DMV Academy 16 Blue (CH),g16dmvvb1ch
16 Club,18,757 16R Silver Sarah (OD),g16tvanp7od
16 Club,19,RCVA GIRLS 16 VA (OD),g16rcvba3od
16 Club,20,757 16R Teal Lexie (OD),g16tvanp6od
