10-11 Girls,1,LA6 11U (BY),g11lasix1by
10-11 Girls,2,Calcasieu Impact 11 (BY),g11calvb1by
10-11 Girls,3,CE LC Lite 10 Jade (BY),g10cajel4by
10-11 Girls,4,Cajun Elite LC 10s Katie (BY),g10cajel2by
12 Girls,1,LVL 12 Abby (BY),g12lavbc1by
12 Girls,2,Rice City 12 RED (BY),g12ricev1by
12 Girls,3,Allons U12 Caroline (BY),g12allvb2by
12 Girls,3,Southland 12 Black (BY),g12slvbc1by
12 Girls,5,CE LC LITE 12 Erica (BY),g12cajel11by
12 Girls,5,LVL 12 Lassen (BY),g12lavbc2by
12 Girls,7,Allons U12 Lea (BY),g12allvb3by
12 Girls,7,Cajun Elite 12 Dani (BY),g12cajel2by
12 Girls,9,Allons U12 Celia (BY),g12allvb1by
12 Girls,10,AJ 12's NAVY (BY),g12acadi2by
12 Girls,11,Rice City 12 BLUE (BY),g12ricev2by
12 Girls,12,TVW 12u- Legends (BY),g12laleg1by
12 Girls,13,Calcasieu Impact 12 (BY),g12calvb1by
12 Girls,14,LVL 12 Heather (BY),g12lavbc3by
12 Girls,15,CE JNG LITE 12s (BY),g12cajel15by
12 Girls,16,Southland 12 White (BY),g12slvbc3by
12 Girls,17,CE LC LITE 12 Andie (BY),g12cajel14by
12 Girls,18,Cajun Elite 12 Caroline (BY),g12cajel3by
12 Girls,19,CE LC LITE 12 Julia (BY),g12cajel13by
12 Girls,20,Southland 12 Red (BY),g12slvbc2by
13 Girls,1,Calcasieu Impact 13 (BY),g13calvb1by
13 Girls,2,Southland 13 Black (BY),g13slvbc1by
13 Girls,3,Allons U13 Tish (BY),g13allvb1by
13 Girls,3,LVL 13 Erin (BY),g13lavbc1by
13 Girls,5,Cajun Elite 13 Caroline M (BY),g13cajel3by
13 Girls,5,Rice City 13 RED (BY),g13ricev1by
13 Girls,7,InfinitySouth 13-1 (BY),g13insou1by
13 Girls,7,LA6 13U Taylor (BY),g13lasix2by
13 Girls,9,LVL 13 Avery (BY),g13lavbc4by
13 Girls,10,MAVERICKS 13U EMILY (BY),g13mavvc6by
13 Girls,11,Cajun Elite 13 Morgan (BY),g13cajel4by
13 Girls,12,Allons U13 Rebecca (BY),g13allvb2by
13 Girls,13,Emerge 13-BLACK (BY),g13emerg2by
13 Girls,14,TVW 13u (BY),g13laleg1by
13 Girls,15,Rice City 13 BLUE (BY),g13ricev2by
13 Girls,16,Cajun Elite 13 Alaina (BY),g13cajel5by
13 Girls,17,CE LC LITE 13 Shaleigh (BY),g13cajel8by
13 Girls,18,CE JNG LITE 13s (BY),g13cajel10by
13 Girls,19,Cajun Elite 13s Alyssa (BY),g13cajel6by
13 Girls,20,CE LC LITE 13  Luisa (BY),g13cajel9by
14 Girls,1,RISE 14 ELISE (BY),g14trrvc2by
14 Girls,2,Calcasieu Impact 14 (BY),g14calvb1by
14 Girls,3,LA6 14U Teri (BY),g14lasix1by
14 Girls,3,LVL 14 Victoria (BY),g14lavbc2by
14 Girls,5,Allons U14 Jessica (BY),g14allvb1by
14 Girls,5,InfinitySouth 14-1 (BY),g14insou1by
14 Girls,7,Cajun Elite 14 Gracie (BY),g14cajel6by
14 Girls,7,LA6 14U Jamie (BY),g14lasix2by
14 Girls,9,Salty 14s (LS),g14salty1ls
14 Girls,10,Allons U14 Darrien (BY),g14allvb2by
14 Girls,11,LA6 14U Taylor M. (BY),g14lasix3by
14 Girls,12,MAVERICKS 14U KAITLYN (BY),g14mavvc4by
14 Girls,13,Aces 14-1 (BY),g14i10vb1by
14 Girls,14,Southland 14 Black (BY),g14slvbc1by
14 Girls,15,Cajun Elite 14 Emily M. (BY),g14cajel5by
14 Girls,16,Rice City 14 RED (BY),g14ricev1by
14 Girls,17,CE LC LITE 14  Ally (BY),g14cajel12by
14 Girls,18,Aces 14-2 (BY),g14i10vb2by
14 Girls,19,Rice City 14 BLUE (BY),g14ricev2by
14 Girls,20,CE LC LITE 14 Kimaya (BY),g14cajel13by
15 Girls,1,Cajun Elite LC 15 Shannon (BY),g15cajel7by
15 Girls,2,MAVERICKS 15U MEGAN (BY),g15mavvc5by
15 Girls,3,Allons U15 Key (BY),g15allvb1by
15 Girls,4,Cajun Elite 15s Reggi (BY),g15cajel4by
15 Girls,5,Aces 15-1 (BY),g15i10vb1by
15 Girls,6,Southland 15 Black (BY),g15slvbc1by
15 Girls,7,Cajun Elite 15-5 Shiya (BY),g15cajel5by
15 Girls,8,MAVERICKS 15U ASHLIE (BY),g15mavvc7by
16 Girls,1,Cajun Elite 16s Laura (BY),g16cajel3by
16 Girls,2,Allons U16 Renada (BY),g15allvb2by
16 Girls,3,MAVERICKS 16U ZHANIECE (BY),g16mavvc3by
16 Girls,4,Inspire 16u Purple (BY),g16spire2by
16 Girls,5,CE LC LITE 16 Kayla (BY),g16cajel6by
16 Girls,6,CE LFT Lite 16 Camille (BY),g16cajel5by
16 Girls,7,CE JNG LITE 16s (BY),g16cajel7by
16 Girls,8,CE LFT Lite 16 Mia (BY),g16cajel4by
17/18 Girls,1,MAVERICKS 17U NICOLE (BY),g17mavvc2by
17/18 Girls,2,NOVA 17-1 (BY),g17novba1by
17/18 Girls,3,Allons U17 Summer (BY),g17allvb1by
17/18 Girls,4,CE LFT Lite 17 Morgan (BY),g17cajel5by
17/18 Girls,5,Cajun Elite LC 18s Lexi (BY),g18cajel2by
17/18 Girls,6,F2B 17/18U (BY),g17feet21by
17/18 Girls,7,CE JNG LITE 17s (BY),g17cajel6by
17/18 Girls,8,CE LFT Lite 17 Elena (BY),g17cajel4by
