13 OPEN,1,M2 Volleyball 13E1 (SO) (1),g13mtwov1so
13 OPEN,2,K2 13 Elite (SO) (2),g13ktvbc1so
13 OPEN,3,A5 Chattanooga 131 Jennif (SO) (4),g13afive9so
13 OPEN,3,Rio 13-1E Joe (SO) (3),g13riovc1so
13 OPEN,5,A3 13X (SO) (6),g13atvtn1so
13 OPEN,5,MIDTN 13 BLACK (SO) (5),g13midtn1so
13 OPEN,7,A5 Chattanooga 12-1 Rhea (SO) (7),g12afive10so
13 OPEN,7,Rhythm 132 (SO) (8),g13rhvbc2so
13 OPEN,9,K2 12 Rainhas (SO) (11),g12ktvbc1so
13 OPEN,10,Innerlight VC 13 GOLD (SO) (12),g13inner1so
13 OPEN,11,Iron 13 Black (SO) (9),g13ironv1so
13 OPEN,12,Caswell Quest 13 (CR) (10),g13caswl1cr
13 OPEN,13,Rhythm 131 (SO) (13),g13rhvbc1so
13 OPEN,14,C4 12-1 HANNAH (SO) (14),g12cfour1so
13 OPEN,15,MCVC 13-1 (CR) (15),g13mtncr1cr
14 OPEN,1,M2 Volleyball 14E1 (SO) (1),g14mtwov1so
14 OPEN,2,Rhythm 142 (SO) (2),g14rhvbc2so
14 OPEN,3,Rio 14E Rafa (SO) (4),g14riovc1so
14 OPEN,3,TFVC 14-1 (SO) (3),g14tfvbc1so
14 OPEN,5,Ethos 14 Elite (SO) (5),g14ethos1so
14 OPEN,5,Roanoke United 14 Red (OD) (6),g14ruvjr1od
14 OPEN,7,A5 Chattanooga 141 Cobi (SO) (7),g14afive8so
14 OPEN,7,MIDTN 14 BLACK (SO) (8),g14midtn1so
14 OPEN,9,A3 14X (SO) (9),g14atvtn1so
14 OPEN,10,I.C. Stars 14 Alexis (CR) (10),g14icstr1cr
14 OPEN,11,Vortex Alfie 14-1 (SO) (11),g14vrtex1so
14 OPEN,12,SC Midlands 14 National R (PM) (12),g14scmid1pm
14 OPEN,13,Piedmont VBC 14 Mamba (CR) (13),g14piedm1cr
14 OPEN,13,RVJ 14 Nationals (OD) (14),g14rvjrs2od
14 OPEN,15,Vortex Sherry 14-2 (SO) (15),g14vrtex2so
14 OPEN,16,M1 14 Blue (SO) (16),g14mlvbc1so
14 OPEN,17,Innerlight VC 14 GOLD (SO) (17),g14inner1so
14 OPEN,18,A5 South 14-Tori (SO) (18),g14afive7so
14 OPEN,18,PCVBC 14  Day (OV) (19),g14pchrg1ov
14 OPEN,20,Piedmont VBC 14 NIKE (CR) (20),g14piedm2cr
15 OPEN,1,ARMOR 15 Lima (PM) (1),g15armor1pm
15 OPEN,2,K2 15 Elite (SO) (2),g15ktvbc1so
15 OPEN,3,CUVC 15 National Josef (CR) (4),g15carun3cr
15 OPEN,3,Piedmont VBC 15 GATA (CR) (3),g15piedm1cr
15 OPEN,5,CSVC 15 Black (CR) (5),g15cslct1cr
15 OPEN,5,CUVC 15 National Kat (CR) (8),g15carun4cr
15 OPEN,5,Ethos 15 Elite (SO) (6),g15ethos1so
15 OPEN,5,Piedmont VBC 15 NIKE (CR) (7),g15piedm2cr
15 OPEN,9,Innerlight VC 15 GOLD (SO) (9),g15inner1so
15 OPEN,10,A3 15X (SO) (10),g15atvtn1so
15 OPEN,11,I.C. Stars 15 Mark (CR) (11),g15icstr1cr
15 OPEN,11,K2 14 Elite (SO) (12),g14ktvbc1so
15 OPEN,13,NASA 151 Kris (SO) (13),g15nasav1so
15 OPEN,13,Rhythm 152 (SO) (14),g15rhvbc2so
15 OPEN,15,A5 Chattanooga 151 Mary (SO) (15),g15afive8so
15 OPEN,16,HRVC 15 national Green (CR) (16),g15hrock1cr
15 OPEN,17,MIDTN 15 BLACK (SO) (17),g15midtn1so
15 OPEN,17,SC Midlands 15 National R (PM) (18),g15scmid1pm
15 OPEN,19,M1 15 Blue (SO) (20),g15mlvbc1so
15 OPEN,19,PVA 15 National (PM) (19),g15pride1pm
15 OPEN,21,Roanoke United 15 Red (OD) (22),g15ruvjr1od
15 OPEN,21,Vortex Austin 15-1 (SO) (21),g15vrtex1so
15 OPEN,23,ARMOR 15 Tango (PM) (23),g15armor2pm
15 OPEN,24,OptimalVBC 15-1 (SO) (24),g15optim1so
15 OPEN,25,NGSA 15-1 Erin (SO) (25),g15ngasa1so
15 OPEN,26,Vortex S&E 15-2 (SO) (26),g15vrtex2so
16 OPEN,1,M2 Volleyball 16E1 (SO) (1),g16mtwov1so
16 OPEN,2,K2 16 Elite (SO) (2),g16ktvbc1so
16 OPEN,3,A5 Chattanooga 161 Nancy (SO) (4),g16afive8so
16 OPEN,3,Tsunami S161E Dun (SO) (3),g16tsuna1so
16 OPEN,5,CSVC 16 Black (CR) (6),g16cslct1cr
16 OPEN,5,SC Midlands 16 National R (PM) (5),g16scmid1pm
16 OPEN,7,Roanoke United 16 Red (OD) (8),g16ruvjr1od
16 OPEN,7,Vortex Steve N. 16-1 (SO) (7),g16vrtex1so
16 OPEN,9,TFVC 16-1 (SO) (9),g16tfvbc1so
16 OPEN,10,ETE 16-1 (SO) (10),g16etekn1so
16 OPEN,11,Innerlight VC 16 GOLD (SO) (11),g16inner1so
16 OPEN,12,PVA 16 National (PM) (12),g16pride1pm
16 OPEN,13,M1 16 Blue (SO) (14),g16mlvbc1so
16 OPEN,13,Tsunami C161E (SO) (13),g16tsuna3so
16 OPEN,15,Rhythm 162 (SO) (15),g16rhvbc2so
16 OPEN,16,ARMOR 16 Delta (PM) (16),g16armor1pm
17 OPEN,1,Vortex Steve L. 17-1 (SO) (1),g17vrtex1so
17 OPEN,2,A5 173 Angel (SO) (2),g17afive3so
17 OPEN,3,M1 17 Blue (SO) (3),g17mlvbc1so
17 OPEN,3,Next Rev VB 17 Black (OD) (4),g17nrvjr1od
17 OPEN,5,Innerlight VC 17 GOLD (SO) (6),g17inner1so
17 OPEN,5,PVA 17 National (PM) (5),g17pride1pm
17 OPEN,7,A5 Chattanooga 171 Sarah (SO) (7),g17afive5so
17 OPEN,7,SC Midlands 17 National R (PM) (8),g17scmid1pm
17 OPEN,9,Tsunami  C171E Spider (SO) (9),g17tsuna3so
17 OPEN,10,ARMOR 17 Zulu (PM) (10),g17armor1pm
17 OPEN,11,HRVC 17 National Green (CR) (11),g17hrock1cr
17 OPEN,12,ETE 17s (SO) (12),g17etekn1so
17 OPEN,13,Atlanta Extreme 17 Jackie (SO) (14),g17atlxt1so
17 OPEN,13,M2 Volleyball 17E2 (SO) (13),g17mtwov2so
17 OPEN,15,MIDTN 17 BLACK (SO) (15),g17midtn1so
17 OPEN,16,Rhythm 172 (SO) (16),g17rhvbc2so
17 OPEN,17,C4 17-1 STEPHANIE (SO) (17),g17cfour1so
17 OPEN,18,MCVC 17-1 (CR) (19),g17mtncr1cr
17 OPEN,18,TFVC 17-1 (SO) (18),g17tfvbc1so
17 OPEN,20,Vortex Mike 17-2 (SO) (20),g17vrtex2so
18 OPEN,1,K2 18 Jota (SO) (1),g18ktvbc1so
18 OPEN,2,A5 Chattanooga 181 Cece (SO) (2),g18afive5so
18 OPEN,3,CUVC 18 Premier (CR) (3),g18carun2cr
18 OPEN,3,Stars 18 Kayla (PM) (4),g18stars2pm
18 OPEN,5,Carolina Rogue 18 Black (PM) (5),g18rogue1pm
18 OPEN,5,CUVC 18 Open (CR) (6),g18carun1cr
18 OPEN,7,M2 Volleyball 17E1 (SO) (8),g17mtwov1so
18 OPEN,7,PVA 18 National (PM) (7),g18pride1pm
18 OPEN,9,Ethos 18 Raptors (SO) (9),g18ethos1so
18 OPEN,10,SC Midlands 18 National R (PM) (10),g18scmid1pm
18 OPEN,11,Piedmont VBC 18 Retro (CR) (11),g18piedm1cr
18 OPEN,12,TFVC 18-1 (SO) (12),g18tfvbc1so
18 OPEN,13,CSVC 18 Black (CR) (13),g18cslct1cr
18 OPEN,13,MIDTN 18 BLACK (SO) (14),g18midtn1so
18 OPEN,15,Vortex Paul 18-1 (SO) (15),g18vrtex1so
18 OPEN,16,Vortex Andria 18 (SO) (16),g18vrtex2so
18 OPEN,17,AVC 18-1 (SO) (17),g18avcvb1so
18 OPEN,18,BEVC 18 Kryptonite (CR) (19),g18brkel1cr
18 OPEN,18,NGSA 18-1 George (SO) (18),g18ngasa1so
18 OPEN,20,Caswell 18 (CR) (20),g18caswl1cr
