12 Club,1,Cincy Crush 12-1 (OV),g12ccrsh1ov
12 Club,2,MVC 12-1 (OV),g12morgn1ov
12 Club,3,Inspire CLE 12 Sunrise (OV),g12inspr1ov
12 Club,3,Revolution PGH 12 White (KE),g12revol4ke
12 Club,5,Legacy Elite VBA 12-1 (OV),g12legac1ov
12 Club,5,Pgh Elite 12 Black (KE),g12pghel4ke
12 Club,7,Happy Volley 12 Elite (KE),g12happy1ke
12 Club,7,Renaissance 12 Black (KE),g12renas1ke
12 Club,9,AVBC 12 National (LK),g12arsnl1lk
12 Club,10,P3R 12 West End (KE),g12ptrvb1ke
12 Club,11,Pgh Elite 12 Gold (KE),g12pghel5ke
12 Club,12,Hub City 12 (CH),g12hcvbc1ch
12 Club,13,Renaissance Cran 12 Red (KE),g12renas8ke
12 Club,14,Pgh Elite 11 Black (KE),g11pghel4ke
12 Club,15,Pgh Elite 11 Gold (KE),g11pghel5ke
12 Club,16,West E 12 Purple (KE),g12westm1ke
12 Club,17,Renaissance 12 Red (KE),g12renas2ke
12 Club,18,P3R 12 Panhandle (KE),g12ptrvb2ke
12 Club,19,Renaissance Cran 12 White (KE),g12renas9ke
13 Club,1,Happy Volley 13 Elite (KE),g13happy1ke
13 Club,2,CGSV 13 Jarrett (OV),g13cglds1ov
13 Club,3,13 MSSVC Lightning (OV),g13mssvc1ov
13 Club,3,Pgh Elite 13 Black (KE),g13pghel4ke
13 Club,5,MOVSelect 13-1-Secrest (OV),g13mohvy1ov
13 Club,5,RVBC 13U White (KE),g13w37et1ke
13 Club,7,AVBC 13 National (LK),g13arsnl1lk
13 Club,7,L2 132 (LK),g13l2vbc2lk
13 Club,7,PVC 13-1 (OV),g13pinvb1ov
13 Club,7,Rogue 13 Elite (OV),g13rogue2ov
13 Club,7,SKY Elite 13 Black (KE),g13skyel1ke
13 Club,7,SKY Elite 13 Gold (KE),g13skyel2ke
13 Club,13,AVC 13 BLACK (KE),g13allvb1ke
13 Club,13,AVC 13 RED (KE),g13allvb2ke
13 Club,13,Buckeyefire A. Perney 13A (OV),g13bfire1ov
13 Club,13,Buckeyefire Hopkins 13A (OV),g13bfire3ov
13 Club,13,Hub City 13 (CH),g13hcvbc1ch
13 Club,13,P3R 13 Hot Metal (KE),g13ptrvb2ke
13 Club,19,Buckeyefire Gorski 13A (OV),g13bfire2ov
13 Club,19,ESO 13 Prime (OV),g13esvbc1ov
13 Club,19,West E 13 Purple (KE),g13westm1ke
13 Club,22,OCTANE PANTHERS 13U (WE),g13octan1we
13 Club,22,Pitt United 13 Red (KE),g13pugvc1ke
13 Club,22,Renaissance 13 Red (KE),g13renas2ke
13 Club,25,Intensity 13-1 (CH),g13inten1ch
13 Club,25,Kokoro 13-Teal (OV),g13kokor1ov
13 Club,25,Renaissance 13 Red BC (OV),g13renvb1ov
13 Club,28,Legacy Elite VBA 13-1 (OV),g13legac1ov
13 Club,28,P3R 13 Veterans (KE),g13ptrvb4ke
13 Club,30,AVC 13 White (KE),g13allvb3ke
13 Club,30,P3R 13 Bloomfield (KE),g13ptrvb3ke
13 Club,32,Renaissance 13 White (KE),g13renas3ke
13 Club,32,Renaissance Cran 13 White (KE),g13renas9ke
13 Club,34,Renaissance 13 Gray (KE),g13renas4ke
13 Open,1,Rise 13-1 (OV),g13risea1ov
13 Open,2,Pgh Elite 13 Premier (KE),g13pghel2ke
13 Open,3,L2 131 (LK),g13l2vbc1lk
13 Open,4,Rogue 13 GO (OV),g13rogue1ov
13 Open,5,Pgh Elite 13 Elite (KE),g13pghel1ke
13 Open,6,Horseshoe VBC 13-Red (KE),g13horse1ke
13 Open,7,MiElite 13 National (LK),g13mieva3lk
13 Open,8,Revolution PGH 13 White (KE),g13revol4ke
13 Open,9,Inspire CLE 13 Sunrise (OV),g13inspr1ov
13 Open,10,Premier 13 Royal (KE),g13prevc1ke
13 Open,11,Renaissance 13 Black (KE),g13renas1ke
13 Open,12,Renaissance Cran 13 Red (KE),g13renas8ke
14 Club,1,Rise 14-1 (OV),g14risea1ov
14 Club,2,ESO 14 Prime (OV),g14esvbc2ov
14 Club,3,CGSV 14  Piccolini (OV),g14cglds1ov
14 Club,3,Pgh Elite 14 Gold (KE),g14pghel5ke
14 Club,5,Impact VBC 14-1 (OV),g14impct1ov
14 Club,5,L2 241 (LK),g14l2vbc4lk
14 Club,7,Rise 14-2 (OV),g14risea2ov
14 Club,7,RVBC 14U White (KE),g14w37et1ke
14 Club,9,Horseshoe VBC 14-White (KE),g14horse3ke
14 Club,11,Legacy Elite VBA 14-1 (OV),g14legac1ov
14 Club,11,Renaissance 14 Red (KE),g14renas2ke
14 Club,13,Pgh Elite 14 Silver (KE),g14pghel6ke
14 Club,13,PVC 14-1 (OV),g14pinvb1ov
14 Club,13,TDV 14Elite (OV),g14toldv1ov
14 Club,16,14 MSSVC Lightning (OV),g14mssvc1ov
14 Club,16,PAEVA 14-Maroon (KE),g14wy7a41ke
14 Club,16,West E 14 Purple (KE),g14westm1ke
14 Club,19,AVBC 14 National White (LK),g14arsnl2lk
14 Club,19,MVC 14-1 (OV),g14morgn1ov
14 Club,19,P3R 14 Clemente (KE),g14ptrvb3ke
14 Club,22,Buckeyefire Weber 14A (OV),g14bfire2ov
14 Club,22,OVVC 14 GREEN (OV),g14ovvbc1ov
14 Club,22,Pgh Elite 14 Black (KE),g14pghel4ke
14 Club,25,Happy Volley 14 Force (KE),g14happy2ke
14 Club,25,Rogue 14 Elite (OV),g14rogue3ov
14 Club,25,SKY Elite 14 White (KE),g14skyel3ke
14 Club,28,AVC 14 Black (KE),g14allvb1ke
14 Club,28,CGSV 14 White (OV),g14cglds2ov
14 Club,28,Premier Storm (CH),g14pvbde2ch
14 Club,31,P3R 14 Smithfield (KE),g14ptrvb2ke
14 Club,31,Pitt United 14 Red (KE),g14pugvc1ke
14 Club,31,SKY Elite 14 Gold (KE),g14skyel2ke
14 Club,34,AVC 14 RED (KE),g14allvb2ke
14 Club,34,Premier Spark (CH),g14pvbde3ch
14 Club,34,Renaissance 14 White (KE),g14renas3ke
14 Club,37,Buckeyefire Park 14A (OV),g14bfire1ov
14 Club,37,Pitt United 14 Blue (KE),g14pugvc2ke
14 Club,37,Renaissance Cran 14 White (KE),g14renas9ke
14 Club,40,Greensburg VBC 14 Green (KE),g14ymcag1ke
14 Club,40,Horseshoe VBC 14-Black (KE),g14horse2ke
14 Club,40,L2 242 (LK),g14l2vbc5lk
14 Club,43,AVC 14 WHITE (KE),g14allvb3ke
14 Club,43,OVVC 14 BLUE (OV),g14ovvbc2ov
14 Club,43,P3R 14 Carson (KE),g14ptrvb4ke
14 Club,46,Renaissance 14 Gray (KE),g14renas4ke
14 Club,46,Renaissance 14 Red BC (OV),g14renvb1ov
14 Club,46,West E 14 Black (KE),g14westm2ke
14 Open,1,Pgh Elite 14 Elite (KE),g14pghel1ke
14 Open,2,MiElite 14 National (LK),g14mieva3lk
14 Open,3,Rogue 14 GO (OV),g14rogue1ov
14 Open,4,BAVA 14 Waves (CH),g14bavaj1ch
14 Open,5,Happy Volley 14 Elite (KE),g14happy1ke
14 Open,6,Revolution PGH 14 White (KE),g14revol3ke
14 Open,7,Renaissance 14 Black (KE),g14renas1ke
14 Open,8,Inspire CLE 14 Sunrise (OV),g14inspr1ov
14 Premier,1,ESO 14 Elite (OV),g14esvbc1ov
14 Premier,2,Pgh Elite 14 Premier (KE),g14pghel2ke
14 Premier,3,CLE ELITE 14 WALSH (OV),g14cevbc1ov
14 Premier,3,Intensity 14 Onyx (CH),g14inten1ch
14 Premier,5,AVBC 14 National Red (LK),g14arsnl1lk
14 Premier,5,Horseshoe VBC 14-Red (KE),g14horse1ke
14 Premier,7,DVA 14 White (KE),g14dynam1ke
14 Premier,7,SKY Elite 14 Black (KE),g14skyel1ke
14 Premier,9,A-10 Black 14 Girls (KE),g14atenv1ke
14 Premier,10,P3R 14 Platinum (KE),g14ptrvb1ke
14 Premier,11,NorthU 14R Orange (KE),g14north1ke
14 Premier,12,Kokoro14-Teal (OV),g14kokor1ov
14 Premier,13,Rogue 14 National (OV),g14rogue2ov
14 Premier,14,Renaissance Cran 14 Red (KE),g14renas8ke
14 Premier,15,A-10 Red 14 Girls (KE),g14atenv2ke
14 Premier,16,Kokoro 14-White (OV),g14kokor2ov
15 Club,1,OVVC 15 GREEN (OV),g15ovvbc1ov
15 Club,2,RVBC 15U White (KE),g15w37et1ke
15 Club,3,Buckeyefire C. Perney 15A (OV),g15bfire2ov
15 Club,3,Hot Shots 14 Black (OV),g14hshot1ov
15 Club,5,Pgh Elite 15 Black (KE),g15pghel4ke
15 Club,5,Pitt United 15 Red (KE),g15pugvc1ke
15 Club,7,GPA 15s White (OV),g15gampl1ov
15 Club,7,Hub City 15 (CH),g15hcvbc1ch
15 Club,9,CGSV 15 Conners (OV),g15cglds1ov
15 Club,9,ESO 15 Prime (OV),g15esvbc2ov
15 Club,11,Pitt United 15 Blue (KE),g15pugvc2ke
15 Club,11,Renaissance 15 Red BC (OV),g15renvb1ov
15 Club,13,CGSV 15 Harris (OV),g15cglds2ov
15 Club,13,CHAOS CRUSH (CA),g15chaos2ca
15 Club,13,Impact VBC 15-3 (OV),g15impct3ov
15 Club,16,PAEVA 15-Maroon (KE),g15wy7a41ke
15 Club,16,Premier Lightning (CH),g15pvbde3ch
15 Club,16,Renaissance 15 Red (KE),g15renas2ke
15 Club,19,AVBC 15 National (LK),g15arsnl2lk
15 Club,19,P3R 15 Liberty (KE),g15ptrvb2ke
15 Club,19,West E 15 Purple (KE),g15westm1ke
15 Club,22,L2 252 (LK),g15l2vbc5lk
15 Club,22,Renaissance Cran 15 Red (KE),g15renas8ke
15 Club,22,TeamD 15 White (LK),g15teamd2lk
15 Club,25,Pgh Elite 15 Gold (KE),g15pghel5ke
15 Club,25,Pgh Elite 15 Silver (KE),g15pghel6ke
15 Club,25,West E 15 White (KE),g15westm3ke
15 Club,28,L2 253 (LK),g15l2vbc6lk
15 Club,28,Legacy Elite VBA 15-2 (OV),g15legac2ov
15 Club,28,Rise 15-2 (OV),g15risea2ov
15 Club,31,AVC 15 BLACK (KE),g15allvb1ke
15 Club,31,Premier 15 Gold (KE),g15prevc2ke
15 Club,31,West E 15 Black (KE),g15westm2ke
15 Club,34,AVC 15 RED (KE),g15allvb2ke
15 Club,34,P3R 15 Monongahela (KE),g15ptrvb4ke
15 Club,34,Renaissance 15 Gray (KE),g15renas4ke
15 Club,37,CWAVE Brianne (OV),g15cwave2ov
15 Club,37,Kokoro 15-Teal (OV),g15kokor1ov
15 Club,37,P3R 15 Birmingham (KE),g15ptrvb3ke
15 Club,40,Greensburg VBC 15 Blue (KE),g15ymcag1ke
15 Club,40,Kokoro 15-White (OV),g15kokor2ov
15 Club,40,Rise 15-3 (OV),g15risea3ov
15 Club,43,AVC 15 WHITE (KE),g15allvb3ke
15 Club,43,Nickel City 15u (WE),g15nicke1we
15 Club,43,Renaissance 15 White (KE),g15renas3ke
15 Club,46,Renaissance Cran 15 White (KE),g15renas9ke
15 Club,46,SKY Elite 15 White (KE),g15skyel3ke
15 Open,1,Pgh Elite 15 Elite (KE),g15pghel1ke
15 Open,2,Impact VBC 15-1 (OV),g15impct1ov
15 Open,3,Happy Volley 15 Elite (KE),g15happy1ke
15 Open,4,Premier EDGE 15 - Black (CH),g15pvbde2ch
15 Open,5,A-10 Black 15 Girls (KE),g15atenv1ke
15 Open,6,Rise 15-1 (OV),g15risea1ov
15 Open,7,Horseshoe VBC 15-Red (KE),g15horse1ke
15 Open,8,MiElite 15 National (LK),g15mieva4lk
15 Open,9,Fusion 15 Blue (KE),g15fuvbc1ke
15 Open,10,Legacy Elite VBA 15-1 (OV),g15legac1ov
15 Open,11,SKY Elite 15 Black (KE),g15skyel1ke
15 Open,12,Inspire CLE 15 Sunrise (OV),g15inspr1ov
15 Premier,1,ESO 15 Elite (OV),g15esvbc1ov
15 Premier,2,Infinity 15 Green (OV),g15infty1ov
15 Premier,3,L2 153 (LK),g15l2vbc3lk
15 Premier,3,Pgh Elite 15 Premier (KE),g15pghel2ke
15 Premier,5,IGNITE 15 BLACK (OV),g15ignit1ov
15 Premier,5,Impact VBC 15-2 (OV),g15impct2ov
15 Premier,7,A-10 Red 15 Girls (KE),g15atenv2ke
15 Premier,7,L2 251 (LK),g15l2vbc4lk
15 Premier,9,Buckeyefire Smerglia 15 (OV),g15bfire1ov
15 Premier,9,Renaissance 15 Black (KE),g15renas1ke
15 Premier,11,BAVA 15 Blaze (CH),g15bavaj1ch
15 Premier,11,NCVC 15 Rush - National (WE),g15ncvbc1we
15 Premier,13,AVBC 15 Elite (LK),g15arsnl1lk
15 Premier,13,TeamD 15 Red (LK),g15teamd1lk
15 Premier,15,HP 15 Elite Gray (LK),g15hpvba3lk
15 Premier,15,Intensity 15-Sapphires (CH),g15inten1ch
15 Premier,17,Athens Elite 15-1 (OV),g15athen1ov
15 Premier,17,P3R 15 Platinum (KE),g15ptrvb1ke
15 Premier,19,SKY Elite 15 Gold (KE),g15skyel2ke
15 Premier,20,SMASH Raiders 15-3 (CA),g15srvcc3ca
15 Premier,22,Rogue 15 Elite (OV),g15rogue2ov
15 Premier,23,TDV 15Elite (OV),g15toldv1ov
16 Club,1,CADO 16 REMEDY (WE),g16cadov1we
16 Club,2,Pitt United 16 Red (KE),g16pugvc1ke
16 Club,3,16 MSSVC Lightning (OV),g16mssvc1ov
16 Club,3,HP 16 Elite White (LK),g16hpvba5lk
16 Club,5,MOVSelect 16-1-Fulton (OV),g16mohvy1ov
16 Club,5,RVBC 16U White (KE),g16w37et1ke
16 Club,7,L2 263 (LK),g16l2vbc6lk
16 Club,7,West E 16 Purple (KE),g16westm1ke
16 Club,9,Horseshoe VBC 16-Black (KE),g16horse2ke
16 Club,9,Pgh Elite 16 Black (KE),g16pghel4ke
16 Club,11,P3R 16th Street (KE),g16ptrvb2ke
16 Club,11,PVC 16-1 (OV),g16pinvb1ov
16 Club,13,GPA 16s Black (OV),g16gampl1ov
16 Club,13,L2 262 (LK),g16l2vbc5lk
16 Club,13,TeamD 16 White (LK),g16teamd2lk
16 Club,16,BFirst 16-1 (OV),g16bfrst1ov
16 Club,16,Buckeyefire Ramsey 16A (OV),g16bfire2ov
16 Club,16,ESO 16 Prime (OV),g16esvbc2ov
16 Club,19,Highlands 16 Extreme (KE),g16hgvbc1ke
16 Club,19,Pgh Elite 16 Gold (KE),g16pghel5ke
16 Club,19,Pitt United 16 Blue (KE),g16pugvc2ke
16 Club,22,AVBC 16 National (LK),g16arsnl3lk
16 Club,22,AVC 16 RED (KE),g16allvb2ke
16 Club,22,Horseshoe VBC 16-Gray (KE),g16horse5ke
16 Club,25,AVC 16 White (KE),g16allvb3ke
16 Club,25,Horseshoe VBC 16-White (KE),g16horse4ke
16 Club,25,SPIRIT VBC 16-1 (OV),g16spirt1ov
16 Club,28,Kokoro 16-Teal (OV),g16kokor1ov
16 Club,28,Renaissance Cran 16 Red (KE),g16renas8ke
16 Club,28,SKY Elite 16 White (KE),g16skyel3ke
16 Club,31,Renaissance 16 Ruby BC (OV),g16renvb2ov
16 Club,31,Rogue 16 Elite (OV),g16rogue2ov
16 Club,31,West E 16 Black (KE),g16westm2ke
16 Club,34,BVA 16U (WE),g16bufac1we
16 Club,34,Legacy Elite VBA 16-2 (OV),g16legac2ov
16 Club,34,Rise 16-3 (OV),g16risea3ov
16 Club,37,Premier Velocity (CH),g16pvbde2ch
16 Club,37,Renaissance 16 Red BC (OV),g16renvb1ov
16 Club,37,Renaissance 16 White (KE),g16renas3ke
16 Club,40,Premier Crush (CH),g16pvbde3ch
16 Club,40,Renaissance 16 Gray (KE),g16renas4ke
16 Club,43,AVC 16 GRAY (KE),g16allvb4ke
16 Club,43,Nickel City 16u (WE),g16nicke1we
16 Club,43,Optimus Volleyball 16-2 (KE),g16optim2ke
16 Club,46,Happy Volley 16 Hurricane (KE),g16happy2ke
16 Open,1,Pgh Elite 16 Elite (KE),g16pghel1ke
16 Open,2,Revolution PGH 16 White (KE),g16revol3ke
16 Open,3,Fusion 16 Blue (KE),g16fuvbc1ke
16 Open,3,MiElite 16 National East (LK),g16mieva3lk
16 Open,5,Legacy Elite VBA 16-1 (OV),g16legac1ov
16 Open,5,Renaissance 16 Black (KE),g16renas1ke
16 Open,7,Rise 16-1 (OV),g16risea1ov
16 Open,7,TDV 16Elite (OV),g16toldv1ov
16 Open,9,Spire VC 16 Vencill (OV),g16cavs11ov
16 Open,10,SKY Elite 16 Black (KE),g16skyel1ke
16 Open,11,BAVA 16 Breakers (CH),g16bavaj1ch
16 Open,12,Happy Volley 16 Blue (KE),g16happy1ke
16 Open,13,MiElite 16 National West (LK),g16mieva4lk
16 Open,14,A-10 Black 16 Girls (KE),g16atenv1ke
16 Open,15,Horseshoe 16-Red (KE),g16horse1ke
16 Open,16,PAEVA 16-Maroon (KE),g16wy7a41ke
16 Premier,1,Pgh Elite 16 Premier (KE),g16pghel2ke
16 Premier,2,ESO 16 Elite (OV),g16esvbc1ov
16 Premier,3,P3R 16 Platinum (KE),g16ptrvb1ke
16 Premier,3,Peak Elite 16U (KE),g16peake1ke
16 Premier,5,Infinity 16 Green (OV),g16infty1ov
16 Premier,5,L2 163 (LK),g16l2vbc3lk
16 Premier,7,Buckeyefire Vertock 16 (OV),g16bfire1ov
