12 Club,1,Academy 12 Crystal (CR),g12ncvba2cr
12 Club,2,CUVC 12 Premier (CR),g12carun2cr
12 Club,3,Sandhills 12 Katelynn (CR),g12sandh1cr
12 Club,3,SERV 12 Select (OD),g12serva1od
12 Club,5,704 Volleyball Club 12 (CR),g12svnfr1cr
12 Club,5,CUVC 12 Briana (CR),g12carun3cr
12 Club,5,Galaxy 12 Kayla (CR),g12galxy1cr
12 Club,5,MVP 12-Gold (PM),g12mvpjc1pm
12 Club,9,CJV 12 State Navy (CR),g12cjvvb2cr
12 Club,9,Direction 12 Royal (CR),g12drctn1cr
12 Club,11,FL HYPE 12 Smack Cady (FL),g12fhype1fl
12 Club,11,MVP 12-Black (PM),g12mvpjc2pm
12 Club,11,NLVA 12-1 Gold (CR),g12nxtlv1cr
12 Club,14,CJV 11 State Navy (CR),g11cjvvb1cr
12 Club,14,MEVC12Black (PM),g12mtnel1pm
12 Club,14,TUVA G12 Elite (CR),g12trdun1cr
12 Club,17,Academy 12 Jade (CR),g12ncvba3cr
12 Club,17,MVP 11-Gold (PM),g11mvpjc1pm
12 Club,17,Xcel 12 Elite (CR),g12xcelp1cr
13 Club,1,Galaxy 13 Leigh (CR),g13galxy1cr
13 Club,2,CJV 13 Select White (CR),g13cjvvb5cr
13 Club,3,CJV 13 Select Navy (CR),g13cjvvb4cr
13 Club,3,Direction 13 Royal (CR),g13drctn1cr
13 Club,5,Academy 13 Pearl (CR),g13ncvba4cr
13 Club,5,JoCo 13 Black (CR),g13jocov1cr
13 Club,5,NC Intensity 13U Melissa (CR),g13ncint1cr
13 Club,5,Sandhills 13 Tay-Jay (CR),g13sandh1cr
13 Club,9,Academy 13 Crystal (CR),g13ncvba2cr
13 Club,9,Academy 13 Jade (CR),g13ncvba3cr
13 Club,9,Carolina ICE 13 Nat (PM),g13crice1pm
13 Club,9,Carolina Sky 13U (PM),g13crsky1pm
13 Club,9,CUVC 13 SN Elizabeth (CR),g13carun3cr
13 Club,9,White Cross Elite 13Black (CR),g13whtcr1cr
13 Club,15,108 BVC 13 Hybrid (OD),g13108bv1od
13 Club,15,AJV 13 Royal (PM),g13augjr1pm
13 Club,15,CUVC 13R Rochelle (CR),g13carun4cr
13 Club,15,HOV 13 Red (OD),g13hovjr1od
13 Club,15,HRVC 13 American Green (CR),g13hrock1cr
13 Club,15,MVP 13-Black (PM),g13mvpjc2pm
13 Club,15,Xcel 13 Elite (CR),g13xcelp1cr
13 Club,15,Yadkin Select 13-1 (CR),g13ydkin1cr
13 Club,23,C1VB 13 ONE (PM),g13crone1pm
13 Club,23,CJV 13 State White (CR),g13cjvvb7cr
13 Club,23,Galaxy 13 Jon (CR),g13galxy2cr
13 Club,23,SERV 13 Impact (OD),g13serva2od
13 Club,23,SERV 13 Select (OD),g13serva1od
13 Club,28,CJV 13 State Navy (CR),g13cjvvb6cr
13 Club,28,LMVC 13 NAT GRACIE (PM),g13lakem1pm
13 Club,28,PSVC 13 Heidi (PM),g13pstri3pm
13 Club,28,PSVC 13 Zuri (PM),g13pstri2pm
13 Club,28,Sandhills 13 HR2 (CR),g13sandh2cr
13 Club,33,Academy 13 Ruby (CR),g13ncvba5cr
13 Club,33,HRVC 13 American black (CR),g13hrock2cr
13 Club,35,CUVC 13R Allison (CR),g13carun5cr
13 Club,35,EDVC 13U Travel L (CR),g13ednvr1cr
13 Club,35,NLVA 13-1 Gold (CR),g13nxtlv1cr
13 Club,38,PSVA Houston 13 Black (SO),g13psvah1so
13 Club,38,Revolution 13 Cicily (CR),g13fuqrv1cr
13 Club,38,Sandhills 13U Juanita (CR),g13sandh3cr
13 Club,38,SERV 13 Power (OD),g13serva3od
14 Club,1,Direction 14 Royal (CR),g14drctn1cr
