12 American,1,850 ELITE 12 - 1 (GC),g12elite1gc
12 American,2,LA South 12 GOLD (BY),g12lasou1by
12 American,3,Mobile Storm 12 Elite BLK (GC),g12moscb1gc
12 American,3,SEVC 12-1 (GC),g12sevbc1gc
12 American,5,ECVC 12 Regional - SoWal (GC),g12ecvbc3gc
12 American,5,LAV 12 Local White (GC),g12lavbc4gc
12 American,5,NWF Select Red 12-1 (GC),g12nfsvc1gc
12 American,8,LA South 11 (BY),g11lasou1by
12 American,9,PEVC 11N Walter (GC),g11pevbc1gc
12 American,10,LAV 10 Local Black (GC),g11lavbc2gc
12 USA,1,Dolphin VBC 12 Green (GC),g12dolvb3gc
12 USA,2,WD Nation 12 Blue (BY),g12wdnat1by
12 USA,3,PIVC Storm 12PWR Madi (GC),g12pivbc1gc
12 USA,4,PEVC 12N Soumaly (GC),g12pevbc1gc
13 American,1,PIVC Storm 13E Pearson (GC),g13pivbc1gc
13 American,2,Dolphin VBC 13 Black (GC),g13dolvb1gc
13 American,3,850 ELITE 13 - 2 (GC),g13elite2gc
13 American,3,Dolphin VBC 13 Silver (GC),g13dolvb2gc
13 American,5,NWF Select Black 13-2 (GC),g13nfsvc2gc
13 American,5,NWF Select Red 13-1 (GC),g13nfsvc1gc
13 American,5,PEVC 13 Amanda K (GC),g13pevbc3gc
13 American,5,PIVC Storm 13PWR  Morgan (GC),g13pivbc2gc
13 American,9,ECVC 13 Reg PC - Jaiden (GC),g13ecvbc4gc
13 American,10,USJVA 13 Blue (GC),g13usjva2gc
13 American,11,ECVC 13 Reg -SoWal Maggie (GC),g13ecvbc6gc
13 American,11,LAV 13 Local White (GC),g13lavbc5gc
13 American,13,ECVC 13 Reg PC - Kimber (GC),g13ecvbc7gc
13 American,14,Mobile Starlings 13-1 (GC),g13stvbc1gc
13 American,15,850 ELITE 13 - 3 (GC),g13elite3gc
13 American,16,NBVC 13 Black (GC),g13nbsvc1gc
14 American,1,LA South 14 GOLD (BY),g14lasou1by
14 American,2,Mobile Storm 14 Elite Blk (GC),g14moscb2gc
14 American,3,ECVC 14 National - Haley (GC),g14ecvbc2gc
