12 Club,1,ELITE NEXT LEVEL 12-1 (LS),g12enext1ls
12 Club,2,Heroes 12 Seal (LS),g12heroe1ls
12 Club,3,Roots 12-2 Blue (LS),g12roots2ls
12 Club,3,WACO VBC 12 UA Black (LS),g12wacov1ls
12 Club,5,McAllen PREMIER 12-Marina (LS),g12mprev1ls
12 Club,5,NITRO 12 Blue (SU),g12nitro1su
12 Club,5,TEXAS FURY 12 Impact (LS),g12txfur2ls
12 Club,5,United VBA 12 Gray (LS),g12unvba4ls
12 Club,9,HC Strike 12 Cobra (LS),g12hcstr2ls
12 Club,9,JET 12 Carr (SU),g12jetvb1su
12 Club,11,SA Juniors 12 National (LS),g12sajvb2ls
12 Club,11,STVA 12 Navy (LS),g12stvac2ls
12 Club,13,Aus Velocity 121 Diamond (LS),g12avvbc1ls
12 Club,13,NITRO 12 White (SU),g12nitro2su
12 Club,13,Roots 12-3 Maple (LS),g12roots3ls
12 Club,13,Texas Tornados 12National (LS),g12txtor2ls
12 Club,17,Austin Skyline 11 Royal (LS),g11askyl1ls
12 Club,17,STVA 12 Red (LS),g12stvac3ls
12 Club,19,JET 11 Evers (SU),g11jetvb1su
12 Club,19,Texas 512 12 Orange (LS),g12tx5121ls
12 Club,21,AJV 12 Lite North (LS),g12ajvba8ls
12 Club,21,Ignite 12 Blaze (LS),g12ignit1ls
12 Club,23,AJV 11 Navy (LS),g11ajvba5ls
12 Club,23,Angelo Rise 11-1 (LS),g11angrv1ls
12 Club,25,AJV 12 Lite Central (LS),g12ajvba9ls
12 Club,25,AJV 12 Toro (LS),g12ajvba6ls
12 Club,27,Roots 12-4 Mesquite (LS),g12roots4ls
12 Club,27,TCVA 12 Green Adidas (LS),g12trico1ls
12 Club,29,AJV 11 Cedar Park (LS),g11ajvba4ls
12 Club,29,Austin Skyline 11 Black (LS),g11askyl2ls
12 Open,1,TEXAS FURY 12 Legacy (LS),g12txfur1ls
12 Open,2,Valley Flames 12 Black (LS),g12vflam1ls
