12 Club,1,CSNS 12U (PM) (1),g12clubs1pm
12 Club,2,C1VB 12 Regional Grvl (PM) (2),g12crone1pm
12 Club,3,Intense Adidas 12U AE (PM) (3),g12inten1pm
12 Club,4,DCVB Red 12-1 (CR) (4),g12dcvbe1cr
12 Club,5,PSVC 12 Lindsay (PM) (6),g12pstri2pm
12 Club,6,PSVC 12 Abby (PM) (5),g12pstri3pm
12 Club,7,CSRA Heat 12 Black (PM) (8),g12csrah2pm
12 Club,8,LOCVB 12A-Premiere (PM) (7),g12locvb1pm
12 Club,9,LMVC 12 REG ERIN (PM) (10),g12lakem2pm
12 Club,9,Raleigh 12 White (CR) (9),g12ralvb1cr
12 Club,11,Carolina Rogue 12 Blue (PM) (11),g12rogue2pm
12 Club,11,DCVB Purple 11-1 (CR) (12),g11dcvbe1cr
12 Club,13,Fusion 12 (CR) (13),g12fusnv1cr
12 Club,13,Intense 12U State (PM) (14),g12inten2pm
13 Club,1,SVBC Blazers 13 Black (PM) (1),g13sandh1pm
13 Club,2,SRS 13 Blue (PM) (2),g13srsvc1pm
13 Club,3,CSNS 13U (PM) (4),g13clubs1pm
13 Club,3,Tempo 13 Black (PM) (3),g13tspvb1pm
13 Club,5,Intense Adidas 13U AE (PM) (5),g13inten1pm
13 Club,6,Upstate 13 Hope (PM) (6),g13upsvc1pm
13 Club,7,SC Midlands 13 Perform (PM) (7),g13scmid2pm
13 Club,8,C1VB 13 Regional (PM) (8),g13crone3pm
13 Club,9,South Strand Heat 13 (PM) (9),g13sstnd1pm
13 Club,10,Raleigh 13 White (CR) (10),g13ralvb1cr
13 Club,11,CSRA Heat 13 Black (PM) (11),g13csrah3pm
13 Club,12,Intense Adidas 13U State (PM) (12),g13inten3pm
13 Club,13,Charleston VBC 13-1 (PM) (13),g13mason1pm
13 Club,14,SVBC Blazers 13 Red (PM) (14),g13sandh2pm
13 Club,15,Emerald City 13 Green (PM) (15),g13ecity1pm
13-14 Power,1,SRS 14 Blue (PM) (1),g14srsvc1pm
13-14 Power,2,C1VB 14 Select Grvl (PM) (2),g14crone3pm
13-14 Power,3,DCVB Elite 14-1 Blue (CR) (3),g14dcvbe1cr
13-14 Power,4,Intense Adidas 14U AE (PM) (4),g14inten1pm
13-14 Power,5,PVA 14 National (PM) (5),g14pridenpm
13-14 Power,6,C1VB 13 Select (PM) (6),g13crone2pm
