11-12 American  ,1,LAV 11 Local Black (GC),g11lavbc1gc
11-12 American  ,2,CCVC 12 Zoe (GC),g12ccvbc2gc
11-12 American  ,3,ESVC 11 Blue (GC),g11esvbc2gc
11-12 American  ,3,Surge 121 (GC),g12smsvc1gc
12 USA,1,Dolphin VBC 12 Green (GC),g12dolvb3gc
12 USA,2,ECVC 12 National - Lauren (GC),g12ecvbc1gc
12 USA,3,LAV 12 Regional Black (GC),g12lavbc2gc
12 USA,3,USJVA 12 National Red HP (GC),g12usjva1gc
12 USA,5,ESVC 12 Black (GC),g12esvbc1gc
12 USA,6,CCVC 12 Dodson (GC),g12ccvbc1gc
12 USA,7,Cajun Elite 12 Dani (BY),g12cajel2by
12 USA,7,LAV 12 Local Black (GC),g12lavbc3gc
13 Girls,1,ESVC 13 Black (GC),g13esvbc1gc
13 Girls,2,WD Nation 13 Blue (BY),g13wdnat1by
13 Girls,3,Dolphin VBC 13 Black (GC),g13dolvb1gc
13 Girls,3,USJVA 13 National Red HP (GC),g13usjva1gc
13 Girls,5,Cajun Elite 13 Caroline M (BY),g13cajel3by
13 Girls,5,LAV 13 Regional Black (GC),g13lavbc2gc
13 Girls,5,PEVC 13 Amanda K (GC),g13pevbc3gc
13 Girls,5,USJVA 13 Blue (GC),g13usjva2gc
13 Girls,9,Allons U13 Tish (BY),g13allvb1by
13 Girls,9,CCVC 13 Claire (GC),g13ccvbc1gc
13 Girls,9,Optimal Focus (GC),g13sovbc1gc
13 Girls,9,PEVC 13 Amanda S (GC),g13pevbc2gc
13 Girls,13,ECVC 13 Regional SoWal (GC),g13ecvbc5gc
13 Girls,13,LAV 13 Regional White (GC),g13lavbc3gc
13 Girls,15,Dolphin VBC 13 Silver (GC),g13dolvb2gc
13 Girls,15,ECVC 13 National - India (GC),g13ecvbc2gc
13 Girls,17,LAV 13 Local Black (GC),g13lavbc4gc
13 Girls,17,LAV 13 Local White (GC),g13lavbc5gc
13 Girls,19,Surge 13-2 EW (GC),g13smsvc2gc
13 Girls,20,Surge 13-3 EG (GC),g13smsvc3gc
13 Girls,21,Surge 13-4 Power (GC),g13smsvc4gc
13 Girls,22,CCVC 13 Zoe (GC),g13ccvbc2gc
14 American,1,850 ELITE 14 - 2 (GC),g14elite3gc
14 American,2,Allons U14 Jessica (BY),g14allvb1by
14 American,3,CCVC 14 Katelyn (GC),g14ccvbc3gc
14 American,3,LAV 14 Regional Gray (GC),g14lavbc5gc
14 American,5,Cajun Elite 14 Melissa (BY),g14cajel4by
14 American,5,ESVC 14 Blue (GC),g14esvbc2gc
14 American,7,CCVC 14 Jasmine (GC),g14ccvbc2gc
14 American,7,IMPACT 14's (BY),g14impac10by
14 American,9,Peak Focus 14 (GC),g14sovbc2gc
14 American,9,Surge 14-3 (GC),g14smsvc3gc
14 American,11,LAV 14 Local White (GC),g14lavbc7gc
14 American,11,Surge 14-4 Power (GC),g14smsvc4gc
14 USA,1,PEVC 14N Chris W (GC),g14pevbc1gc
14 USA,2,Cajun Elite 14 Nyah (BY),g14cajel3by
14 USA,3,850 ELITE 14 - 1 (GC),g14elite1gc
14 USA,3,LAV 14 Regional White (GC),g14lavbc4gc
14 USA,5,LAV 14 Regional Black (GC),g14lavbc3gc
14 USA,6,LA6 14U Jamie (BY),g14lasix2by
14 USA,7,CSVA 13/14 POP (GC),g14csvba2gc
14 USA,7,ESVC 14 Black (GC),g14esvbc1gc
15 American,1,LAV 15 Regional White (GC),g15lavbc3gc
15 American,2,Surge 15-3 EW (GC),g15smsvc3gc
15 American,3,Cajun Elite 15s Cami (BY),g15cajel3by
15 American,3,ESVC 15 Black (GC),g15esvbc1gc
15 American,5,Allons U15 Key (BY),g15allvb1by
15 American,5,Surge 15 Elite Blue (GC),g15smsvc2gc
15 American,7,CCVC 15 Emma (GC),g15ccvbc1gc
15 American,7,LAV 15 Regional Gray (GC),g15lavbc4gc
15 American,9,Fierce Focus (GC),g15sovbc2gc
15 American,9,Surge 15-3 Gray (GC),g15smsvc4gc
15 American,11,CCVC 15 SouthernAnn (GC),g15ccvbc2gc
15 American,11,CSVA 14 COAST (GC),g14csvba1gc
15 USA,1,WF Waves 15-Cody (GC),g15waves2gc
15 USA,2,USJVA 14 National Red HP (GC),g14usjva1gc
15 USA,3,850 ELITE 15 - 1 (GC),g15elite1gc
15 USA,3,LAV 15 Regional Black (GC),g15lavbc2gc
15 USA,5,Cajun Elite 15s Katie (BY),g15cajel2by
15 USA,5,Red Storm 15 Elite (BY),g15storm3by
16 American,1,850 ELITE 16 - 2 (GC),g16elite2gc
16 American,2,LAV 16 Local Black (GC),g16lavbc4gc
16 American,3,NWF Select Red 16-1 (GC),g16nfsvc1gc
16 American,3,SEVC Dulaney 16-1 (GC),g16sevbc1gc
16 American,5,USJVA 16 Regional Blue (GC),g16usjva2gc
16 American,6,Intense Focus (GC),g16sovbc3gc
16 American,7,CCVC 16 Supa (GC),g16ccvbc2gc
16 American,7,Surge 16-3 Elite Blue (GC),g16smsvc3gc
16 USA,1,850 ELITE 16 - 1 (GC),g16elite1gc
16 USA,2,WD Nation 16 Grey (BY),g16wdnat3by
16 USA,3,Cajun Elite 16s Emily C. (BY),g16cajel2by
16 USA,3,MATRIX 16 National (GC),g16digit1gc
16 USA,5,LAV 16 Regional Black (GC),g16lavbc3gc
16 USA,5,Send Me 16-1 (GC),g16smvba1gc
17/18 USA,1,PEVC 17N Sloane (GC),g17pevbc1gc
17/18 USA,2,Cajun Elite 17 Hannah (BY),g17cajel2by
17/18 USA,3,850 ELITE 17 - 1 (GC),g17elite1gc
17/18 USA,3,USJVA 16 National Red HP (GC),g16usjva1gc
17/18 USA,5,IMPACT 17's (BY),g17impac5by
17/18 USA,5,USJVA 17 National Red HP (GC),g17usjva1gc
17/18 USA,7,Allons U17 Summer (BY),g17allvb1by
17/18 USA,7,Cajun Elite 17 Mya (BY),g17cajel3by
17/18 USA,9,Red Storm 17 Elite (BY),g17storm3by
17/18 USA,9,Surge 17-1 Power (GC),g17smsvc1gc
17/18 USA,11,Extreme Focus (GC),g17sovbc1gc
17/18 USA,11,Power Focus (GC),g18sovbc1gc
17/18 USA,13,SEVC 17U BM (GC),g17sevbc13gc
17/18 USA,13,Surge 18-1 EB (GC),g18smsvc1gc
