15 Open,1,TAV 15 Black Jason (NT) (1),g15txadv1nt
15 Open,2,Legacy 15-1 ADIDAS (LK) (2),g15legvc1lk
15 Open,3,HJV 15 ELITE (LS) (3),g15houjr1ls
15 Open,4,Tribe 15 Elite Cardinal (FL) (4),g15tribe1fl
15 Open,5,A5 151 Kelly (SO) (5),g15afive1so
15 Open,5,Alamo 15 Premier (LS) (8),g15alamo1ls
15 Open,5,Circle City 15 Purple (HO) (7),g15ccity1ho
15 Open,5,OT 15 T Randy (FL) (6),g15otbva1fl
15 Open,9,Aspire 15 Alpha (AZ) (10),g15aspir1az
15 Open,9,HPSTL 15 Royal (GW) (9),g15hpstl1gw
15 Open,9,Metro 15 Travel (CH) (11),g15metro1ch
15 Open,9,Mintonette Sports - m.51 (OV) (12),g15msprt1ov
15 Open,13,MAVS 15 Elite (HA) (13),g15mavbc1ha
15 Open,14,AVC CLE 15 Red (OV) (14),g15acavc1ov
15 Open,15,Areté 15 Navy Telos (NT) (15),g15arete1nt
15 Open,15,OVA 15 Black (FL) (16),g15light1fl
15 Open,17,CJV 15 Mizuno (CR) (18),g15cjvvb1cr
15 Open,17,Stars 15 Bing (PM) (17),g15stars1pm
15 Open,19,Wildfire 15N Open Albert (FL) (19),g15wfire1fl
15 Open,20,Triangle 15 Black (CR) (20),g15trngl1cr
15 Open,21,Jupiter Elite 15E (FL) (22),g15jtaav1fl
15 Open,21,OT 15 O Christian (FL) (21),g15otbva2fl
15 Open,23,Academy 15 Diamond (CR) (23),g15ncvba1cr
15 Open,24,Carolina Rogue 15 Black (PM) (24),g15rogue1pm
15 Open,25,Piedmont VBC 15 GATA (CR) (25),g15piedm1cr
15 Open,25,TI Elite 15.1 (HO) (26),g15tivbc1ho
15 Open,27,Top Select 15 Elite (FL) (27),g15tsvba1fl
15 Open,28,ARMOR 15 Lima (PM) (28),g15armor1pm
15 Open,29,GP 15 Rox (FL) (29),g15gpont1fl
15 Open,30,Apex 15-1 Girls (PM) (30),g15apexj1pm
15 Open,30,SC Elite U15 Elite (PM) (31),g15scelt1pm
15 Open,32,EC Power KOP 15-True (KE) (32),g15ecpwr1ke
15 Open,33,MiElite 15 Mizuno (LK) (33),g15mieva1lk
15 Open,34,OT 15 J Stephen (FL) (34),g15otbva8fl
15 Open,35,CUVC 15 Open (CR) (36),g15carun1cr
15 Open,35,MVA 15 Julio (FL) (35),g15miava1fl
15 Open,37,CVC 15 BLACK (OV) (37),g15cvbco1ov
15 Open,38,VA Elite 15's (CH) (38),g15vejvb1ch
15 Open,39,CHAVC 15 Black (CR) (39),g15chavb1cr
15 Open,40,ARMOR 15 Tango (PM) (41),g15armor2pm
15 Open,40,GO Volley 15 N (CH) (40),g15govol1ch
15 USA,1,BSVBC 15 Black (GW) (1),g15blstl1gw
15 USA,2,PowerPlex 15U Jackson (IA) (2),g15pwrpx1ia
15 USA,3,A5 152 Victor (SO) (3),g15afive2so
15 USA,4,TW Skyline 15 Royal (LS) (4),g15twsky1ls
15 USA,5,EXCEL 15 National White (NT) (5),g15excel2nt
15 USA,5,HPSTL 15 Orange (GW) (7),g15hpstl2gw
15 USA,5,Mizuno Club North 15Ang (HA) (8),g15cnvbc1ha
15 USA,5,USA South 15 Premier Purp (FL) (6),g15usaso1fl
15 USA,9,AVC CLE 15 White (OV) (15),g15acavc2ov
15 USA,9,GJ 15 ANDRE (FL) (12),g15gjvbc1fl
15 USA,9,HJV 15 PREMIER (LS) (10),g15houjr2ls
15 USA,9,Mintonette Sports - m.52 (OV) (16),g15msprt2ov
15 USA,9,TAV 15 Blue (NT) (9),g15txadv3nt
15 USA,9,Tribe 15 Elite Navy (FL) (11),g15tribe2fl
15 USA,9,VA Juniors 15 Elite (CH) (13),g15vajrs1ch
15 USA,9,WPVC 15 Armour Black (FL) (14),g15wpvcb1fl
15 USA,17,BVA 15 Elite Alyssa (FL) (17),g15bomer1fl
15 USA,17,SA Juniors 15 Adidas (LS) (18),g15sajvb1ls
15 USA,19,AVA TX 15 Adidas (LS) (19),g15avatx1ls
15 USA,19,FEVA 15 Katia (FL) (20),g15flelt1fl
15 USA,21,575 VB 15-1 Kempf PCVC (SO) (23),g15fsfvb1so
15 USA,21,ARVC 15 Orange (CR) (24),g15albmr1cr
15 USA,21,LBVC 15GERALD (SC) (22),g15lbvbc1sc
15 USA,21,NM Elite15 National 1 (SU) (21),g15nmelt1su
15 USA,25,OT 15 T Jenn (FL) (25),g15otbva6fl
15 USA,25,Rising Tide 15s Breakers (PM) (26),g15rtide1pm
15 USA,25,VolleyFX 15 Chant (WE) (27),g15volfx1we
