18 Classic,1,Milwaukee Jr's 18-1's (BG),g18jrvbc3bg
18 Classic,2,MOD Elite G18 Gold (GL),g18modvb2gl
18 Classic,3,Balance 18 White (GL),g18balnc1gl
18 Classic,3,SPVB 18 Blue (GL),g18spvbc5gl
18 Classic,5,A5  184 Morgan (SO),g18afive4so
18 Classic,5,Club Fusion 18-3 National (GL),g18fsion3gl
18 Classic,5,NPJ Salem 18 National (CE),g18npjvb2ce
18 Classic,5,SPVB 18 Navy (GL),g18spvbc6gl
18 Classic,9,1st Alliance 18 Red (GL),g18allia5gl
18 Classic,9,FaR Out 18 Onyx (LK),g18fovbc3lk
18 Classic,9,Ignite 18 Elite (HO),g18ignte1ho
18 Classic,9,Munciana 18 Aztecs (HO),g18munvb3ho
18 Classic,13,Bama Elite 18 Wolfpack (SO),g18bamae2so
18 Classic,13,Fierce Elite 18 (GL),g18firce1gl
18 Classic,13,Legacy KY 18 Black (PR),g18legvc1pr
18 Classic,13,Prodigy 18 Red (PR),g18progy1pr
18 Classic,17,Rev 18-1 Avengers (N) (HO),g18revbc1ho
18 Classic,18,575 VB 18-1 Woodstock WS (SO),g18fsfvb1so
18 Classic,19,AP GMP 18 Gold (SO),g18apvbc2so
18 Classic,19,TPV 18-Renegade (SO),g18tnpfc2so
18 Classic,21,CINCY EAST 18.1 Black (OV),g18ceast1ov
18 Classic,21,FC Elite 18 White (BG),g18fceli3bg
18 Classic,21,GPA 18s Gold Elite (OV),g18gampl2ov
18 Classic,21,VC United 181 Premier (GL),g18vcutd6gl
18 Classic,25,USA MI RunBird 18 (LK),g18usami3lk
18 Classic,26,Rogue 18 GO (OV),g18rogue1ov
18 Classic,27,PAVC - NC 18 Onyx (CR),g18prcsn1cr
18 Classic,27,Wisconsin Elite 18-Select (BG),g18welte3bg
18 Classic,29,Adversity-WI 18-1 (BG),g18adver1bg
18 Classic,29,Legacy 18-Elite (LK),g18legvc3lk
18 Classic,29,PAVC - NC 18 Black (CR),g18prcsn2cr
18 Classic,29,Renaissance Cran 18 Red (KE),g18renas8ke
18 Classic,33,GPA 18s Gold (OV),g18gampl1ov
18 Classic,34,BTownVBC 18 Red (HO),g18blvbc1ho
18 Classic,35,PAO STL U18 RDA Black (GW),g18paost1gw
18 Classic,35,WVBA 18 Black (PS),g18wavba3ps
18 Classic,37,Crossfire VBC G18 Blaze (BG),g18cfvbc1bg
18 Classic,37,Cyclones 18B (GL),g18cyclo1gl
18 Classic,37,Spiketown USA 18.2 (BG),g18sptwn2bg
