11 National,1,GP 11 Rox (FL),g11gpont1fl
11 National,2,MDJRS 11 Elite (CH),g11mdjrs1ch
11 National,3,OT 11 O Omi (FL),g11otbva1fl
11 National,3,WPVC 11 Armour Black (FL),g11wpvcb1fl
11 National,5,Paramount VBC 11 Maureen (CH),g11parvb1ch
11 National,6,1United 11Elite Blue (NT),g111unvb2nt
11 National,7,Boss CLE 11-1 (OV),g11bossc1ov
11 National,7,EXCEL 11 White (NT),g11excel2nt
11 National,9,NYC Juniors 11 National (GE),g11nycjr1ge
11 National,10,Victory 11 National Black (NT),g11vctry1nt
11 National,11,Columbia 11 Red (CH),g11colum1ch
11 National,11,Paramount VBC 11 Sadie (CH),g11parvb2ch
12 American,1,Boss CLE 12-1 (OV),g12bossc1ov
12 American,2,Elite Vball 12-1 Red (FL),g12esivb1fl
12 American,3,Miami Hype 12U POWER (FL),g12mhype1fl
12 American,3,STVA 12 Mizuno (LS),g12stvac1ls
12 American,5,Epic United 12 Elite (GL),g12epicu1gl
12 American,5,M2 Volleyball 12E1 (SO),g12mtwov1so
12 American,5,Momentum 12 Reven (RM),g12momen1rm
12 American,5,Southwest 12N Kate (OV),g12swvbc1ov
12 American,9,Arete 12 Navy Ethos (NT),g12arete2nt
12 American,9,MEVC 12U Courage (CH),g12mdexc1ch
12 American,9,Rockwood Thunder 12 Navy (GW),g12rwdth2gw
12 American,9,Tejas 12 Black Abbey (NT),g12tejas2nt
12 American,13,MDJRS 12 Elite (CH),g12mdjrs1ch
12 American,14,SERV 12 Select (OD),g12serva1od
12 American,15,EC Power CH 12-Hen DE (CH),g12ecpch1ch
12 American,15,VA Elite 12's (CH),g12vejvb1ch
12 American,17,EXCEL 12 Gold (NT),g12excel4nt
12 American,17,LEVBC U12 National (CH),g12libvb1ch
12 American,19,GVC 12-1 (NE),g12grvbc1ne
12 American,20,Paramount VBC 12 Maggie (CH),g12parvb2ch
12 American,21,CJVA 12 Black (GE),g12cjvba1ge
12 American,21,Delaware Juniors 12 Ace (CH),g12djvbc1ch
12 American,23,ECPower KOP 12-Periwinkle (KE),g12ecpwr1ke
12 American,23,Inspire CLE 12 Sunrise (OV),g12inspr1ov
12 American,23,MADFROG 12'S ELITE GREEN (NT),g12frogs4nt
12 American,26,757 12 Black (OD),g12tvanp1od
12 American,26,LIBERO 12 Huskies (CH),g12liber1ch
12 American,26,OT 12 O Cristobal (FL),g12otbva5fl
12 American,29,CALI 12 Black (GE),g12cacli1ge
12 American,29,CJVA 12 Onyx (GE),g12cjvba2ge
12 American,29,Happy Volley 12 Elite (KE),g12happy1ke
12 American,29,NYC Juniors 12 Travel (GE),g12nycjr2ge
12 American,29,SPORTIME 12 BLACK (GE),g12sptmc2ge
12 American,29,Synergy 12 Blizzard (KE),g12synrg1ke
12 American,35,ACAD 12 Red (GE),g12tivba1ge
12 American,35,TNT 12U Fuse (KE),g12tntvb2ke
12 American,37,Columbia 12 Black (CH),g12colum1ch
12 American,37,DuPage Elite 12 United (GL),g12cevbc2gl
12 American,39,Blue Ridge 12 Orange (CH),g12brvba2ch
12 American,39,Chicago Elite 12 Elite (GL),g12cevbc1gl
12 American,39,SPORTIME 12 GOLD (GE),g12sptmc1ge
12 American,39,TNT 12U Voltage (KE),g12tntvb3ke
12 American,43,JERSEY JRS 12 Regional (GE),g12njjrs1ge
12 National,1,EXCEL 12 National Red (NT),g12excel1nt
12 National,2,Top Select 12 Elite (FL),g12tsvba1fl
12 National,3,Metro 12 Travel (CH),g12metro1ch
12 National,3,VAQUERAS 12F Heyner (PU),g12vaque1pu
12 National,5,GP 12 Rox (FL),g12gpont1fl
12 National,5,MVSA 12 Vortex (CH),g12mvsav1ch
12 National,7,CJV 12 Mizuno (CR),g12cjvvb1cr
12 National,7,TNT 12U Detonators (KE),g12tntvb1ke
12 National,9,Black Swamp 121 (OV),g12bsvbc1ov
12 National,9,CORE 12 Platinum (GE),g12core11ge
12 National,9,OVA 12 Black (FL),g12light1fl
12 USA,1,EXCEL 12 National White (NT),g12excel2nt
12 USA,2,Blue Ridge 12 Blue (CH),g12brvba1ch
12 USA,3,Academy 12 Diamond (CR),g12ncvba1cr
12 USA,4,Drive Nation 12-Red (NT),g12drive1nt
12 USA,5,CCVV 12 FUCHSIA (FL),g12ccvvb1fl
12 USA,5,OT 12 O Richard (FL),g12otbva2fl
12 USA,7,Alliance 12 REN (SO),g12allvb1so
12 USA,7,Paramount VBC 12 Jaz (CH),g12parvb1ch
12 USA,9,FH 12 Ikaika Celeste (NT),g12field2nt
12 USA,9,HJV 12 ELITE (LS),g12houjr1ls
12 USA,11,CUVC 12 Open (CR),g12carun1cr
12 USA,11,MOCO Mystics (CH),g12mcvbc1ch
12 USA,11,NYC Juniors 12 National (GE),g12nycjr1ge
12 USA,11,Triangle 12 Black (CR),g12trngl1cr
12 USA,15,WPVC 12 Armour Black (FL),g12wpvcb1fl
12 USA,16,Delaware United 12 Navy (CH),g12deuvb1ch
12 USA,17,Princeton 12-1 (GE),g12princ1ge
12 USA,17,SOSVBC 12N Justin (GE),g12sosvb1ge
12 USA,19,MOJO Elite 12 Black (CH),g12mojoo1ch
13 Open,1,DYNASTY 13 Black (HA),g13tmdyn1ha
13 Open,2,Top Select 13 Elite (FL),g13tsvba1fl
13 Open,3,Blue Ridge 13 Blue (CH),g13brvba1ch
13 Open,3,WPVC 13 Armour Black (FL),g13wpvcb1fl
13 Open,5,EXCEL 13 National Red (NT),g13excel1nt
13 Open,5,NKYVC 13-1 Tsunami (PR),g13nkyvc1pr
13 Open,7,HJV 13 ELITE (LS),g13houjr1ls
13 Open,8,Metro 13 Travel (CH),g13metro1ch
13 Open,9,Elevation 13 Peak (RM),g13elevb1rm
13 Open,9,OT 13 O TJ (FL),g13otbva2fl
13 Open,11,SMASH 13s (NE),g13sjjvb1ne
13 Open,11,Triangle 13 Black (CR),g13trngl1cr
13 Open,13,Munciana 13 Stingrays (HO),g13munvb1ho
13 Open,14,Paramount VBC 13 Jaz (CH),g13parvb1ch
13 Open,15,Academy 13 Diamond (CR),g13ncvba1cr
13 Open,15,Kali 13-Whitney (PU),g13397891pu
13 Open,17,MVSA 13 Wahoo! (CH),g13mvsav1ch
13 Open,18,CJV 13 Mizuno (CR),g13cjvvb1cr
13 Open,19,CUVC 13 Open (CR),g13carun1cr
13 Open,19,EC Power KOP 13-Sky (KE),g13ecpwr1ke
13 USA,1,VAQUERAS 13F Gilbert (PU),g13vaque1pu
13 USA,2,JAX SKYLINE 13 Royal (FL),g13skyln1fl
13 USA,3,GVA 13u Pink (PU),g13pr1pu1pu
13 USA,3,Southwest 13N1 Alex Emily (OV),g13swvbc1ov
13 USA,5,ECVC 13 BLACK (OD),g13ecvol1od
13 USA,5,GP 13 Rox (FL),g13gpont1fl
13 USA,5,NYC Juniors 13 National (GE),g13nycjr1ge
13 USA,5,Tx Performance 13 Black (SU),g13tpfep1su
13 USA,9,Chicago Elite 13 Elite  (GL),g13cevbc1gl
13 USA,9,LAKE  NONA 13 WILLIE (FL),g13spart1fl
13 USA,9,OPVC 13 Nadler (OV),g13oprem1ov
13 USA,9,SOSVBC 13N Rob (GE),g13sosvb1ge
13 USA,9,Tejas 13 Black Jeff (NT),g13tejas1nt
13 USA,9,Tribe 13 Elite Navy (FL),g13tribe2fl
13 USA,15,Alliance 13 REN (SO),g13allvb1so
13 USA,16,Triangle 13 Blue (CR),g13trngl2cr
13 USA,17,Delaware United 13 Navy (CH),g13deuvb1ch
13 USA,17,Pgh Elite 13 Elite (KE),g13pghel1ke
13 USA,19,Boss CLE 13-1 (OV),g13bossc1ov
13 USA,19,CJV 13 National Navy (CR),g13cjvvb2cr
13 USA,19,Club Integrity 13-1 (KE),g13intgr1ke
13 USA,22,Happy Volley 13 Elite (KE),g13happy1ke
13 USA,23,ARVC 13 Orange (CR),g13albmr1cr
13 USA,24,Downstate (N) 13 Cobras (GE),g13dstjn1ge
13 USA,24,NVA 13 Black (KE),g13spnoc1ke
13 USA,26,NYC Juniors 13 Travel (GE),g13nycjr2ge
13 USA,26,Synergy 13 Lightning (KE),g13synrg1ke
13 USA,26,TNT 13U Roadrunner (KE),g13tntvb1ke
13 USA,29,CORE 13 Platinum (GE),g13core11ge
13 USA,29,EndMo VBC 13 Power Blue (KE),g13envbc1ke
13 USA,29,HJV 13 PREMIER (LS),g13houjr2ls
13 USA,32,BVC 13-1 (CH),g13brndy1ch
13 USA,32,Delaware Juniors 13 Ace (CH),g13djvbc1ch
13 USA,32,Pgh Elite 13 Premier (KE),g13pghel2ke
13 USA,35,Academy 13 Crystal (CR),g13ncvba2cr
13 USA,35,CJV 13 National White (CR),g13cjvvb3cr
13 USA,35,CLVC 13-Black (CR),g13lgacy1cr
