11 National,1,DYNASTY 11 Black  (HA),g11tmdyn1ha
11 National,2,MAVS 11 Elite (HA),g11mavbc1ha
11 National,3,MAVS KC 11 National (HA),g11mavbc2ha
11 National,3,Premier Nebraska 11 Gold (GP),g11premr1gp
11 National,5,DYNASTY 11 Blue (HA),g11tmdyn2ha
11 National,5,NE Elite 11 Purple Stars (GP),g11elite1gp
11 National,7,Premier Nebraska 11 Black (GP),g11premr2gp
11 National,8,PVA 11 Elite (HA),g11pvakc1ha
11 National,9,Premier Nebraska 11 Red (GP),g11premr3gp
11 National,9,Rockwood Thunder 11 Elite (GW),g11rwdth1gw
11 National,11,DYNASTY 10 Black (HA),g10tmdyn1ha
11 National,11,KC Power 11 Mendenhall (HA),g11power1ha
11 National,13,Flyers 11 USA-David (NT),g11frfly1nt
11 National,14,EXCEL 11 Blue (NT),g11excel3nt
11 National,15,MAVS 816 11 National (HA),g11mavse1ha
11 National,15,MAVS KC 11 Premier (HA),g11mavbc3ha
11 National,17,NRG VBC 11 AMPD Navy (NT),g11nrgvc1nt
11 National,17,South Central NE 11 Black (GP),g11socen1gp
11 National,19,HP Illinois 11 Select (GW),g11hpstl4gw
11 National,20,HP Illinois 11 Silver (GW),g11hpstl9gw
11 National,21,PVA 11 National (HA),g11pvakc2ha
11 National,21,UPVBC 11 Pink (OK),g11upvbc1ok
11 National,23,MW Shock 11U Sapphire (GW),g11mwsho2gw
12 American,1,KNVBC 12 Topeka Hype (HA),g12knvbc1ha
12 American,2,Rockwood Thunder 12 White (GW),g12rwdth3gw
12 American,3,DYNASTY 12 Blue (HA),g12tmdyn2ha
12 American,3,FW Fire 12 Purple (NT),g12fwfir1nt
12 American,5,Club Net 12 National (DE),g12cnvbc1de
12 American,5,KC Power 12 Cornelieusen (HA),g12power2ha
12 American,5,MAVS KC 12 Premier (HA),g12mavbc3ha
12 American,5,NE Elite 12 Mamba (GP),g12elite2gp
12 American,9,CMVBC 12-1 (HA),g12cmvbc1ha
12 American,9,MAVS 816 12 National (HA),g12mavse1ha
12 American,9,Premier Nebraska 12 Red (GP),g12premr3gp
12 American,9,WF Elite 12 Black (NT),g12wfelt1nt
12 American,13,Iowa Rockets 12 Black (IA),g12iarck1ia
12 American,14,MVVC G 12 Black (NC),g12mouvi2nc
12 American,15,FSJ 12 National (DE),g12fsjvb1de
12 American,15,MAVS 816 12 Regional (HA),g12mavse2ha
12 American,17,Premier Nebraska 12Silver (GP),g12premr4gp
12 American,17,Summit VC 12 Black (HA),g12summt1ha
12 American,19,EMV 12.2 National Black (NT),g12eagmt2nt
12 American,20,HP Illinois 12 Select (GW),g12hpstl3gw
12 American,21,Invasion 12-Black (HA),g12invas1ha
12 American,21,Topeka Saints 12-1 (HA),g12tsnts1ha
12 American,23,FRVBC 12-1 Black (RM),g12frvbc1rm
12 American,23,Ozark 12 National MJ (DE),g12ojvbc5de
