10 Club,1,Elevation 10 Amanda 1 (OV),g10eleva1ov
10 Club,2,Cincy Ice 10-1 (OV),g10icevb1ov
10 Club,3,HPSTL 10 Royal (GW),g10hpstl1gw
10 Club,4,Adidas KIVA 10 Red (PR),g10akiva1pr
10 Club,5,Munciana 10  Kunoichis (HO),g10munvb1ho
10 Club,6,KIVA LT (PR),g11akiva5pr
10 Club,7,KIVA Katy (PR),g10akiva3pr
10 Club,7,KIVA Stephanie (PR),g10akiva8pr
10 Club,9,KIVA Jill (PR),g10akiva4pr
10 Club,9,KIVA Kennedy (PR),g10akiva9pr
11 Club,1,Adidas KIVA 11 Grey (PR),g11akiva3pr
11 Club,2,MAVA Adidas 11-Elite (PR),g11mavas2pr
11 Club,3,Adidas KIVA 11 Blue (PR),g11akiva4pr
11 Club,3,LAVA 11-1 Black (OV),g11lakot1ov
11 Club,5,CinciVB Acad 11-1 (OV),g11cinva1ov
11 Club,5,K1V 10u/11U (PR),g11kyone1pr
11 Club,7,KIVA Angela (PR),g11akiva8pr
11 Club,8,KIVA Destiny (PR),g11akiva6pr
11 Club,9,KIVA Abby (PR),g11akiva7pr
11 Club,10,KIVA Riley (PR),g11akiva10pr
12 Club,1,HPSTL 12 Orange (GW),g12hpstl4gw
12 Club,2,Elevation 12 Stacey (OV),g12eleva3ov
12 Club,3,MAVA Adidas 11-Select (PR),g11mavas1pr
12 Club,3,Munciana Indy 12 Frogs (HO),g12mindy2ho
12 Club,5,Adidas KIVA 11 White (PR),g11akiva2pr
12 Club,5,Adidas KIVA 12 Grey (PR),g12akiva4pr
12 Club,7,FaR Out 12 Red (LK),g12fovbc2lk
12 Club,7,Munciana 11 Yukons (HO),g11munvb1ho
12 Club,9,UNION 12 Gold (PR),g12union2pr
12 Club,10,Elevation 11 Butcher (OV),g11eleva2ov
12 Club,11,Metro VBC 12 Black (HO),g12metro2ho
12 Club,12,Adidas KIVA 12 Blue (PR),g12akiva5pr
12 Club,13,Lex United 22 Elite (PR),g12lexvb2pr
12 Club,14,K1V 11/12 (PR),g12kyone1pr
12 Open,1,Boiler Jrs 12-1O Gold (HO),g12tavbj1ho
12 Open,2,Adidas KIVA 12 Red (PR),g12akiva1pr
12 Open,3,Circle City 12 Purple (HO),g12ccity1ho
12 Open,3,Elevation 12 BF (OV),g12eleva1ov
12 Open,5,HPSTL 12 Royal (GW),g12hpstl1gw
12 Open,5,Monon 12-1O Tigers (HO),g12tavms1ho
12 Open,7,Adidas KIVA 12 White (PR),g12akiva2pr
12 Open,7,Cincy Ice 12-1 Teal (OV),g12icevb1ov
12 Open,9,Munciana 12 Peppers (HO),g12munvb1ho
12 Open,10,Academy 12-1O Bobcats (HO),g12tavbc1ho
12 Open,11,Alliance 12 REN (SO),g12allvb1so
12 Open,12,NKJV 12 Blue (PR),g12nkjvb1pr
12 Open,12,Tri-State Elite 12 Blue (PR),g12trist1pr
12 Open,14,FaR Out 12 Black (LK),g12fovbc1lk
12 Open,14,Metro VBC 12 Pink (HO),g12metro1ho
12 Open,16,MAVA Adidas 12-Select (PR),g12mavas1pr
12 Open,16,Rev 12-1 Storm  (N) (HO),g12revbc1ho
12 Premier ,1,Adidas KIVA 11 Red (PR),g11akiva1pr
12 Premier ,2,Elevation 12 Jada (OV),g12eleva2ov
12 Premier ,3,Elevation 11 Dawn (OV),g11eleva1ov
12 Premier ,3,HP South 12 Premier (GW),g12hpstl2gw
12 Premier ,5,HPSTL 11 Royal (GW),g11hpstl1gw
12 Premier ,5,Monon 12-2E Lions (HO),g12tavms2ho
12 Premier ,7,Circle City 11 Purple (HO),g11ccity1ho
12 Premier ,7,TPV 12-Eagles (SO),g12tnpfc1so
12 Premier ,9,MAVA Adidas 12-Elite (PR),g12mavas2pr
12 Premier ,10,Adidas KIVA 12 Black (PR),g12akiva3pr
12 Premier ,11,Tri-State Elite 12 White (PR),g12trist2pr
12 Premier ,12,CYVBC Surge 12 Black (OV),g12clipp1ov
12 Premier ,13,Munciana Indy 12 Valkyrie (HO),g12mindy1ho
12 Premier ,14,Munciana 12 Crocodiles (HO),g12munvb2ho
12 Premier ,15,Lex United 12 Elite (PR),g12lexvb1pr
12 Premier ,16,Academy 12-2E Leopards (HO),g12tavbc2ho
13 Club,1,HP South 13 Premier (GW),g13hpstl5gw
13 Club,2,Tri-State Elite 13 Gray (PR),g13trist3pr
13 Club,3,Adidas KIVA 13 Purple (PR),g13akiva6pr
13 Club,3,MAVA Adidas 13-Elite (PR),g13mavas2pr
13 Club,5,513VB 13-2 (OV),g13513vb2ov
13 Club,5,UNION 13 Purple (PR),g13union3pr
13 Club,7,Adidas KIVA 13 Orange (PR),g13akiva7pr
13 Club,7,FaR Out 13 Silver (LK),g13fovbc3lk
13 Club,7,Munciana Indy 13 Dolphins (HO),g13mindy2ho
13 Club,10,Adidas KIVA 13 Grey (PR),g13akiva4pr
13 Club,10,GRV 13 Black (HO),g13grbvc1ho
13 Club,10,KIVA Amanda (PR),g13akiva9pr
13 Club,13,Adidas KIVA 13 Blue (PR),g13akiva5pr
13 Club,13,Cincy Classics 13 Red (OV),g13ccvbc1ov
