TeamCode,TeamName,2024 Triple Crown NIT,2024 USAV Girls Junior National Championship 11-13,2024 USAV Girls Junior National Championship 14-17,2025 JVA Rock N Rumble Weekend 1 12U-15U,2025 JVA Rock N Rumble Weekend 2 16U-18U,2025 MLK Invitational,2025 The Nike Classic,2025 Tour of Texas: Houston,2025 Triple Crown Colorado Challenge,25 Central Zone Invitational,25 Mideast Power League (MEPL),AAU Girls National -Wave 3: All 16U,AAU Girls National -Wave 4: All 17U,"AAU Girls National-Wave 1:All 10U-14U,18Open,18Pre","AAU Girls National-Wave 2:All 15U,18Club,18Classic",SCVA Girls 12U Event #1 January 5,SCVA Girls 13U Event #1 January 4,SCVA Girls 14U Event #1 January 11,SCVA Girls 15U All Event #1 January 18-19,SCVA Girls 16U All Event #1 January 19-20,SCVA Girls 17U All Event #1 January 19-20,SCVA Girls 18U Event #1 January 4-5
,DJRVB 11N,,,,,25 (17 Club),3 (13G Club),17 (14 Club),42 (14 National),21 (17/18 Club),5 (11 Girls),,136 (16 Aspire),98 (17 Aspire),3 (10 Girls),89 (15 Aspire),,,,,,,
Invalid Club Code,SVA 16U,,,,,,,,,,,,54 (16 Club),,,63 (15 Elite),,,,,,,
b13cattk1ov,Cinci Attack 13 Black,,,,,,,None (14 Boys),,,,,,,,,,,,,,,
b13oprem1ov,OPVC 13 Purple,,,,,,,None (14 Boys),,,,,,,,,,,,,,,
b13oprem2ov,OPVC 13 Black,,,,,,,None (14 Boys),,,,,,,,,,,,,,,
b13phoen1ov,Phoenix 13 Corcodel,,,,,,,None (14 Boys),,,,,,,,,,,,,,,
b13tavbc1ho,Academy 13O Under Armour,,,,,,,None (14 Boys),,,,,,,,,,,,,,,
b14cattk1ov,Cinci Attack 14 Black,,,,,,,None (14 Boys),,,,,,,,,,,,,,,
b14cattk2ov,Cinci Attack 14 Red,,,,,,,None (14 Boys),,,,,,,,,,,,,,,
b14cattk3ov,Cinci Attack 14 Gold,,,,,,,None (14 Boys),,,,,,,,,,,,,,,
b14esvc11ov,Eastside 14U Rosenberg,,,,,,,None (14 Boys),,,,,,,,,,,,,,,
b14msprt1ov,Mintonette Sports b.41,,,,,,,None (14 Boys),,,,,,,,,,,,,,,
