TeamName,TeamCode,OriginalTeamCode,FinishRank,DivisionName,EventName
MADFROG 12'S N GREEN,g12frogs1nt,g12frogs1nt,1 (12 & Under),12 & Under,2026 Triple Crown NIT
ARIZONA STORM 12 THUNDER,g12storm1az,g12storm1az,2 (12 & Under),12 & Under,2026 Triple Crown NIT
DYNASTY 12 Black,g12tmdyn1ha,g12tmdyn1ha,3 (12 & Under),12 & Under,2026 Triple Crown NIT
HPSTL 12 Royal,g12hpstl1gw,g12hpstl1gw,3 (12 & Under),12 & Under,2026 Triple Crown NIT
1United 12N Blue,g121unvb1nt,g121unvb1nt,5 (12 & Under),12 & Under,2026 Triple Crown NIT
KIVA 12 Red,g12akiva1pr,g12akiva1pr,5 (12 & Under),12 & Under,2026 Triple Crown NIT
EXCEL 12 National Red,g12excel1nt,g12excel1nt,7 (12 & Under),12 & Under,2026 Triple Crown NIT
SC Rockstar 12- Tiffany,g12scroc1sc,g12scroc1sc,8 (12 & Under),12 & Under,2026 Triple Crown NIT
MAVS 12 Elite,g12mavbc1ha,g12mavbc1ha,9 (12 & Under),12 & Under,2026 Triple Crown NIT
WAVE 12-Binh,g12wvevb1sc,g12wvevb1sc,9 (12 & Under),12 & Under,2026 Triple Crown NIT
A5 12-LA,g12afive1so,g12afive1so,11 (12 & Under),12 & Under,2026 Triple Crown NIT
Premier Nebraska 12 Gold,g12premr1gp,g12premr1gp,11 (12 & Under),12 & Under,2026 Triple Crown NIT
MN Select 12-1,g12mnsel1no,g12mnsel1no,13 (12 & Under),12 & Under,2026 Triple Crown NIT
PVA 12 ELITE,g12pvakc1ha,g12pvakc1ha,14 (12 & Under),12 & Under,2026 Triple Crown NIT
Rockwood Thunder 12 Elite,g12rwdth1gw,g12rwdth1gw,15 (12 & Under),12 & Under,2026 Triple Crown NIT
Sunshine 12 Westside,g12sunsh1sc,g12sunsh1sc,15 (12 & Under),12 & Under,2026 Triple Crown NIT
Munciana 12 Peppers,g12munvb1ho,g12munvb1ho,17 (12 & Under),12 & Under,2026 Triple Crown NIT
AZ Sky 12 Gold,g12azsky1az,g12azsky1az,18 (12 & Under),12 & Under,2026 Triple Crown NIT
KC Power 12-1,g12power1ha,g12power1ha,19 (12 & Under),12 & Under,2026 Triple Crown NIT
Surfside 12 PV Elite,g12srfsd1sc,g12srfsd1sc,19 (12 & Under),12 & Under,2026 Triple Crown NIT
DYNASTY 13 Black,g13tmdyn1ha,g13tmdyn1ha,1 (13 & Under),13 & Under,2026 Triple Crown NIT
COAST 13-1 Tina,g13coast1sc,g13coast1sc,2 (13 & Under),13 & Under,2026 Triple Crown NIT
A5 13-Karen,g13afive1so,g13afive1so,3 (13 & Under),13 & Under,2026 Triple Crown NIT
MADFROG 13'S N GREEN,g13frogs1nt,g13frogs1nt,3 (13 & Under),13 & Under,2026 Triple Crown NIT
Dallas Skyline 13 Royal,g13skyln1nt,g13skyln1nt,5 (13 & Under),13 & Under,2026 Triple Crown NIT
Elevation 13-Molly,g13eleva1ov,g13eleva1ov,5 (13 & Under),13 & Under,2026 Triple Crown NIT
SC Rockstar 13- Lance,g13scroc1sc,g13scroc1sc,5 (13 & Under),13 & Under,2026 Triple Crown NIT
Surfside 13 PV Elite,g13srfsd1sc,g13srfsd1sc,5 (13 & Under),13 & Under,2026 Triple Crown NIT
EXCEL 13 National Red,g13excel1nt,g13excel1nt,9 (13 & Under),13 & Under,2026 Triple Crown NIT
KC Power 13-1,g13power1ha,g13power1ha,10 (13 & Under),13 & Under,2026 Triple Crown NIT
1United 13N Blue,g131unvb1nt,g131unvb1nt,11 (13 & Under),13 & Under,2026 Triple Crown NIT
KIVA 13 Red,g13akiva1pr,g13akiva1pr,11 (13 & Under),13 & Under,2026 Triple Crown NIT
1st Alliance 13-1,g13allia1gl,g13allia1gl,13 (13 & Under),13 & Under,2026 Triple Crown NIT
CVC 13 BLACK,g13cvbco1ov,g13cvbco1ov,13 (13 & Under),13 & Under,2026 Triple Crown NIT
