FinishRank,TeamName,TeamCode,Division ID,DivisionName,EventName
1st (18 Club),MVC 18 Black,b18momtm1az,16697,18 Club,2025 SoCal Cup: The Open Championship
2nd (18 Club),AZ Fear 18 CT,b18fear12az,16697,18 Club,2025 SoCal Cup: The Open Championship
3rd (18 Club),NEVBC Boys 18.1,b18nevbc1ne,16697,18 Club,2025 SoCal Cup: The Open Championship
3rd (18 Club),SMASH Boys 18's Force,b18sjjvb2ne,16697,18 Club,2025 SoCal Cup: The Open Championship
5th (18 Club),630 Volleyball 18-2,b18112842xx,16697,18 Club,2025 SoCal Cup: The Open Championship
5th (18 Club),SC Legends 18-Gold,b18scleg2sc,16697,18 Club,2025 SoCal Cup: The Open Championship
5th (18 Club),Slainte 18-1 Platinum,b18slanb1nc,16697,18 Club,2025 SoCal Cup: The Open Championship
5th (18 Club),WAVE 18 Andy,b18wvevb2sc,16697,18 Club,2025 SoCal Cup: The Open Championship
9th (18 Club),ECVBA 18-1,b18ecvba1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
9th (18 Club),Evolution 18 Elite,b18evovb1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
9th (18 Club),FAV 18 Maverick (B),b18flght1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
9th (18 Club),MOD B18 Gold,b18modvb2gl,16697,18 Club,2025 SoCal Cup: The Open Championship
9th (18 Club),OTT VBC 18 1,b18ottop1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
9th (18 Club),Pulse 18-Vo,b18pulse2sc,16697,18 Club,2025 SoCal Cup: The Open Championship
9th (18 Club),SD BEACH 18GONZO,b18sdbch1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
9th (18 Club),VALOR VBC 18 Navy,b18valor1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
17th (18 Club),Apache 18 Red,b18achev1nc,16697,18 Club,2025 SoCal Cup: The Open Championship
17th (18 Club),MOD B18 Black,b18modvb3gl,16697,18 Club,2025 SoCal Cup: The Open Championship
17th (18 Club),NorCal Boys 18-1,b18norca1nc,16697,18 Club,2025 SoCal Cup: The Open Championship
17th (18 Club),West Edge 18 Gozi,b18wedge1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
Finish (18 Club),Team Name,code,16697,18 Club,2025 SoCal Cup: The Open Championship
21st (18 Club),Pipeline 18-2,b18109372xx,16697,18 Club,2025 SoCal Cup: The Open Championship
21st (18 Club),Red Rock Boy 18-1,b18rrock1nc,16697,18 Club,2025 SoCal Cup: The Open Championship
23rd (18 Club),FRVBC 18 2 Boys,b18frvbc2rm,16697,18 Club,2025 SoCal Cup: The Open Championship
23rd (18 Club),LBVC 18Tyler,b18lbvbc1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
25th (18 Club),Beach Cities 18 Black,b18bchct1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
25th (18 Club),DNA 18 Blue,b18dnavb99fl,16697,18 Club,2025 SoCal Cup: The Open Championship
25th (18 Club),Lakas 18 LG,b18laiat1nc,16697,18 Club,2025 SoCal Cup: The Open Championship
25th (18 Club),South Elite 18 1,b18souel1pu,16697,18 Club,2025 SoCal Cup: The Open Championship
29th (18 Club),COAST 18-Lindsey,b18coast2sc,16697,18 Club,2025 SoCal Cup: The Open Championship
29th (18 Club),Ignite Boys 18 National,b18ivbcf1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
Finish (18 Club),Team Name,code,16697,18 Club,2025 SoCal Cup: The Open Championship
31st (18 Club),MVVC B 18 Black,b18mouvi2nc,16697,18 Club,2025 SoCal Cup: The Open Championship
31st (18 Club),Pulse 18-Kelcy,b18pulse3sc,16697,18 Club,2025 SoCal Cup: The Open Championship
33rd (18 Club),ECVBA 18-2,b18ecvba2sc,16697,18 Club,2025 SoCal Cup: The Open Championship
33rd (18 Club),SAND BOYS 18 Gold,b18sandc1nc,16697,18 Club,2025 SoCal Cup: The Open Championship
35th (18 Club),MN Select 18 National 1,b18109161xx,16697,18 Club,2025 SoCal Cup: The Open Championship
35th (18 Club),PW 118 18-Hallie,b18pwvbc1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
35th (18 Club),Salt City Boys 18 Salty Ali,b18112822xx,16697,18 Club,2025 SoCal Cup: The Open Championship
35th (18 Club),Windy City Premier 18 1,b18112891xx,16697,18 Club,2025 SoCal Cup: The Open Championship
39th (18 Club),A4 Volley Boys 18-Garry,b18a4vol2sc,16697,18 Club,2025 SoCal Cup: The Open Championship
39th (18 Club),GSEVC 18 Boys National,b18gsevt2ge,16697,18 Club,2025 SoCal Cup: The Open Championship
Finish (18 Club),Team Name,code,16697,18 Club,2025 SoCal Cup: The Open Championship
41th (18 Club),Aspire 18 1 Gladiators,b18folso1nc,16697,18 Club,2025 SoCal Cup: The Open Championship
41th (18 Club),Bravo 18 X,b18bravo1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
43th (18 Club),Adversity South 18 Purple,b18109432xx,16697,18 Club,2025 SoCal Cup: The Open Championship
43th (18 Club),IV Force 18-1,b18ivvbc1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
45th (18 Club),949 B18 Black,b18949av1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
45th (18 Club),Point Break VBC 18 Mike,b18ptbrk1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
45th (18 Club),Salt City Boys 18 Salty Will,b18112823xx,16697,18 Club,2025 SoCal Cup: The Open Championship
45th (18 Club),SMBC West 18 Molten R,b18smbcb2sc,16697,18 Club,2025 SoCal Cup: The Open Championship
49th (18 Club),SD BEACH 18MITCH,b18sdbch2sc,16697,18 Club,2025 SoCal Cup: The Open Championship
49th (18 Club),Vegas Volley 18U Boys,b18a1veg1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
Finish (18 Club),Team Name,code,16697,18 Club,2025 SoCal Cup: The Open Championship
51th (18 Club),OMNI 18-2 Elite,b18omniv2nc,16697,18 Club,2025 SoCal Cup: The Open Championship
51th (18 Club),SC Legends 18-Black,b18scleg3sc,16697,18 Club,2025 SoCal Cup: The Open Championship
53th (18 Club),Core 18 Black,b18corev2nc,16697,18 Club,2025 SoCal Cup: The Open Championship
53th (18 Club),NOC 18 Green,b18nocav1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
55th (18 Club),Academy Boys 18 Gabriel,b18acdvp1nc,16697,18 Club,2025 SoCal Cup: The Open Championship
55th (18 Club),OCR 18 Gold,b18ocrvc1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
55th (18 Club),OCVC B18 1,b18ocvbc1sc,16697,18 Club,2025 SoCal Cup: The Open Championship
55th (18 Club),Red Rock Boys 18-National,b18rrock2nc,16697,18 Club,2025 SoCal Cup: The Open Championship
59th (18 Club),CA Volley 18-2,b18108892xx,16697,18 Club,2025 SoCal Cup: The Open Championship
59th (18 Club),Red Rock Boys 18-TriValley,b18rrock4nc,16697,18 Club,2025 SoCal Cup: The Open Championship
Finish (18 Club),Team Name,code,16697,18 Club,2025 SoCal Cup: The Open Championship
61st (18 Club),Beach Cities 18 Onyx,b18bchct2sc,16697,18 Club,2025 SoCal Cup: The Open Championship
