TeamCode,2025NIT
fj6unovb1gl,Yes
g121unvb1nt,Yes
g12afive1so,Yes
g12akiva1pr,Yes
g12coast1sc,Yes
g12elevb1rm,Yes
g12excel1nt,Yes
g12frogs1nt,Yes
g12kairo1no,Yes
g12mavbc1ha,Yes
g12milon1sc,Yes
g12mnsel1no,Yes
g12munvb1ho,Yes
g12power1ha,Yes
g12premr1gp,Yes
g12pvakc1ha,Yes
g12rwdth1gw,Yes
g12storm1az,Yes
g12tmdyn1ha,Yes
g131unvb1nt,Yes
g13afive1so,Yes
g13akiva1pr,Yes
g13allia1gl,Yes
g13askyl1ls,Yes
g13atomc1az,Yes
g13azsky1az,Yes
g13clubv1im,Yes
g13eleva1ov,Yes
g13excel1nt,Yes
g13frogs1nt,Yes
g13houjr1ls,Yes
g13kairo1no,Yes
g13legvc1lk,Yes
g13mavbc1ha,Yes
g13milon1sc,Yes
g13mnsel1no,Yes
g13msprt1ov,Yes
g13mtnpk1im,Yes
g13munvb1ho,Yes
g13otbva2fl,Yes
g13otbva3fl,Yes
g13pohak1ha,Yes
g13power1ha,Yes
g13premr1gp,Yes
g13premr2gp,Yes
g13rwdth1gw,Yes
g13skyln1nt,Yes
g13storm1az,Yes
g13tmdyn1ha,Yes
g13txadv1nt,Yes
g13wvevb1sc,Yes
g141unvb1nt,Yes
g14absol1nc,Yes
g14acavc1ov,Yes
g14actyv1sc,Yes
g14afive1so,Yes
g14afive2so,Yes
g14akiva1pr,Yes
g14allia1gl,Yes
g14allvb1so,Yes
g14aperf1ls,Yes
g14askyl1ls,Yes
g14aspir1az,Yes
g14avatx1ls,Yes
g14azsky1az,Yes
g14balby1sc,Yes
g14carun1cr,Yes
g14cjvvb1cr,Yes
g14clubv1im,Yes
g14clubv2im,Yes
g14cnvbc1ha,Yes
g14coast1sc,Yes
g14coelt1rm,Yes
g14cojrs1rm,Yes
g14drive1nt,Yes
g14eleva1ov,Yes
g14elevb1rm,Yes
g14excel1nt,Yes
g14forza1sc,Yes
g14fovbc1lk,Yes
g14frfly1nt,Yes
g14frogs1nt,Yes
g14frogs2nt,Yes
g14gpont1fl,Yes
g14hosky1ls,Yes
g14houjr1ls,Yes
g14hsvba1ls,Yes
g14iautd1ia,Yes
g14idcrs1im,Yes
g14invas1ha,Yes
g14islct1ia,Yes
g14jaxjr1fl,Yes
g14jugge1rm,Yes
g14kairo1no,Yes
g14lavbc1gc,Yes
g14legvc1lk,Yes
g14legvc2lk,Yes
g14lexvb1pr,Yes
g14mavbc1ha,Yes
g14milon1sc,Yes
g14mlwst1bg,Yes
g14mnsel1no,Yes
g14msprt1ov,Yes
g14msprt2ov,Yes
g14munvb1ho,Yes
g14ncvba1cr,Yes
g14nkyvc1pr,Yes
g14nlite1no,Yes
g14npjbe1ce,Yes
g14npjpd1ce,Yes
g14npjvb1ce,Yes
g14onevb1az,Yes
g14otbva1fl,Yes
g14otbva2fl,Yes
g14parvb1ch,Yes
g14pohak1ha,Yes
g14power1ha,Yes
g14power2ha,Yes
g14premr1gp,Yes
g14premr1nt,Yes
g14premr2gp,Yes
g14pvakc1ha,Yes
g14pwrpx1ia,Yes
g14revol1az,Yes
g14rwdth1gw,Yes
g14scvbc1im,Yes
g14scvbc1sc,Yes
g14sgelt1sc,Yes
g14shock1ha,Yes
g14skyhi1gl,Yes
g14skyln1fl,Yes
g14skyln1nt,Yes
g14skyln2nt,Yes
g14spvbc1gl,Yes
g14srfsd1sc,Yes
g14storm1az,Yes
g14stvac1ls,Yes
g14sunsh1sc,Yes
g14tavbj1ho,Yes
g14tavho1ls,Yes
g14tmdyn1ha,Yes
g14tnpfc1so,Yes
g14tribe1fl,Yes
g14trist1pr,Yes
g14trngl1cr,Yes
g14tstie1sc,Yes
g14tstlv1sc,Yes
g14tstrt1sc,Yes
g14tsvba1fl,Yes
g14txadv1nt,Yes
g14vcneb1gp,Yes
g14vital1no,Yes
g14wpvcb1fl,Yes
g14wvevb1sc,Yes
g14wvevb2sc,Yes
g151unvb1nt,Yes
g15absol1nc,Yes
g15acavc1ov,Yes
g15actyv1sc,Yes
g15adrva1ia,Yes
g15adver1gl,Yes
g15afive1so,Yes
g15afive2so,Yes
g15ajvba1ls,Yes
g15akiva1pr,Yes
g15alamo1ls,Yes
g15allia1gl,Yes
g15allia2gl,Yes
g15allvb1so,Yes
g15aperf1ls,Yes
g15arete1nt,Yes
g15arvca1su,Yes
g15aspir1az,Yes
g15athen1ce,Yes
g15avatx1ls,Yes
g15azevj1az,Yes
g15azsky1az,Yes
g15bossc1ov,Yes
g15carun1cr,Yes
g15cjvvb1cr,Yes
g15clubv1im,Yes
g15clubv2im,Yes
g15cnvbc1ha,Yes
g15coast1sc,Yes
g15coast2sc,Yes
g15cojrs1rm,Yes
g15cojrs2rm,Yes
g15cosky1rm,Yes
g15drive1nt,Yes
g15eleva1ov,Yes
g15elevb1rm,Yes
g15evavb1de,Yes
g15evavb1ho,Yes
g15excel1nt,Yes
g15fceli1bg,Yes
g15forzn1sc,Yes
g15fovbc1lk,Yes
g15frfly1nt,Yes
g15frogs1nt,Yes
g15frogs2nt,Yes
g15fsfvb2so,Yes
g15gpont1fl,Yes
g15hosky1ls,Yes
g15hosky2ls,Yes
